 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-27,68,2011,1,1회차,한강,남한강하류,이포,,,,,,,,0.5,,,,,3.3,,2.7,,,,,,,,,14.6,2.643,0.020,222.0,9,,,,,,,0.121,,,2.366,,,,,8.0,0.000,0.014,,8.3,,64.0,1.0,2.669,1.7,0.031,,
2012-01-03,1423,2012,1,1회차,한강,남한강하류,이포,,,,,,,,0.8,,,,,1.2,,2.6,,,,,,,,,14.1,2.73,0.012,208.0,34,,,,,,,0.071,,,2.051,,,,,8.4,0.000,0.004,,1.9,,520.0,2.1,2.748,1.7,0.025,,
2013-01-02,2299,2013,1,1회차,한강,남한강하류,이포,,,,,,,,0.5,,,,,1.7,,3.1,,,,,,,,,14.2,2.645,0.012,220.0,130,,,,,,,0.166,,,2.342,,,,,8.3,정량한계미만,0.006,,1.5,,1600.0,0.5,2.658,1.3,0.018,,
2014-01-07,2865,2014,1,1회차,한강,남한강하류,이포,,,,,,,,0.8,,,,,5.0,,2.9,,,,,,,,,13.3,2.714,0.013,248.0,580,,,,,,,0.204,,,2.276,,,,,8.2,정량한계미만,0.011,,3.4,,2100.0,3.8,2.789,1.7,0.023,,
2015-01-06,3752,2015,1,1회차,한강,남한강하류,이포,,정량한계미만,,정량한계미만,정량한계미만,,,1.0,,정량한계미만,,,0.9,정량한계미만,2.6,,,정량한계미만,,,,,,12.9,2.389,0.004,251.0,4,,,,,0.0000212,,0.027,,,2.002,,정량한계미만,,,8.1,정량한계미만,0.000,,1.6,,120.0,2.6,2.514,2.3,0.010,,
2012-01-10,48781,2012,1,2회차,한강,남한강하류,이포,,,,,,,,0.8,,,,,1.1,,3.1,,,,,,,,,13.2,3.076,0.022,246.0,67,,,,,,,0.255,,,2.530,,,,,8.1,0.000,0.010,,4.8,,1200.0,2.6,3.137,1.8,0.037,,
2013-01-08,49155,2013,1,2회차,한강,남한강하류,이포,,,,,,,,0.9,,,,,1.9,,3.7,,,,,,,,,12.9,2.829,0.012,263.0,2,,,,,,,0.176,,,2.249,,,,,8.2,정량한계미만,0.001,,2.3,,130.0,1.4,2.83,1.7,0.021,,
2014-01-13,49415,2014,1,2회차,한강,남한강하류,이포,,,,,,,,0.7,,,,,5.7,,2.8,,,,,,,,,14.3,2.436,0.007,236.0,1,,,,,,,0.120,,,2.130,,,,,8.3,정량한계미만,0.002,,1.4,,150.0,1.7,2.454,1.9,0.015,,
2015-01-12,49702,2015,1,2회차,한강,남한강하류,이포,,,,,,,,1.2,,,,,3.0,,2.4,,,,,,,,,15.9,2.683,0.006,257.0,2,,,,,,,0.087,,,1.802,,,,,8.5,정량한계미만,0.000,,2.5,,40.0,2.2,2.705,1.8,0.016,,
2012-01-18,67923,2012,1,3회차,한강,남한강하류,이포,,0.00,125.002,,0.00000,,,0.9,,0.00000,,,2.8,0.00,3.2,,,0.000,,,,,,13.6,3.23,0.022,246.0,250,,,,,0.0000000,,0.259,,,2.369,,0.00000,,,8.1,0.000,0.005,,3.0,,3700.0,3.2,3.302,1.5,0.037,,
2013-01-15,68299,2013,1,3회차,한강,남한강하류,이포,,,,,,,,0.5,,,,,2.6,,3.5,,,,,,,,,14.6,2.737,0.010,236.0,0,,,,,,,0.167,,,2.217,,,,,7.9,정량한계미만,0.005,,1.6,,38.0,2.4,2.742,1.4,0.016,,
