 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-04,1383,2012,1,1회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,4.3,,,,,55.4,,8.3,,,,,,,,,15.5,6.661,0.413,494.0,46,,,,,,,2.289,,,4.078,,,,,7.9,0.000,0.383,,11.8,,275.0,3.0,7.093,5.8,0.502,,
2013-01-04,2194,2013,1,1회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,2.3,,,,,20.7,,5.9,,,,,,,,,14.9,4.799,0.064,319.0,4,,,,,,,1.212,,,3.130,,,,,7.4,0.000,0.048,,5.8,,80.0,2.3,4.878,3.3,0.092,,
2014-01-07,2849,2014,1,1회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,0.0000,0.00000,,,5.4,,0.00000,,,28.4,0.00,7.0,,,0.000,,,,,,16.8,5.714,0.037,427.0,10,,,,,0.0000000,,1.472,,,3.641,,0.00000,,,7.9,0.000,0.015,,12.9,,120.0,4.3,5.796,4.9,0.077,,
2015-01-06,3816,2015,1,1회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,0.0002,0.00059,,,3.1,,0.00003,,,28.8,0.00,5.0,,,0.000,,,,,,15.4,4.789,0.047,431.0,28,,,,,0.0000033,,1.318,,,2.651,,0.00026,,,7.2,0.000,0.034,,8.4,,95.0,4.6,4.867,3.9,0.089,,
2012-01-10,48776,2012,1,2회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,,0.00000,,,5.2,,0.00000,,,62.0,0.00,8.4,,,0.000,,,,,,16.1,7.614,0.295,441.0,10,,,,,0.0000000,,2.950,,,4.530,,0.00000,,,8.2,0.000,0.260,,11.7,,123.0,3.7,8.106,5.8,0.353,,
2013-01-09,49157,2013,1,2회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,,0.00000,,,2.6,,0.00000,,,38.0,0.00,5.9,,,0.000,,,,,,14.0,4.966,0.044,339.0,2,,,,,0.0000000,,1.286,,,3.419,,0.00000,,,7.5,0.000,0.040,,5.1,,190.0,3.2,5.136,4.0,0.092,,
2014-01-13,49401,2014,1,2회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,6.1,,,,,63.7,,8.0,,,,,,,,,16.0,5.994,0.020,459.0,0,,,,,,,1.311,,,4.597,,,,,8.8,0.000,0.001,,9.1,,95.0,3.5,6.566,4.8,0.072,,
2015-01-12,49767,2015,1,2회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,3.0,,,,,28.1,,5.3,,,,,,,,,12.7,5.537,0.050,388.0,12,,,,,,,1.863,,,3.217,,,,,6.9,0.000,0.032,,8.8,,140.0,4.5,5.715,4.0,0.103,,
2012-01-19,67938,2012,1,3회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,5.9,,,,,135.1,,10.7,,,,,,,,,16.9,9.138,0.595,483.0,2,,,,,,,2.588,,,4.352,,,,,8.3,0.000,0.404,,20.1,,105.0,5.9,9.733,6.1,0.664,,
2013-01-14,68277,2013,1,3회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,4.4,,,,,57.9,,7.1,,,,,,,,,13.9,5.519,0.027,361.0,2,,,,,,,1.507,,,3.489,,,,,7.2,0.000,0.012,,9.1,,360.0,3.9,5.723,5.6,0.090,,
2014-01-22,68396,2014,1,3회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,7.8,,,,,152.8,,9.4,,,,,,,,,16.2,5.982,0.018,474.0,2,,,,,,,1.271,,,4.441,,,,,9.0,0.000,0.001,,18.9,,30.0,3.2,6.008,7.3,0.077,,
2015-01-19,68807,2015,1,3회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,3.5,,,,,34.2,,5.9,,,,,,,,,13.4,5.08,0.066,382.0,4,,,,,,,1.811,,,2.787,,,,,6.5,0.000,0.049,,11.7,,57.0,4.2,5.298,4.3,0.108,,
2012-01-26,85811,2012,1,4회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,5.6,,,,,113.2,,11.6,,,,,,,,,16.8,7.235,0.387,478.0,0,,,,,,,2.567,,,4.397,,,,,8.6,0.000,0.384,,18.5,,13.0,3.1,7.38,6.3,0.470,,
2013-01-22,86018,2013,1,4회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,3.7,,,,,65.7,,7.6,,,,,,,,,13.7,5.845,0.023,386.0,18,,,,,,,1.664,,,3.564,,,,,7.0,0.000,0.011,,7.7,,960.0,3.6,6.421,4.2,0.050,,
2014-01-27,86071,2014,1,4회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,6.2,,,,,56.7,,11.4,,,,,,,,,16.8,6.974,0.019,464.0,2,,,,,,,1.540,,,4.148,,,,,9.0,0.000,0.002,,18.3,,32.0,3.9,7.417,5.7,0.083,,
2015-01-27,86211,2015,1,4회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,3.6,,,,,57.6,,5.7,,,,,,,,,15.1,5.062,0.022,372.0,36,,,,,,,1.598,,,2.898,,,,,7.2,0.000,0.009,,11.6,,113.0,5.1,5.458,4.2,0.069,,
2012-01-30,99643,2012,1,5회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,4.9,,,,,79.0,,10.4,,,,,,,,,14.3,7.368,0.316,486.0,0,,,,,,,2.522,,,3.939,,,,,8.6,0.000,0.299,,15.0,,8.0,4.0,8.035,6.5,0.433,,
2013-01-29,99711,2013,1,5회차,영산강,죽산보(영산강중류),죽산,0.0,,,,,,,3.6,,,,,63.5,,8.4,,,,,,,,,15.2,6.232,0.037,379.0,64,,,,,,,2.593,,,3.231,,,,,8.0,0.000,0.028,,11.4,,180.0,5.1,6.386,5.9,0.088,,
2012-02-07,5079,2012,2,1회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,,0.00000,,,7.9,,0.00000,,,75.1,0.00,11.5,,,0.000,,,,,,15.6,8.533,0.239,483.0,2,,,,,0.0000000,,4.495,,,3.782,,0.00000,,,8.0,0.000,0.225,,22.0,,45.0,2.8,8.643,6.7,0.367,,
2013-02-06,5941,2013,2,1회차,영산강,죽산보(영산강중류),죽산,0.0,0.00,,,0.00000,,,3.9,,0.00000,,,34.4,0.00,6.6,,,0.000,,,,,,11.8,5.419,0.089,328.0,210,,,,,0.0000000,,2.365,,,2.710,,0.00000,,,6.8,0.000,0.076,,7.1,,3000.0,5.9,5.822,4.7,0.112,,
