 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-10,1152,2012,1,1회차,낙동강,강정고령보(낙동왜관),칠곡,,0.00,,,0.00000,,,1.0,,0.00000,,,2.2,0.00,3.8,,,0.000,,,,,,12.4,4.196,0.079,331.0,130,,,,,0.0000000,,0.112,,,3.778,,0.00000,,,7.4,0.000,0.057,,16.6,,375.0,3.1,4.199,2.7,0.103,,
2013-01-07,2125,2013,1,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.1,,,,,12.4,,3.8,,,,,,,,,15.4,3.249,0.011,236.0,0,,,,,,,0.065,,,2.921,,,,,8.1,정량한계미만,0.004,,3.4,,3.0,2.4,3.421,3.3,0.032,,
2014-01-06,3073,2014,1,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.7,,,,,26.5,,5.3,,,,,,,,,14.3,3.673,0.021,371.0,2,,,,,,,0.032,,,3.097,,,,,8.3,정량한계미만,정량한계미만,,4.6,,9.0,3.9,4.396,3.1,0.039,,
2015-01-05,3974,2015,1,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-16,48728,2012,1,2회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.8,,,,,3.6,,4.4,,,,,,,,,12.8,3.97,0.116,355.0,164,,,,,,,0.122,,,3.126,,,,,7.8,0.000,0.080,,17.1,,330.0,2.7,4.275,2.8,0.134,,
2013-01-14,49118,2013,1,2회차,낙동강,강정고령보(낙동왜관),칠곡,,정량한계미만,,,정량한계미만,,,1.9,,정량한계미만,,,22.1,정량한계미만,4.4,,,정량한계미만,,,,,,15.3,3.197,0.017,237.0,12,,,,,정량한계미만,,0.058,,,2.907,,정량한계미만,,,8.2,정량한계미만,0.004,,4.6,,35.0,2.0,3.604,2.9,0.038,,
2014-01-13,49434,2014,1,2회차,낙동강,강정고령보(낙동왜관),칠곡,,정량한계미만,,정량한계미만,정량한계미만,,,2.3,,정량한계미만,,,28.5,정량한계미만,5.0,,,정량한계미만,,,,,,14.9,3.556,0.012,347.0,1,,,,,정량한계미만,,0.010,,,2.968,,정량한계미만,,,8.9,정량한계미만,정량한계미만,,5.2,,11.0,3.1,4.073,3.3,0.034,,
2015-01-12,49776,2015,1,2회차,낙동강,강정고령보(낙동왜관),칠곡,,정량한계미만,,정량한계미만,정량한계미만,,,1.7,,정량한계미만,,,15.4,정량한계미만,4.7,,,정량한계미만,,,,,,14.6,4.058,0.009,315.0,6,,,,,정량한계미만,,0.107,,,3.174,,정량한계미만,,,7.9,정량한계미만,0.003,,4.2,,117.0,2.5,4.14,3.4,0.025,,
2012-01-25,67946,2012,1,3회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.7,,,,,3.0,,4.0,,,,,,,,,14.1,3.88,0.058,317.0,48,,,,,,,0.114,,,3.346,,,,,8.0,0.000,0.050,,8.6,,108.0,1.7,3.895,2.5,0.079,,
2013-01-21,68254,2013,1,3회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.6,,,,,15.0,,3.9,,,,,,,,,15.1,3.121,0.010,223.0,2,,,,,,,0.064,,,2.799,,,,,7.9,정량한계미만,0.003,,2.9,,5.0,2.0,3.556,2.9,0.030,,
2014-01-20,68537,2014,1,3회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,68835,2015,1,3회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.5,,,,,15.5,,4.4,,,,,,,,,15.3,3.773,0.010,289.0,5,,,,,,,0.063,,,3.165,,,,,7.8,정량한계미만,0.007,,4.0,,55.0,2.6,3.849,3.1,0.024,,
2012-01-30,85753,2012,1,4회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.7,,,,,4.3,,3.9,,,,,,,,,13.3,3.88,0.039,300.0,41,,,,,,,0.147,,,3.360,,,,,7.9,0.000,0.036,,18.5,,255.0,2.4,3.978,2.6,0.063,,
2013-01-28,85936,2013,1,4회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.0,,,,,6.1,,3.5,,,,,,,,,14.4,3.189,0.022,237.0,5,,,,,,,0.195,,,2.768,,,,,7.9,정량한계미만,0.014,,3.7,,9.0,1.9,3.475,2.7,0.041,,
2014-01-27,86117,2014,1,4회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,86343,2015,1,4회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.8,,,,,16.7,,4.3,,,,,,,,,15.8,3.515,0.013,305.0,2,,,,,,,0.082,,,3.330,,,,,7.8,정량한계미만,0.003,,3.8,,67.0,3.4,3.716,3.3,0.028,,
2012-02-06,5307,2012,2,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.8,,,,,2.8,,3.9,,,,,,,,,13.8,4.295,0.130,367.0,53,,,,,,,0.181,,,3.504,,,,,7.9,0.000,0.116,,7.8,,275.0,2.6,4.375,3.0,0.169,,
2013-02-04,6290,2013,2,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.6,,,,,4.4,,3.5,,,,,,,,,13.7,2.832,0.023,196.0,23,,,,,,,0.180,,,2.269,,,,,7.8,정량한계미만,0.013,,4.3,,70.0,2.0,2.996,2.7,0.036,,
2014-02-03,7098,2014,2,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,2.1,,,,,45.6,,5.6,,,,,,,,,15.2,3.789,0.023,354.0,1,,,,,,,0.038,,,3.039,,,,,8.6,정량한계미만,정량한계미만,,7.4,,9.0,4.8,4.017,3.8,0.048,,
2015-02-02,7867,2015,2,1회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.2,,,,,23.8,,4.7,,,,,,,,,15.9,3.97,0.010,302.0,2,,,,,,,0.068,,,3.193,,,,,7.9,정량한계미만,0.007,,4.8,,29.0,3.5,4.05,3.6,0.025,,
2012-02-13,50189,2012,2,2회차,낙동강,강정고령보(낙동왜관),칠곡,,0.00,,,0.00000,,,0.7,,0.00000,,,2.4,0.00,3.4,,,0.000,,,,,,14.4,3.11,0.074,286.0,1315,,,,,0.0000000,,0.155,,,2.861,,0.00000,,,7.9,0.000,0.057,,7.3,,2030.0,2.1,3.477,2.7,0.087,,
2013-02-12,50598,2013,2,2회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,1.1,,,,,2.9,,3.9,,,,,,,,,14.7,3.146,0.030,201.0,0,,,,,,,0.278,,,2.382,,,,,7.8,정량한계미만,0.021,,6.0,,5.0,0.7,3.267,2.8,0.045,,
2014-02-10,50930,2014,2,2회차,낙동강,강정고령보(낙동왜관),칠곡,,정량한계미만,,정량한계미만,정량한계미만,,,3.0,,정량한계미만,,,67.1,정량한계미만,6.2,,,정량한계미만,,,,,,15.3,3.808,0.017,374.0,1,,,,,정량한계미만,,0.058,,,3.138,,정량한계미만,,,8.6,정량한계미만,정량한계미만,,9.0,,13.0,4.2,4.377,3.9,0.050,,
2015-02-09,51256,2015,2,2회차,낙동강,강정고령보(낙동왜관),칠곡,,정량한계미만,,정량한계미만,정량한계미만,,,1.3,,정량한계미만,,,23.4,정량한계미만,5.3,,,정량한계미만,,,,,,14.4,3.461,0.012,287.0,0,,,,,정량한계미만,,0.028,,,2.667,,정량한계미만,,,8.2,정량한계미만,0.003,,7.0,,12.0,3.2,3.565,3.7,0.027,,
2012-02-20,69243,2012,2,3회차,낙동강,강정고령보(낙동왜관),칠곡,,,,,,,,0.4,,,,,3.4,,4.0,,,,,,,,,13.3,3.251,0.071,312.0,9,,,,,,,0.141,,,2.757,,,,,7.9,0.000,0.069,,5.0,,25.0,2.9,3.29,2.7,0.088,,
