 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-10,1159,2012,1,1회차,낙동강,낙동밀양,함안,,0.00,,,0.00000,,,2.9,,0.00000,,,51.0,0.00,6.6,,,0.000,,,,,,18.0,3.62,0.059,356.0,4,,,,,0.0000000,,0.018,,,3.538,,0.00000,,,8.8,0.000,0.041,,10.4,,29.0,3.0,4.121,3.4,0.136,,
2013-01-07,2144,2013,1,1회차,낙동강,낙동밀양,함안,,,,,,,,1.5,,,,,14.3,,4.6,,,,,,,,,14.1,3.265,0.013,324.0,0,,,,,,,0.147,,,2.813,,,,,8.0,정량한계미만,0.004,,6.3,,2.0,3.1,4.246,3.2,0.044,,
2014-01-06,3089,2014,1,1회차,낙동강,낙동밀양,함안,,,,,,,,1.7,,,,,20.4,,5.1,,,,,,,,,13.8,3.127,0.016,345.0,1,,,,,,,0.078,,,2.537,,,,,8.6,정량한계미만,정량한계미만,,4.2,,5.0,5.1,3.302,3.2,0.038,,
2015-01-05,3987,2015,1,1회차,낙동강,낙동밀양,함안,,,,,,,,1.5,,,,,6.1,,4.4,,,,,,,,,13.4,3.338,0.012,328.0,0,,,,,,,0.110,,,2.711,,,,,7.7,정량한계미만,0.005,,3.0,,5.0,3.0,3.432,3.1,0.026,,
2012-01-16,48731,2012,1,2회차,낙동강,낙동밀양,함안,,,,,,,,2.6,,,,,99.1,,6.3,,,,,,,,,19.1,3.191,0.024,305.0,2,,,,,,,0.008,,,2.772,,,,,9.1,0.000,0.005,,9.7,,3.0,2.0,3.755,3.4,0.110,,
2013-01-14,49129,2013,1,2회차,낙동강,낙동밀양,함안,,정량한계미만,,,정량한계미만,,,1.2,,정량한계미만,,,11.0,정량한계미만,4.1,,,정량한계미만,,,,,,13.7,2.955,0.014,289.0,1,,,,,정량한계미만,,0.143,,,2.597,,정량한계미만,,,8.0,정량한계미만,0.003,,6.0,,5.0,3.0,3.273,2.7,0.041,,
2014-01-13,49444,2014,1,2회차,낙동강,낙동밀양,함안,,정량한계미만,,정량한계미만,정량한계미만,,,2.3,,정량한계미만,,,22.7,정량한계미만,5.9,,,정량한계미만,,,,,,14.1,3.326,0.015,390.0,0,,,,,정량한계미만,,0.040,,,2.762,,정량한계미만,,,8.2,정량한계미만,정량한계미만,,5.0,,2.0,3.0,3.645,3.4,0.031,,
2015-01-12,49730,2015,1,2회차,낙동강,낙동밀양,함안,,정량한계미만,,정량한계미만,정량한계미만,,,1.1,,정량한계미만,,,8.0,정량한계미만,4.8,,,정량한계미만,,,,,,14.5,3.42,0.010,349.0,1,,,,,정량한계미만,,0.095,,,2.896,,정량한계미만,,,8.2,정량한계미만,0.004,,5.6,,15.0,2.6,3.488,3.5,0.028,,
2012-01-25,67870,2012,1,3회차,낙동강,낙동밀양,함안,,,,,,,,3.4,,,,,110.2,,7.5,,,,,,,,,17.8,3.635,0.051,366.0,1,,,,,,,0.005,,,3.278,,,,,9.3,0.000,0.039,,10.6,,3.0,3.0,4.339,3.7,0.146,,
2013-01-21,68257,2013,1,3회차,낙동강,낙동밀양,함안,,,,,,,,1.9,,,,,18.5,,4.8,,,,,,,,,14.0,3.377,0.009,302.0,0,,,,,,,0.187,,,2.759,,,,,8.0,정량한계미만,0.005,,6.3,,12.0,2.7,3.654,3.1,0.036,,
2014-01-20,68547,2014,1,3회차,낙동강,낙동밀양,함안,,,,,,,,2.4,,,,,22.2,,5.4,,,,,,,,,15.1,3.404,0.017,391.0,0,,,,,,,0.063,,,2.768,,,,,8.1,정량한계미만,0.003,,5.8,,2.0,3.2,4.01,3.2,0.029,,
2015-01-19,68845,2015,1,3회차,낙동강,낙동밀양,함안,,,,,,,,1.2,,,,,5.8,,4.8,,,,,,,,,15.3,3.465,0.009,332.0,0,,,,,,,0.102,,,2.896,,,,,8.0,정량한계미만,0.006,,3.8,,7.0,3.0,3.475,3.0,0.026,,
2012-01-30,85756,2012,1,4회차,낙동강,낙동밀양,함안,,,,,,,,3.6,,,,,108.7,,7.9,,,,,,,,,18.4,3.63,0.034,382.0,0,,,,,,,0.010,,,3.316,,,,,9.4,0.000,0.025,,19.2,,6.0,3.6,4.145,3.9,0.139,,
2013-01-28,85942,2013,1,4회차,낙동강,낙동밀양,함안,,,,,,,,2.4,,,,,23.3,,5.6,,,,,,,,,14.8,3.626,0.009,353.0,0,,,,,,,0.142,,,3.318,,,,,8.2,정량한계미만,0.003,,7.7,,1.0,4.4,4.194,3.5,0.037,,
2014-01-27,86048,2014,1,4회차,낙동강,낙동밀양,함안,,,,,,,,1.9,,,,,14.7,,4.8,,,,,,,,,14.4,3.358,0.012,363.0,0,,,,,,,0.071,,,2.668,,,,,7.8,정량한계미만,정량한계미만,,5.0,,2.0,3.6,3.738,3.1,0.032,,
2015-01-26,86353,2015,1,4회차,낙동강,낙동밀양,함안,,,,,,,,2.2,,,,,11.2,,5.1,,,,,,,,,13.5,3.653,0.013,357.0,0,,,,,,,0.101,,,3.370,,,,,7.9,정량한계미만,0.005,,4.4,,7.0,4.1,3.751,3.3,0.031,,
2012-02-08,5036,2012,2,1회차,낙동강,낙동밀양,함안,,,,,,,,3.9,,,,,106.8,,7.5,,,,,,,,,18.2,4.191,0.053,506.0,0,,,,,,,0.006,,,3.852,,,,,9.5,0.000,0.044,,18.4,,4.0,2.6,4.893,4.7,0.170,,
2013-02-04,6229,2013,2,1회차,낙동강,낙동밀양,함안,,,,,,,,1.9,,,,,15.5,,5.4,,,,,,,,,13.5,3.966,0.020,315.0,225,,,,,,,0.216,,,3.139,,,,,7.7,정량한계미만,0.007,,24.3,,710.0,5.7,4.172,3.5,0.072,,
2014-02-03,7109,2014,2,1회차,낙동강,낙동밀양,함안,,,,,,,,2.0,,,,,18.1,,5.2,,,,,,,,,13.9,3.719,0.021,391.0,2,,,,,,,0.092,,,2.994,,,,,7.6,정량한계미만,정량한계미만,,4.8,,8.0,5.9,3.854,3.2,0.043,,
2015-02-02,7882,2015,2,1회차,낙동강,낙동밀양,함안,,,,,,,,2.1,,,,,17.2,,5.2,,,,,,,,,13.8,3.979,0.011,329.0,0,,,,,,,0.099,,,2.267,,,,,8.1,정량한계미만,정량한계미만,,5.8,,3.0,4.0,4.435,3.4,0.032,,
2012-02-13,50194,2012,2,2회차,낙동강,낙동밀양,함안,,0.00,,,0.00000,,,3.8,,0.00000,,,128.9,0.00,7.4,,,0.000,,,,,,19.9,3.87,0.030,419.0,0,,,,,0.0000000,,0.020,,,3.597,,0.00000,,,9.4,0.000,0.004,,11.8,,6.0,3.4,4.398,4.4,0.123,,
2013-02-12,50602,2013,2,2회차,낙동강,낙동밀양,함안,,,,,,,,2.1,,,,,24.2,,4.1,,,,,,,,,15.0,3.131,0.008,252.0,0,,,,,,,0.173,,,2.574,,,,,7.8,정량한계미만,정량한계미만,,8.9,,14.0,3.3,3.467,2.6,0.038,,
2014-02-10,50940,2014,2,2회차,낙동강,낙동밀양,함안,,정량한계미만,,정량한계미만,정량한계미만,,,2.2,,정량한계미만,,,33.5,정량한계미만,5.7,,,정량한계미만,,,,,,13.8,3.549,0.017,392.0,0,,,,,정량한계미만,,0.068,,,2.893,,정량한계미만,,,7.8,정량한계미만,정량한계미만,,7.6,,4.0,4.8,3.859,2.8,0.054,,
2015-02-09,51268,2015,2,2회차,낙동강,낙동밀양,함안,,정량한계미만,,정량한계미만,정량한계미만,,,1.5,,정량한계미만,,,18.5,정량한계미만,5.6,,,정량한계미만,,,,,,14.3,3.635,0.014,371.0,0,,,,,정량한계미만,,0.084,,,2.967,,정량한계미만,,,8.1,정량한계미만,정량한계미만,,6.6,,3.0,3.8,3.708,3.6,0.033,,
2012-02-20,69152,2012,2,3회차,낙동강,낙동밀양,함안,,,,,,,,4.2,,,,,134.4,,8.7,,,,,,,,,21.5,3.516,0.013,397.0,0,,,,,,,0.022,,,3.095,,,,,9.6,0.000,0.002,,11.6,,1.0,5.8,4.235,4.5,0.098,,
2013-02-18,69630,2013,2,3회차,낙동강,낙동밀양,함안,,정량한계미만,,,정량한계미만,,,2.2,,정량한계미만,,,43.3,정량한계미만,5.0,,,정량한계미만,,,,,,15.2,2.89,0.011,261.0,0,,,,,정량한계미만,,0.114,,,2.691,,정량한계미만,,,7.8,정량한계미만,정량한계미만,,9.1,,5.0,3.8,3.545,3.0,0.042,,
2014-02-17,69964,2014,2,3회차,낙동강,낙동밀양,함안,,,,,,,,1.9,,,,,34.3,,5.4,,,,,,,,,14.4,3.606,0.014,382.0,0,,,,,,,0.042,,,2.877,,,,,8.0,정량한계미만,정량한계미만,,7.0,,5.0,5.7,3.808,2.8,0.032,,
2015-02-16,70157,2015,2,3회차,낙동강,낙동밀양,함안,,,,,,,,2.8,,,,,18.8,,5.1,,,,,,,,,14.5,3.618,0.012,365.0,0,,,,,,,0.095,,,2.934,,,,,8.1,정량한계미만,0.006,,5.2,,2.0,4.4,3.954,3.6,0.031,,
