,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필
2012-07-01,도개,,,,,,,,,
2012-07-02,도개,,,,,,,,,
2012-07-03,도개,,,,,,,,,
2012-07-04,도개,,,,,,,,,
2012-07-05,도개,,,,,,,,,
2012-07-06,도개,,,,,,,,,
2012-07-07,도개,,,,,,,,,
2012-07-08,도개,,,,,,,,,
2012-07-09,도개,,,,,,,,,
2012-07-10,도개,,,,,,,,,
2012-07-11,도개,,,,,,,,,
2012-07-12,도개,,,,,,,,,
2012-07-13,도개,,,,,,,,,
2012-07-14,도개,,,,,,,,,
2012-07-15,도개,,,,,,,,,
2012-07-16,도개,,,,,,,,,
2012-07-17,도개,,,,,,,,,
2012-07-18,도개,,,,,,,,,
2012-07-19,도개,,,,,,,,,
2012-07-20,도개,,,,,,,,,
2012-07-21,도개,,,,,,,,,
2012-07-22,도개,,,,,,,,,
2012-07-23,도개,,,,,,,,,
2012-07-24,도개,,,,,,,,,
2012-07-25,도개,,,,,,,,,
2012-07-26,도개,,,,,,,,,
2012-07-27,도개,,,,,,,,,
2012-07-28,도개,,,,,,,,,
2012-07-29,도개,,,,,,,,,
2012-07-30,도개,,,,,,,,,
2012-07-31,도개,,,,,,,,,
2012-08-01,도개,,,,,,,,,
2012-08-02,도개,,,,,,,,,
2012-08-03,도개,,,,,,,,,
2012-08-04,도개,,,,,,,,,
2012-08-05,도개,,,,,,,,,
2012-08-06,도개,,,,,,,,,
2012-08-07,도개,,,,,,,,,
2012-08-08,도개,,,,,,,,,
2012-08-09,도개,,,,,,,,,
2012-08-10,도개,,,,,,,,,
2012-08-11,도개,,,,,,,,,
2012-08-12,도개,,,,,,,,,
2012-08-13,도개,,,,,,,,,
2012-08-14,도개,,,,,,,,,
2012-08-15,도개,,,,,,,,,
2012-08-16,도개,,,,,,,,,
2012-08-17,도개,,,,,,,,,
2012-08-18,도개,,,,,,,,,
2012-08-19,도개,,,,,,,,,
2012-08-20,도개,,,,,,,,,
2012-08-21,도개,,,,,,,,,
2012-08-22,도개,,,,,,,,,
2012-08-23,도개,,,,,,,,,
2012-08-24,도개,,,,,,,,,
2012-08-25,도개,,,,,,,,,
2012-08-26,도개,,,,,,,,,
2012-08-27,도개,,,,,,,,,
2012-08-28,도개,,,,,,,,,
2012-08-29,도개,,,,,,,,,
2012-08-30,도개,,,,,,,,,
2012-08-31,도개,,,,,,,,,
2012-09-01,도개,,,,,,,,,
2012-09-02,도개,,,,,,,,,
2012-09-03,도개,,,,,,,,,
2012-09-04,도개,,,,,,,,,
2012-09-05,도개,,,,,,,,,
2012-09-06,도개,,,,,,,,,
2012-09-07,도개,,,,,,,,,
2012-09-08,도개,,,,,,,,,
2012-09-09,도개,,,,,,,,,
2012-09-10,도개,,,,,,,,,
2012-09-11,도개,,,,,,,,,
2012-09-12,도개,,,,,,,,,
2012-09-13,도개,,,,,,,,,
2012-09-14,도개,,,,,,,,,
2012-09-15,도개,,,,,,,,,
2012-09-16,도개,,,,,,,,,
2012-09-17,도개,,,,,,,,,
2012-09-18,도개,,,,,,,,,
2012-09-19,도개,,,,,,,,,
2012-09-20,도개,,,,,,,,,
2012-09-21,도개,20.6,7.0,129.0,9.6,36.5,4.3,3.093,0.055,2.6
2012-09-22,도개,21.1,7.1,141.0,9.5,22.1,4.0,2.86,0.058,2.8
2012-09-23,도개,21.4,7.2,152.0,9.9,14.1,4.0,2.617,0.093,3.4
2012-09-24,도개,21.3,7.3,161.0,9.7,10.5,3.9,,0.093,4.1
2012-09-25,도개,,,,,,,,,
