,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필
2012-07-01,신암,,,,,,,,,
2012-07-02,신암,,,,,,,,,
2012-07-03,신암,,,,,,,,,
2012-07-04,신암,,,,,,,,,
2012-07-05,신암,,,,,,,,,
2012-07-06,신암,,,,,,,,,
2012-07-07,신암,,,,,,,,,
2012-07-08,신암,,,,,,,,,
2012-07-09,신암,,,,,,,,,
2012-07-10,신암,,,,,,,,,
2012-07-11,신암,,,,,,,,,
2012-07-12,신암,,,,,,,,,
2012-07-13,신암,,,,,,,,,
2012-07-14,신암,,,,,,,,,
2012-07-15,신암,,,,,,,,,
2012-07-16,신암,,,,,,,,,
2012-07-17,신암,,,,,,,,,
2012-07-18,신암,,,,,,,,,
2012-07-19,신암,,,,,,,,,
2012-07-20,신암,,,,,,,,,
2012-07-21,신암,,,,,,,,,
2012-07-22,신암,,,,,,,,,
2012-07-23,신암,,,,,,,,,
2012-07-24,신암,,,,,,,,,
2012-07-25,신암,,,,,,,,,
2012-07-26,신암,,,,,,,,,
2012-07-27,신암,,,,,,,,,
2012-07-28,신암,,,,,,,,,
2012-07-29,신암,,,,,,,,,
2012-07-30,신암,,,,,,,,,
2012-07-31,신암,,,,,,,,,
2012-08-01,신암,,,,,,,,,
2012-08-02,신암,,,,,,,,,
2012-08-03,신암,,,,,,,,,
2012-08-04,신암,,,,,,,,,
2012-08-05,신암,,,,,,,,,
2012-08-06,신암,,,,,,,,,
2012-08-07,신암,,,,,,,,,
2012-08-08,신암,,,,,,,,,
2012-08-09,신암,,,,,,,,,
2012-08-10,신암,,,,,,,,,
2012-08-11,신암,,,,,,,,,
2012-08-12,신암,,,,,,,,,
2012-08-13,신암,,,,,,,,,
2012-08-14,신암,,,,,,,,,
2012-08-15,신암,,,,,,,,,
2012-08-16,신암,,,,,,,,,
2012-08-17,신암,,,,,,,,,
2012-08-18,신암,,,,,,,,,
2012-08-19,신암,,,,,,,,,
2012-08-20,신암,,,,,,,,,
2012-08-21,신암,,,,,,,,,
2012-08-22,신암,,,,,,,,,
2012-08-23,신암,,,,,,,,,
2012-08-24,신암,,,,,,,,,
2012-08-25,신암,,,,,,,,,
2012-08-26,신암,,,,,,,,,
2012-08-27,신암,,,,,,,,,
2012-08-28,신암,,,,,,,,,
2012-08-29,신암,,,,,,,,,
2012-08-30,신암,,,,,,,,,
2012-08-31,신암,,,,,,,,,
2012-09-01,신암,,,,,,,,,
2012-09-02,신암,,,,,,,,,
2012-09-03,신암,,,,,,,,,
2012-09-04,신암,,,,,,,,,
2012-09-05,신암,,,,,,,,,
2012-09-06,신암,,,,,,,,,
2012-09-07,신암,,,,,,,,,
2012-09-08,신암,,,,,,,,,
2012-09-09,신암,,,,,,,,,
2012-09-10,신암,,,,,,,,,
2012-09-11,신암,,,,,,,,,
2012-09-12,신암,,,,,,,,,
2012-09-13,신암,,,,,,,,,
2012-09-14,신암,,,,,,,,,
2012-09-15,신암,,,,,,,,,
