,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,클로로필,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,벤젠,톨루엔,에틸벤젠,자일렌,자일렌,염화메틸렌,트리클로로에테인,사염화탄소,트리클로로에틸렌,테트라클로로에틸렌,페놀
2012-07-01,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-02,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-03,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-04,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-05,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-06,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-07,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-08,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-10,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-11,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-12,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-14,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-15,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-16,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-17,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-18,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-19,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-21,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-22,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-23,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-24,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-25,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-26,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-28,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-29,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-30,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-02,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-03,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-04,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-05,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-06,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-07,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-08,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-09,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-10,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-11,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-12,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-13,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-14,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-15,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-16,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-17,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-18,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-19,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-21,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-22,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-23,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-24,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-25,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-26,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-27,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-28,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-29,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-30,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-02,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-03,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-04,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-05,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-06,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-08,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-09,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-10,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-11,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-12,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-13,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-14,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-15,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-16,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-17,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-18,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-19,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-20,해평,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,해평,,,,,,,,,,,,,,,,,,,,,,,
