,측정소명,수온,수소이온농도,전기전도도,용존산소,탁도,총유기탄소,총질소,총인,클로로필
2012-07-01,양평,,,,,,,,,
2012-07-02,양평,,,,,,,,,
2012-07-03,양평,,,,,,,,,
2012-07-04,양평,,,,,,,,,
2012-07-05,양평,,,,,,,,,
2012-07-06,양평,,,,,,,,,
2012-07-07,양평,,,,,,,,,
2012-07-08,양평,,,,,,,,,
2012-07-09,양평,,,,,,,,,
2012-07-10,양평,,,,,,,,,
2012-07-11,양평,,,,,,,,,
2012-07-12,양평,,,,,,,,,
2012-07-13,양평,,,,,,,,,
2012-07-14,양평,,,,,,,,,
2012-07-15,양평,,,,,,,,,
2012-07-16,양평,,,,,,,,,
2012-07-17,양평,,,,,,,,,
2012-07-18,양평,,,,,,,,,
2012-07-19,양평,,,,,,,,,
2012-07-20,양평,,,,,,,,,
2012-07-21,양평,,,,,,,,,
2012-07-22,양평,,,,,,,,,
2012-07-23,양평,,,,,,,,,
2012-07-24,양평,,,,,,,,,
2012-07-25,양평,,,,,,,,,
2012-07-26,양평,,,,,,,,,
2012-07-27,양평,,,,,,,,,
2012-07-28,양평,,,,,,,,,
2012-07-29,양평,,,,,,,,,
2012-07-30,양평,,,,,,,,,
2012-07-31,양평,,,,,,,,,
2012-08-01,양평,,,,,,,,,
2012-08-02,양평,,,,,,,,,
2012-08-03,양평,,,,,,,,,
2012-08-04,양평,,,,,,,,,
2012-08-05,양평,,,,,,,,,
2012-08-06,양평,,,,,,,,,
2012-08-07,양평,,,,,,,,,
2012-08-08,양평,,,,,,,,,
2012-08-09,양평,,,,,,,,,
2012-08-10,양평,,,,,,,,,
2012-08-11,양평,,,,,,,,,
2012-08-12,양평,,,,,,,,,
2012-08-13,양평,,,,,,,,,
2012-08-14,양평,,,,,,,,,
2012-08-15,양평,,,,,,,,,
2012-08-16,양평,,,,,,,,,
2012-08-17,양평,,,,,,,,,
2012-08-18,양평,,,,,,,,,
2012-08-19,양평,,,,,,,,,
2012-08-20,양평,,,,,,,,,
2012-08-21,양평,,,,,,,,,
2012-08-22,양평,,,,,,,,,
2012-08-23,양평,,,,,,,,,
2012-08-24,양평,,,,,,,,,
2012-08-25,양평,,,,,,,,,
2012-08-26,양평,,,,,,,,,
2012-08-27,양평,,,,,,,,,
2012-08-28,양평,,,,,,,,,
2012-08-29,양평,,,,,,,,,
2012-08-30,양평,,,,,,,,,
2012-08-31,양평,,,,,,,,,
2012-09-01,양평,,,,,,,,,
2012-09-02,양평,,,,,,,,,
2012-09-03,양평,,,,,,,,,
2012-09-04,양평,,,,,,,,,
2012-09-05,양평,,,,,,,,,
2012-09-06,양평,,,,,,,,,
2012-09-07,양평,,,,,,,,,
2012-09-08,양평,,,,,,,,,
2012-09-09,양평,,,,,,,,,
2012-09-10,양평,,,,,,,,,
2012-09-11,양평,,,,,,,,,
2012-09-12,양평,,,,,,,,,
2012-09-13,양평,,,,,,,,,
2012-09-14,양평,,,,,,,,,
2012-09-15,양평,,,,,,,,,
2012-09-16,양평,,,,,,,,,
2012-09-17,양평,,,,,,,,,
2012-09-18,양평,,,,,,,,,
2012-09-19,양평,,,,,,,,,
2012-09-20,양평,,,,,,,,,
2012-09-21,양평,,,,,,,,,
2012-09-22,양평,,,,,,,,,
2012-09-23,양평,,,,,,,,,
2012-09-24,양평,,,,,,,,,
2012-09-25,양평,,,,,,,,,
