,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
0,26.4,8.8,2.71,25.897608,47.914307,1223.1134
1,22.6,8.2,2.393,21.736624,24.142387,3903.591
2,26.0,8.0,2.386,21.439247,-0.39474642,439.13782
3,24.2,8.9,2.554,19.485044,-0.39474642,223.9059
4,22.7,8.3,2.442,17.205297,-0.39474642,183.20717
5,21.5,9.7,2.935,15.942285,-0.39474642,151.2491
6,18.1,9.4,2.755,14.210293,8.654409,150.26492
7,18.1,10.0,2.837,12.381123,-0.39474642,145.5462
8,15.1,10.1,2.858,12.1483,1.8675425,156.57133
9,13.7,10.7,2.825,8.962277,6.7401648,176.49646
10,12.4,11.2,3.097,6.157238,-0.39474642,132.26039
11,9.4,12.0,3.106,4.7171865,2.215587,172.93721
12,7.8,12.5,2.786,2.8280706,1.0861717,121.84135
13,5.3,13.9,3.058,1.9339074,8.317893,138.17438
14,5.2,13.3,3.612,0.38121548,8.971341,215.10374
15,3.1,14.1,4.246,-2.5032542,-0.39474642,125.58988
16,3.0,13.7,3.273,0.67210436,-0.39474642,101.58779
17,2.7,14.0,3.654,3.6790028,3.1095514,218.71066
18,4.4,14.8,4.194,6.4148626,16.15927,380.99405
19,5.7,13.5,4.172,2.8204813,0.87930214,304.30304
20,3.3,15.0,3.467,2.1203904,-0.046701968,160.61523
21,3.8,15.2,3.545,1.7862651,1.5194981,123.72219
22,6.7,15.5,3.148,6.4645233,4.3972054,152.56949
23,7.6,15.1,3.353,10.76203,0.040885568,147.77461
24,11.5,14.5,3.388,11.04881,3.4013343,105.13995
25,13.0,14.0,3.671,11.627701,11.438765,436.1758
26,12.3,13.4,3.746,11.332474,-0.39474642,190.90393
27,14.6,12.5,3.464,13.321515,13.109845,130.51732
28,15.4,11.6,2.924,8.870344,0.3013425,346.49506
29,14.4,12.5,3.575,14.957721,0.91214955,135.8874
30,13.9,11.1,3.063,14.694463,10.130993,225.15445
31,15.7,10.8,3.124,15.163508,1.5194981,198.951
32,19.5,10.7,3.298,20.184778,4.467112,141.88069
33,23.2,9.7,3.142,21.465683,-0.39474642,112.28637
34,23.6,7.9,2.967,24.246698,8.480387,181.21297
35,23.2,8.5,2.874,23.132767,21.706076,549.79333
