,rawcyano
0,79
1,0
2,0
3,0
4,63
5,0
6,0
7,0
8,135
9,211
10,247
11,359
12,1171
13,43
14,0
15,163
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,79
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,127
38,0
39,171
40,0
41,399
42,5015
43,17415
44,24299
45,14147
46,2295
47,6447
48,40391
49,202791
50,10975
51,7755
52,9287
53,1939
54,3691
55,1255
56,703
57,279
58,204
59,214
60,74
61,1084
62,0
63,0
64,594
65,0
66,57
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,378
85,464
86,4604
87,23212
88,23471
89,18826
90,28415
91,5974
92,18141
93,29524
94,31334
95,7874
96,14149
97,0
98,179
99,3794
100,3524
101,10454
102,4104
103,1019
104,3084
105,2149
106,334
107,414
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,475
133,14
134,641
135,70
136,441
137,3198
138,5791
139,22974
140,70173
141,44141
142,78089
143,550
144,10125
145,33895
146,64617
147,46902
148,556739
149,152380
150,59418
151,26839
152,10032
153,145807
154,39613
155,21749
156,8591
157,72418
158,20137
159,47359
160,27342
161,12585
162,3756
163,1278
164,759
165,3474
166,347
167,2089
168,241
169,151
170,253
171,0
172,0
173,0
174,0
175,0
176,100
177,0
178,0
179,0
180,117
181,0
182,34
183,175
184,0
185,161
186,119
187,9010
188,15771
189,11089
190,24228
191,23174
192,11380
193,1159
194,905
195,1894
196,5977
197,16715
198,12976
199,79466
200,204537
201,67066
202,1574
203,4490
204,436
205,1527
206,1035
207,473
208,1110
209,263
210,501
211,61
212,243
213,1057
214,1157
215,4276
216,2807
217,601
218,201
219,120
220,126
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,89
234,36
235,185
236,0
237,0
238,79
239,185
240,958
241,12123
242,141079
243,114590
244,36797
245,14517
246,13146
247,23332
248,66067
249,7893
250,44504
251,6179
252,3270
253,7946
254,20872
255,7034
256,62710
257,45689
258,46134
259,11587
260,18212
261,46838
262,53331
263,24603
264,26651
265,9819
266,2134
267,607
268,538
269,139
270,84
271,47
272,77
273,79
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,126
282,306
283,630
284,1333
285,855
286,835
287,242
288,441
289,1131
290,2808
291,21709
292,22181
293,92542
294,104854
295,414
296,1809
297,34268
298,109427
299,715992
300,228837
301,350692
302,2069
303,199
304,808
305,847
306,1149
307,3425
308,894
309,1308
310,1344
311,5563
312,718
313,282
314,923
315,128
316,1255
317,331
318,61
319,21
320,0
321,75
322,406
323,0
324,102
325,64
326,88
327,98
328,119
329,82
330,44
331,0
332,5
333,0
334,0
335,61
336,0
337,489
338,281
339,74
340,3011
341,3460
342,37867
343,50431
344,40468
345,59525
346,223561
347,17803
348,11539
349,113641
350,66144
351,194923
352,29215
353,24273
354,7572
355,67489
356,776
357,1737
358,267
359,1713
360,378
361,148
362,632
363,579
364,624
365,454
366,1009
367,877
368,261
369,142
370,219
371,126
372,148
373,511
374,506
375,1314
376,1491
377,941
378,62
379,803
380,1240
381,1081
382,1236
383,677
384,46
385,0
386,0
387,241
388,677
389,572
390,144
391,1367
392,7172
393,3125
394,16168
395,39444
396,47792
397,1443
398,3266
399,1010
400,2252
401,2789
402,5037
403,1247
404,4642
405,2604
406,5987
407,3916
408,1311
409,1032
410,851
411,720
412,255
413,154
414,2005
415,1397
416,5679
417,3799
418,136
419,54
420,71
421,38
422,134
423,0
424,121
425,110
426,172
427,287
428,383
429,371
430,1756
431,1164
432,63
433,0
434,18
435,811
436,523
437,1653
438,282
439,2224
440,2025
441,24938
442,30472
443,247
444,1029
445,16748
446,43365
447,2316
448,40232
449,12442
450,753
451,1908
452,1586
453,1323
454,4627
455,3816
456,1658
457,1932
458,2105
459,795
460,697
461,897
462,930
463,1132
464,501
465,81
