,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
0,0,26.4,8.8,2.71,-24.772367,4.974584,-555.7518
1,79,22.6,8.2,2.393,-20.151506,0.43268633,-1217.3527
2,0,26.0,8.0,2.386,-19.97804,0.43268633,-148.1201
3,0,24.2,8.9,2.554,-18.39377,0.43268633,-168.75848
4,0,22.7,8.3,2.442,-15.627925,0.43268633,-119.57914
5,63,21.5,9.7,2.935,-12.82289,0.43268633,-121.91394
6,0,18.1,9.4,2.755,-12.2001,1.2525282,-131.16441
7,0,18.1,10.0,2.837,-7.4930134,0.43268633,-112.21203
8,0,15.1,10.1,2.858,-10.237251,0.6218806,-80.100136
9,135,13.7,10.7,2.825,-5.8262253,0.93720436,-115.35706
10,211,12.4,11.2,3.097,-4.397301,0.43268633,-112.58733
11,247,9.4,12.0,3.106,-3.191472,0.43268633,-95.34691
12,359,7.8,12.5,2.786,0.9899987,0.42419893,-92.33318
13,1171,5.3,13.9,3.058,3.6548474,1.6939814,-98.55053
14,43,5.2,13.3,3.612,1.6843874,1.7885785,-176.23985
15,0,3.1,14.1,4.246,4.336503,0.43268633,-86.306694
16,163,3.0,13.7,3.273,0.69521874,0.43268633,-78.76416
17,0,2.7,14.0,3.654,-1.8388426,0.20514596,-121.11707
18,0,4.4,14.8,4.194,1.9660958,2.8291469,-113.02057
19,0,5.7,13.5,4.172,1.9741813,0.23500466,-226.0106
20,0,3.3,15.0,3.467,0.85022295,0.43268633,-143.29382
21,0,3.8,15.2,3.545,-0.44839582,0.43268633,-81.92929
22,0,6.7,15.5,3.148,-3.632328,1.1263986,-79.10819
23,0,7.6,15.1,3.353,-4.0614467,0.49575108,-88.755104
24,0,11.5,14.5,3.388,-8.088511,0.79490626,-46.2203
25,0,13.0,14.0,3.671,-7.629256,0.43268633,-286.37338
26,0,12.3,13.4,3.746,-8.569409,0.43268633,-127.79464
27,79,14.6,12.5,3.464,-10.1078415,2.3876936,-106.35064
28,0,15.4,11.6,2.924,-6.793996,0.43268633,-214.95819
29,0,14.4,12.5,3.575,-13.264279,0.6218806,-106.89426
30,0,13.9,11.1,3.063,-10.834246,0.17528726,-178.02705
31,0,15.7,10.8,3.124,-13.59472,0.59034824,-167.19214
32,0,19.5,10.7,3.298,-18.682539,0.99602574,-100.176445
33,0,23.2,9.7,3.142,-18.834906,0.43268633,-76.43057
34,0,23.6,7.9,2.967,-20.048447,0.43268633,-115.77775
35,0,23.2,8.5,2.874,-21.88342,0.43268633,-293.84406
36,0,26.2,8.2,2.695,-22.969198,0.43268633,-167.2936
37,0,25.3,8.8,2.133,-22.995026,-1.4640875,-148.03264
38,127,26.9,10.1,2.363,-25.332825,3.967751,-203.46272
39,0,26.9,8.5,2.138,-23.648016,-2.334857,-279.96664
40,171,29.0,9.0,2.234,-26.507126,2.1176562,-150.37349
41,0,26.7,7.3,2.928,-27.952398,0.43268633,-427.83737
42,399,31.0,10.1,2.69,-28.88506,0.43268633,-236.5671
43,5015,31.6,10.0,2.583,-29.238867,0.43268633,-215.85132
