,rawcyano
0,0
1,79
2,0
3,0
4,0
5,63
6,0
7,0
8,0
9,135
10,211
11,247
12,359
13,1171
14,43
15,0
16,163
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,79
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,127
39,0
40,171
41,0
42,399
43,5015
44,17415
45,24299
46,14147
47,2295
48,6447
49,40391
50,202791
51,10975
52,7755
53,9287
54,1939
55,3691
56,1255
57,703
58,279
59,204
60,214
61,74
62,1084
63,0
64,0
65,594
66,0
67,57
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,378
86,464
87,4604
88,23212
89,23471
90,18826
91,28415
92,5974
93,18141
94,29524
95,31334
96,7874
97,14149
98,0
99,179
100,3794
101,3524
102,10454
103,4104
104,1019
105,3084
106,2149
107,334
108,414
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,475
134,14
135,641
136,70
137,441
138,3198
139,5791
140,22974
141,70173
142,44141
143,78089
144,550
145,10125
146,33895
147,64617
148,46902
149,556739
150,152380
151,59418
152,26839
153,10032
154,145807
155,39613
156,21749
157,8591
158,72418
159,20137
160,47359
161,27342
162,12585
163,3756
164,1278
165,759
166,3474
167,347
168,2089
169,241
170,151
171,253
172,0
173,0
174,0
175,0
176,0
177,100
178,0
179,0
180,0
181,117
182,0
183,34
184,175
185,0
186,161
187,119
188,9010
189,15771
190,11089
191,24228
192,23174
193,11380
194,1159
195,905
196,1894
197,5977
198,16715
199,12976
200,79466
201,204537
202,67066
203,1574
204,4490
205,436
206,1527
207,1035
208,473
209,1110
210,263
211,501
212,61
213,243
214,1057
215,1157
216,4276
217,2807
218,601
219,201
220,120
221,126
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,89
235,36
236,185
237,0
238,0
239,79
240,185
241,958
242,12123
243,141079
244,114590
245,36797
246,14517
247,13146
248,23332
249,66067
250,7893
251,44504
252,6179
253,3270
254,7946
255,20872
256,7034
257,62710
258,45689
259,46134
260,11587
261,18212
262,46838
263,53331
264,24603
265,26651
266,9819
267,2134
268,607
269,538
270,139
271,84
272,47
273,77
274,79
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,126
283,306
284,630
285,1333
286,855
287,835
288,242
289,441
290,1131
291,2808
292,21709
293,22181
294,92542
295,104854
296,414
297,1809
298,34268
299,109427
300,715992
301,228837
302,350692
303,2069
304,199
305,808
306,847
307,1149
308,3425
309,894
310,1308
311,1344
312,5563
313,718
314,282
315,923
316,128
317,1255
318,331
319,61
320,21
321,0
322,75
323,406
324,0
325,102
326,64
327,88
328,98
329,119
330,82
331,44
332,0
333,5
334,0
335,0
336,61
337,0
338,489
339,281
340,74
341,3011
342,3460
343,37867
344,50431
345,40468
346,59525
347,223561
348,17803
349,11539
350,113641
351,66144
352,194923
353,29215
354,24273
355,7572
356,67489
357,776
358,1737
359,267
360,1713
361,378
362,148
363,632
364,579
365,624
366,454
367,1009
368,877
369,261
370,142
371,219
372,126
373,148
374,511
375,506
376,1314
377,1491
378,941
379,62
380,803
381,1240
382,1081
383,1236
384,677
385,46
386,0
387,0
388,241
389,677
390,572
391,144
392,1367
393,7172
394,3125
395,16168
396,39444
397,47792
398,1443
399,3266
400,1010
401,2252
402,2789
403,5037
404,1247
405,4642
406,2604
407,5987
408,3916
409,1311
410,1032
411,851
412,720
413,255
414,154
415,2005
416,1397
417,5679
418,3799
419,136
420,54
421,71
422,38
423,134
424,0
425,121
426,110
427,172
428,287
429,383
430,371
431,1756
432,1164
433,63
434,0
435,18
436,811
437,523
438,1653
439,282
440,2224
441,2025
442,24938
443,30472
444,247
445,1029
446,16748
447,43365
448,2316
449,40232
450,12442
451,753
452,1908
453,1586
454,1323
455,4627
456,3816
457,1658
458,1932
459,2105
460,795
461,697
462,897
463,930
464,1132
465,501
466,81
