조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,강정고령보,다사,2023.01.02,3.0,7.9,12.7,2.5,1.7,9.9,0.0,0.0,0.0,0.0,0.0,,,
2012-01-05,하천,강정고령보,다사,2012.01.05,1.8,7.6,14.6,,,2.3,0.0,,,,,,,
2012-01-10,하천,강정고령보,다사,2012.01.10,3.1,7.5,13.4,,,2.4,0.0,,,,,,,
2012-01-16,하천,강정고령보,다사,2012.01.16,1.9,7.8,13.0,,,4.7,0.0,,,,,,,
2012-01-25,하천,강정고령보,다사,2012.01.25,0.9,7.7,13.0,,,8.6,0.0,,,,,,,
2012-01-30,하천,강정고령보,다사,2012.01.30,2.9,7.6,13.2,,,13.8,0.0,,,,,,,
2012-02-07,하천,강정고령보,다사,2012.02.07,3.0,9.2,14.0,,,46.1,0.0,,,,,,,
2012-02-13,하천,강정고령보,다사,2012.02.13,2.6,8.6,17.0,,,27.3,0.0,,,,,,,
2012-02-20,하천,강정고령보,다사,2012.02.20,2.6,8.2,14.8,,,21.7,0.0,,,,,,,
2012-02-27,하천,강정고령보,다사,2012.02.27,2.5,8.5,14.6,,,34.9,0.0,,,,,,,
2012-02-28,하천,강정고령보,다사,2012.02.28,3.0,8.7,14.2,,,40.2,0.0,,,,,,,
2012-02-29,하천,강정고령보,다사,2012.02.29,5.2,8.9,13.0,,,50.5,0.0,,,,,,,
2012-03-02,하천,강정고령보,다사,2012.03.02,5.4,8.0,17.4,,,73.1,0.0,,,,,,,
2012-03-05,하천,강정고령보,다사,2012.03.05,5.0,9.2,16.4,,,88.5,0.0,,,,,,,
2012-03-08,하천,강정고령보,다사,2012.03.08,8.6,9.3,16.9,,,108.4,0.0,,,,,,,
2012-03-12,하천,강정고령보,다사,2012.03.12,5.7,9.6,16.5,,,81.6,0.0,,,,,,,
2012-03-15,하천,강정고령보,다사,2012.03.15,7.5,9.6,16.4,,,101.8,0.0,,,,,,,
2012-03-19,하천,강정고령보,다사,2012.03.19,10.6,9.7,17.2,,,81.6,0.0,,,,,,,
2012-03-22,하천,강정고령보,다사,2012.03.22,8.5,9.7,17.0,,,80.0,0.0,,,,,,,
2012-03-26,하천,강정고령보,다사,2012.03.26,8.0,9.5,14.9,,,54.7,0.0,,,,,,,
2012-04-02,하천,강정고령보,다사,2012.04.02,10.3,9.4,13.4,,,38.9,0.0,,,,,,,
2012-04-09,하천,강정고령보,다사,2012.04.09,11.7,9.2,13.5,,,43.6,0.0,,,,,,,
2012-04-16,하천,강정고령보,다사,2012.04.16,16.0,9.5,15.0,,,19.4,0.0,,,,,,,
2012-04-23,하천,강정고령보,다사,2012.04.23,15.0,9.0,11.3,,,27.9,0.0,,,,,,,
2012-04-30,하천,강정고령보,다사,2012.04.30,17.3,9.1,12.0,,,41.7,0.0,,,,,,,
2012-05-07,하천,강정고령보,다사,2012.05.07,20.8,9.1,11.0,,,20.8,0.0,,,,,,,
2012-05-14,하천,강정고령보,다사,2012.05.14,18.3,9.0,10.7,,,26.8,314.0,,,,,,,
2012-05-21,하천,강정고령보,다사,2012.05.21,20.2,8.7,9.7,,,8.7,22.0,,,,,,,
2012-05-29,하천,강정고령보,다사,2012.05.29,23.1,8.1,8.6,,,4.2,40.0,,,,,,,
