조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,강천보,강천,2023.01.02,,,,,,,,,,,,,,
2012-05-21,하천,강천보,강천,2012.05.21,22.2,8.9,12.9,,,20.1,0.0,0.0,0.0,0.0,0.0,,,
2012-05-29,하천,강천보,강천,2012.05.29,18.7,7.9,12.7,,,14.7,0.0,0.0,0.0,0.0,0.0,,,
2012-06-07,하천,강천보,강천,2012.06.07,20.5,8.3,12.7,,,17.8,0.0,0.0,0.0,0.0,0.0,,,
2012-06-11,하천,강천보,강천,2012.06.11,21.1,8.5,11.8,,,26.3,0.0,0.0,0.0,0.0,0.0,,,
2012-06-18,하천,강천보,강천,2012.06.18,24.4,8.6,11.8,,,9.8,0.0,0.0,0.0,0.0,0.0,,,
2012-06-25,하천,강천보,강천,2012.06.25,23.7,7.0,10.7,,,5.6,0.0,0.0,0.0,0.0,0.0,,,
2012-07-02,하천,강천보,강천,2012.07.02,24.6,8.1,10.2,,,13.6,0.0,0.0,0.0,0.0,0.0,,,
2012-07-09,하천,강천보,강천,2012.07.09,20.9,8.1,9.9,,,4.1,0.0,0.0,0.0,0.0,0.0,,,
2012-07-16,하천,강천보,강천,2012.07.16,21.1,8.2,9.5,,,6.9,0.0,0.0,0.0,0.0,0.0,,,
2012-07-23,하천,강천보,강천,2012.07.23,24.5,7.8,8.7,,,5.7,0.0,0.0,0.0,0.0,0.0,,,
2012-07-30,하천,강천보,강천,2012.07.30,26.1,8.9,9.8,,,9.4,0.0,0.0,0.0,0.0,0.0,,,
2012-08-06,하천,강천보,강천,2012.08.06,29.4,8.4,11.5,,,6.7,0.0,0.0,0.0,0.0,0.0,,,
2012-08-13,하천,강천보,강천,2012.08.13,21.0,8.6,9.9,,,12.2,0.0,0.0,0.0,0.0,0.0,,,
2012-08-20,하천,강천보,강천,2012.08.20,25.4,7.7,8.3,,,2.8,0.0,0.0,0.0,0.0,0.0,,,
2012-08-27,하천,강천보,강천,2012.08.27,23.4,8.5,10.0,,,2.9,0.0,0.0,0.0,0.0,0.0,,,
2012-09-03,하천,강천보,강천,2012.09.03,22.4,7.7,13.2,,,2.4,0.0,0.0,0.0,0.0,0.0,,,
2012-09-10,하천,강천보,강천,2012.09.10,22.9,8.2,10.3,,,3.3,0.0,0.0,0.0,0.0,0.0,,,
2012-09-17,하천,강천보,강천,2012.09.17,19.6,8.0,9.8,,,4.0,0.0,0.0,0.0,0.0,0.0,,,
2012-09-25,하천,강천보,강천,2012.09.25,22.4,8.1,10.9,,,4.5,0.0,0.0,0.0,0.0,0.0,,,
2012-10-04,하천,강천보,강천,2012.10.04,21.7,8.9,12.3,,,2.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-08,하천,강천보,강천,2012.10.08,21.2,8.6,12.1,,,2.6,0.0,0.0,0.0,0.0,0.0,,,
2012-10-15,하천,강천보,강천,2012.10.15,18.7,8.6,12.9,,,1.4,0.0,0.0,0.0,0.0,0.0,,,
2012-10-22,하천,강천보,강천,2012.10.22,16.5,8.1,10.4,,,2.9,0.0,0.0,0.0,0.0,0.0,,,
2012-10-29,하천,강천보,강천,2012.10.29,17.2,7.8,10.8,,,10.3,0.0,0.0,0.0,0.0,0.0,,,
2012-11-05,하천,강천보,강천,2012.11.05,13.1,8.3,12.1,,,13.8,0.0,0.0,0.0,0.0,0.0,,,
2012-11-12,하천,강천보,강천,2012.11.12,11.7,7.9,10.9,,,3.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-19,하천,강천보,강천,2012.11.19,9.1,7.8,12.5,,,1.5,0.0,0.0,0.0,0.0,0.0,,,
2012-11-26,하천,강천보,강천,2012.11.26,9.2,7.9,13.1,,,1.2,0.0,0.0,0.0,0.0,0.0,,,
2012-12-03,하천,강천보,강천,2012.12.03,7.9,7.9,13.0,,,1.5,0.0,0.0,0.0,0.0,0.0,,,
2012-12-10,하천,강천보,강천,2012.12.10,4.5,8.0,14.2,,,1.8,0.0,0.0,0.0,0.0,0.0,,,
2012-12-17,하천,강천보,강천,2012.12.17,7.4,7.7,13.8,,,4.2,0.0,0.0,0.0,0.0,0.0,,,
2012-12-26,하천,강천보,강천,2012.12.26,2.6,7.8,19.0,,,2.1,0.0,0.0,0.0,0.0,0.0,,,
2013-01-02,하천,강천보,강천,2013.01.02,2.7,7.8,15.3,,,2.1,0.0,0.0,0.0,0.0,0.0,,,
2013-01-08,하천,강천보,강천,2013.01.08,3.9,7.7,15.1,,,1.7,0.0,0.0,0.0,0.0,0.0,,,
2013-01-15,하천,강천보,강천,2013.01.15,3.0,7.4,15.2,,,2.4,0.0,0.0,0.0,0.0,0.0,,,
2013-01-22,하천,강천보,강천,2013.01.22,4.6,7.6,15.4,,,4.4,0.0,0.0,0.0,0.0,0.0,,,
2013-01-29,하천,강천보,강천,2013.01.29,2.3,7.6,15.7,,,3.1,0.0,0.0,0.0,0.0,0.0,,,
2013-02-06,하천,강천보,강천,2013.02.06,4.2,7.2,15.8,,,9.8,0.0,0.0,0.0,0.0,0.0,,,
2013-02-13,하천,강천보,강천,2013.02.13,2.4,7.7,14.9,,,3.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-20,하천,강천보,강천,2013.02.20,4.9,7.5,16.2,,,3.4,0.0,0.0,0.0,0.0,0.0,,,
2013-02-26,하천,강천보,강천,2013.02.26,5.1,8.0,13.6,,,3.1,0.0,0.0,0.0,0.0,0.0,,,
2013-03-06,하천,강천보,강천,2013.03.06,6.3,7.9,14.8,,,5.4,0.0,0.0,0.0,0.0,0.0,,,
2013-03-12,하천,강천보,강천,2013.03.12,10.7,8.1,13.0,,,10.6,0.0,0.0,0.0,0.0,0.0,,,
2013-03-19,하천,강천보,강천,2013.03.19,9.3,7.8,12.9,,,4.5,0.0,0.0,0.0,0.0,0.0,,,
2013-03-26,하천,강천보,강천,2013.03.26,9.1,7.7,12.7,,,4.2,0.0,0.0,0.0,0.0,0.0,,,
2013-04-02,하천,강천보,강천,2013.04.02,8.9,8.0,16.5,,,6.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-09,하천,강천보,강천,2013.04.09,8.8,7.8,11.4,,,7.5,0.0,0.0,0.0,0.0,0.0,,,
2013-04-16,하천,강천보,강천,2013.04.16,9.5,7.7,12.0,,,9.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-23,하천,강천보,강천,2013.04.23,14.0,7.9,13.5,,,10.9,0.0,0.0,0.0,0.0,0.0,,,
2013-04-30,하천,강천보,강천,2013.04.30,13.1,7.3,11.3,,,13.5,0.0,0.0,0.0,0.0,0.0,,,
2013-05-07,하천,강천보,강천,2013.05.07,17.7,8.3,14.7,,,5.4,0.0,0.0,0.0,0.0,0.0,,,
2013-05-14,하천,강천보,강천,2013.05.14,18.9,7.9,11.2,,,7.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-21,하천,강천보,강천,2013.05.21,14.3,7.5,11.6,,,12.5,0.0,0.0,0.0,0.0,0.0,,,
2013-05-28,하천,강천보,강천,2013.05.28,17.5,7.8,12.4,,,6.6,0.0,0.0,0.0,0.0,0.0,,,
2013-06-04,하천,강천보,강천,2013.06.04,20.0,7.8,11.8,,,2.8,0.0,0.0,0.0,0.0,0.0,,,
2013-06-11,하천,강천보,강천,2013.06.11,22.3,8.0,8.0,,,4.6,0.0,0.0,0.0,0.0,0.0,,,
2013-06-18,하천,강천보,강천,2013.06.18,22.6,7.9,9.4,,,3.1,0.0,0.0,0.0,0.0,0.0,,,
