조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,구미보,선산,2023.01.02,,,,,,,,,,,,,,
2012-01-05,하천,구미보,선산,2012.01.05,1.7,7.6,13.4,,,1.5,0.0,,,,,,,
2012-01-10,하천,구미보,선산,2012.01.10,1.1,7.6,13.6,,,1.3,0.0,,,,,,,
2012-01-16,하천,구미보,선산,2012.01.16,2.0,7.9,12.5,,,1.5,0.0,,,,,,,
2012-01-25,하천,구미보,선산,2012.01.25,1.2,8.1,14.0,,,1.3,0.0,,,,,,,
2012-01-30,하천,구미보,선산,2012.01.30,1.2,8.0,15.4,,,0.8,0.0,,,,,,,
2012-02-07,하천,구미보,선산,2012.02.07,0.6,8.2,15.7,,,4.1,0.0,,,,,,,
2012-02-13,하천,구미보,선산,2012.02.13,2.3,7.7,14.9,,,1.5,0.0,,,,,,,
2012-02-20,하천,구미보,선산,2012.02.20,2.5,7.8,14.0,,,2.1,0.0,,,,,,,
2012-02-27,하천,구미보,선산,2012.02.27,3.8,7.9,12.6,,,3.1,0.0,,,,,,,
2012-03-05,하천,구미보,선산,2012.03.05,7.3,8.1,11.5,,,7.1,0.0,,,,,,,
2012-03-12,하천,구미보,선산,2012.03.12,7.1,8.2,12.7,,,10.9,0.0,,,,,,,
2012-03-19,하천,구미보,선산,2012.03.19,8.9,9.1,13.6,,,20.5,0.0,,,,,,,
2012-03-26,하천,구미보,선산,2012.03.26,9.4,8.9,12.4,,,10.5,0.0,,,,,,,
2012-04-02,하천,구미보,선산,2012.04.02,11.3,9.0,13.0,,,36.3,0.0,,,,,,,
2012-04-09,하천,구미보,선산,2012.04.09,12.7,8.8,12.9,,,25.3,0.0,,,,,,,
2012-04-16,하천,구미보,선산,2012.04.16,17.8,9.1,12.2,,,15.5,0.0,,,,,,,
2012-04-23,하천,구미보,선산,2012.04.23,16.2,9.0,11.8,,,14.4,0.0,,,,,,,
2012-04-30,하천,구미보,선산,2012.04.30,18.5,9.0,12.3,,,30.9,0.0,,,,,,,
2012-05-07,하천,구미보,선산,2012.05.07,22.5,9.2,11.4,,,14.3,0.0,,,,,,,
2012-05-14,하천,구미보,선산,2012.05.14,18.5,9.1,10.7,,,31.5,53.0,,,,,,,
2012-05-21,하천,구미보,선산,2012.05.21,24.1,8.9,9.5,,,11.2,46.0,,,,,,,
2012-05-29,하천,구미보,선산,2012.05.29,25.4,8.3,8.9,,,2.3,44.0,,,,,,,
2012-06-04,하천,구미보,선산,2012.06.04,26.1,8.2,8.7,,,3.6,427.0,,,,,,,
