조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,낙단보,낙단,2023.01.02,,,,,,,,,,,,,,
2012-01-05,하천,낙단보,낙단,2012.01.05,1.2,7.6,13.4,,,6.9,0.0,,,,,,,
2012-01-10,하천,낙단보,낙단,2012.01.10,1.0,7.5,13.3,,,2.2,0.0,,,,,,,
2012-01-16,하천,낙단보,낙단,2012.01.16,2.1,7.8,13.0,,,2.3,0.0,,,,,,,
2012-01-25,하천,낙단보,낙단,2012.01.25,0.5,8.0,14.1,,,1.8,0.0,,,,,,,
2012-01-30,하천,낙단보,낙단,2012.01.30,1.2,8.0,15.3,,,1.0,0.0,,,,,,,
2012-02-07,하천,낙단보,낙단,2012.02.07,0.6,7.9,14.8,,,2.0,0.0,,,,,,,
2012-02-13,하천,낙단보,낙단,2012.02.13,2.0,7.9,14.1,,,2.7,0.0,,,,,,,
2012-02-20,하천,낙단보,낙단,2012.02.20,2.0,7.8,13.8,,,3.2,0.0,,,,,,,
2012-02-27,하천,낙단보,낙단,2012.02.27,3.0,7.9,13.0,,,2.4,0.0,,,,,,,
2012-03-05,하천,낙단보,낙단,2012.03.05,6.3,8.0,11.6,,,4.4,0.0,,,,,,,
2012-03-12,하천,낙단보,낙단,2012.03.12,7.8,8.1,12.6,,,2.9,0.0,,,,,,,
2012-03-19,하천,낙단보,낙단,2012.03.19,10.0,8.6,12.9,,,23.6,0.0,,,,,,,
2012-03-26,하천,낙단보,낙단,2012.03.26,9.9,8.9,12.6,,,44.2,0.0,,,,,,,
2012-04-02,하천,낙단보,낙단,2012.04.02,11.1,8.3,12.5,,,18.5,0.0,,,,,,,
2012-04-09,하천,낙단보,낙단,2012.04.09,14.5,8.7,12.6,,,19.1,0.0,,,,,,,
2012-04-16,하천,낙단보,낙단,2012.04.16,19.6,8.9,11.3,,,17.7,0.0,,,,,,,
2012-04-23,하천,낙단보,낙단,2012.04.23,16.5,8.7,11.4,,,25.0,0.0,,,,,,,
2012-04-30,하천,낙단보,낙단,2012.04.30,19.1,8.7,11.9,,,34.5,0.0,,,,,,,
2012-05-07,하천,낙단보,낙단,2012.05.07,22.3,9.2,11.6,,,17.5,0.0,,,,,,,
2012-05-14,하천,낙단보,낙단,2012.05.14,18.3,9.2,11.5,,,31.3,407.0,,,,,,,
2012-05-21,하천,낙단보,낙단,2012.05.21,23.5,8.8,9.6,,,8.9,0.0,,,,,,,
2012-05-29,하천,낙단보,낙단,2012.05.29,24.4,8.6,9.1,,,3.3,44.0,,,,,,,
2012-06-04,하천,낙단보,낙단,2012.06.04,26.0,8.3,9.0,,,4.4,56.0,,,,,,,
2012-06-11,하천,낙단보,낙단,2012.06.11,25.1,8.1,9.3,,,7.8,50.0,,,,,,,
2012-06-18,하천,낙단보,낙단,2012.06.18,26.0,8.7,8.8,,,7.9,1659.0,,,,,,,
2012-06-25,하천,낙단보,낙단,2012.06.25,25.2,8.8,9.5,,,11.3,717.0,,,,,,,
2012-07-02,하천,낙단보,낙단,2012.07.02,26.7,8.9,9.8,,,12.5,1305.0,,,,,,,
2012-07-09,하천,낙단보,낙단,2012.07.09,26.8,7.5,8.1,,,24.6,92.0,,,,,,,
2012-07-16,하천,낙단보,낙단,2012.07.16,21.5,7.5,8.9,,,5.5,185.0,,,,,,,
2012-07-23,하천,낙단보,낙단,2012.07.23,29.6,8.9,11.3,,,48.0,1848.0,,,,,,,
2012-07-30,하천,낙단보,낙단,2012.07.30,33.1,9.4,10.4,,,20.6,8561.0,,,,,,,
2012-08-18,하천,낙단보,낙단,2012.08.18,24.7,7.5,8.0,,,4.1,1210.0,,,,,정량한계미만,정량한계미만,
2012-08-19,하천,낙단보,낙단,2012.08.19,26.9,7.6,7.5,,,9.2,296.0,,,,,정량한계미만,정량한계미만,
2012-08-20,하천,낙단보,낙단,2012.08.20,27.4,7.8,8.5,,,31.7,1000.0,,,,,,,
2012-08-21,하천,낙단보,낙단,2012.08.21,30.0,8.3,8.2,,,32.9,2128.0,,,,,정량한계미만,정량한계미만,
2012-08-22,하천,낙단보,낙단,2012.08.22,27.1,8.2,8.6,,,37.6,1888.0,,,,,정량한계미만,정량한계미만,
2012-08-23,하천,낙단보,낙단,2012.08.23,25.4,7.8,8.2,,,12.9,136.0,,,,,정량한계미만,정량한계미만,
2012-08-24,하천,낙단보,낙단,2012.08.24,23.8,7.7,8.1,,,7.5,720.0,,,,,정량한계미만,정량한계미만,
2012-08-27,하천,낙단보,낙단,2012.08.27,27.0,7.8,8.3,,,12.5,504.0,,,,,정량한계미만,정량한계미만,
2012-08-29,하천,낙단보,낙단,2012.08.29,26.0,7.9,8.2,,,7.1,872.0,,,,,정량한계미만,정량한계미만,
2012-08-31,하천,낙단보,낙단,2012.08.31,21.5,7.4,9.3,,,3.7,40.0,,,,,정량한계미만,정량한계미만,
2012-08-02,하천,낙단보,낙단,2012.08.02,27.4,7.8,8.5,,,31.7,1000.0,,,,,정량한계미만,정량한계미만,
2012-08-06,하천,낙단보,낙단,2012.08.06,33.5,9.5,10.9,,,33.0,69882.0,,,,,,,
2012-08-11,하천,낙단보,낙단,2012.08.11,30.8,9.2,10.5,,,12.6,26400.0,,,,,14,정량한계미만,
2012-08-12,하천,낙단보,낙단,2012.08.12,29.8,8.5,9.1,,,15.7,13504.0,,,,,17,정량한계미만,
2012-08-13,하천,낙단보,낙단,2012.08.13,28.9,9.0,8.0,,,31.9,2528.0,,,,,24,정량한계미만,
2012-08-14,하천,낙단보,낙단,2012.08.14,26.8,7.7,7.7,,,22.1,256.0,,,,,정량한계미만,정량한계미만,
2012-08-15,하천,낙단보,낙단,2012.08.15,27.8,7.7,8.0,,,16.4,821.0,,,,,정량한계미만,정량한계미만,
2012-08-16,하천,낙단보,낙단,2012.08.16,25.1,7.5,8.5,,,14.0,880.0,,,,,정량한계미만,정량한계미만,
2012-08-17,하천,낙단보,낙단,2012.08.17,24.9,7.5,8.9,,,3.7,200.0,,,,,정량한계미만,정량한계미만,
2012-09-26,하천,낙단보,낙단,2012.09.26,21.8,8.1,10.0,,,40.6,0.0,,,,,정량한계미만,정량한계미만,
2012-09-01,하천,낙단보,낙단,2012.09.01,22.7,7.7,8.6,,,9.4,176.0,,,,,정량한계미만,정량한계미만,
2012-09-03,하천,낙단보,낙단,2012.09.03,24.7,7.7,8.3,,,5.9,304.0,,,,,정량한계미만,정량한계미만,
2012-09-05,하천,낙단보,낙단,2012.09.05,24.9,7.8,8.7,,,11.4,1232.0,,,,,정량한계미만,정량한계미만,
2012-09-07,하천,낙단보,낙단,2012.09.07,24.4,7.8,8.2,,,12.4,0.0,,,,,정량한계미만,정량한계미만,
2012-09-12,하천,낙단보,낙단,2012.09.12,24.5,7.9,8.5,,,17.3,0.0,,,,,정량한계미만,정량한계미만,
2012-09-14,하천,낙단보,낙단,2012.09.14,20.5,7.8,9.1,,,2.4,264.0,,,,,정량한계미만,정량한계미만,
2012-09-19,하천,낙단보,낙단,2012.09.19,20.5,7.8,9.1,,,2.4,72.0,,,,,정량한계미만,정량한계미만,
2012-09-21,하천,낙단보,낙단,2012.09.21,21.2,7.7,8.7,,,2.7,244.0,,,,,정량한계미만,정량한계미만,
2012-09-24,하천,낙단보,낙단,2012.09.24,22.3,7.9,8.8,,,24.4,220.0,,,,,정량한계미만,정량한계미만,
2012-10-02,하천,낙단보,낙단,2012.10.02,24.3,9.2,12.1,,,47.5,228.0,,,,,정량한계미만,정량한계미만,
2012-10-08,하천,낙단보,낙단,2012.10.08,20.7,9.3,12.2,,,44.0,84.0,,,,,정량한계미만,정량한계미만,
2012-10-15,하천,낙단보,낙단,2012.10.15,19.6,9.5,12.2,,,41.8,0.0,,,,,정량한계미만,정량한계미만,
2012-10-17,하천,낙단보,낙단,2012.10.17,17.7,9.3,11.2,,,61.9,0.0,,,,,정량한계미만,정량한계미만,
2012-10-22,하천,낙단보,낙단,2012.10.22,16.7,9.3,11.7,,,17.7,196.0,,,,,정량한계미만,정량한계미만,
2012-10-24,하천,낙단보,낙단,2012.10.24,15.9,8.9,11.0,,,27.7,0.0,,,,,정량한계미만,정량한계미만,
2012-10-29,하천,낙단보,낙단,2012.10.29,15.4,8.5,10.9,,,15.9,0.0,,,,,정량한계미만,정량한계미만,
2012-10-31,하천,낙단보,낙단,2012.10.31,14.5,8.2,9.9,,,19.9,164.0,,,,,정량한계미만,정량한계미만,
2012-11-05,하천,낙단보,낙단,2012.11.05,13.6,8.2,11.4,,,14.4,0.0,,,,,정량한계미만,정량한계미만,
2012-11-12,하천,낙단보,낙단,2012.11.12,11.8,8.1,11.6,,,18.1,0.0,,,,,정량한계미만,정량한계미만,
2012-11-19,하천,낙단보,낙단,2012.11.19,10.0,7.9,11.6,,,6.9,164.0,,,,,정량한계미만,정량한계미만,
2012-11-26,하천,낙단보,낙단,2012.11.26,7.4,8.2,13.3,,,16.4,0.0,,,,,,,
2012-12-03,하천,낙단보,낙단,2012.12.03,5.4,8.2,13.3,,,13.6,0.0,,,,,정량한계미만,정량한계미만,
2012-12-10,하천,낙단보,낙단,2012.12.10,2.7,8.1,13.8,,,8.7,0.0,,,,,정량한계미만,정량한계미만,
2012-12-17,하천,낙단보,낙단,2012.12.17,3.3,7.7,13.1,,,1.6,0.0,,,,,정량한계미만,정량한계미만,
2013-01-07,하천,낙단보,낙단,2013.01.07,,,,,,,,,,,,,,
2013-01-14,하천,낙단보,낙단,2013.01.14,,,,,,,,,,,,,,
2013-01-21,하천,낙단보,낙단,2013.01.21,,,,,,,,,,,,,,
2013-01-28,하천,낙단보,낙단,2013.01.28,,,,,,,,,,,,,,
2013-02-04,하천,낙단보,낙단,2013.02.04,,,,,,,,,,,,,,
2013-02-12,하천,낙단보,낙단,2013.02.12,,,,,,,,,,,,,,
2013-02-18,하천,낙단보,낙단,2013.02.18,,,,,,,,,,,,,,
2013-02-25,하천,낙단보,낙단,2013.02.25,,,,,,,,,,,,,,
2013-03-04,하천,낙단보,낙단,2013.03.04,5.2,8.5,15.1,,,23.5,0.0,,,,,정량한계미만,정량한계미만,
2013-03-11,하천,낙단보,낙단,2013.03.11,8.9,9.3,15.4,,,34.5,0.0,,,,,정량한계미만,정량한계미만,
2013-03-18,하천,낙단보,낙단,2013.03.18,10.8,8.7,13.5,,,12.0,0.0,,,,,정량한계미만,정량한계미만,
2013-03-25,하천,낙단보,낙단,2013.03.25,11.1,8.0,11.8,,,9.9,0.0,,,,,정량한계미만,정량한계미만,
2013-04-01,하천,낙단보,낙단,2013.04.01,11.1,8.5,12.9,,,19.9,0.0,,,,,정량한계미만,정량한계미만,
2013-04-08,하천,낙단보,낙단,2013.04.08,13.3,8.3,11.8,,,15.8,52.0,,,,,정량한계미만,정량한계미만,
2013-04-15,하천,낙단보,낙단,2013.04.15,11.3,8.2,11.9,,,19.1,0.0,,,,,정량한계미만,정량한계미만,
2013-04-22,하천,낙단보,낙단,2013.04.22,13.1,8.6,11.2,,,12.5,0.0,,,,,정량한계미만,정량한계미만,
2013-04-29,하천,낙단보,낙단,2013.04.29,14.3,8.5,11.1,,,17.8,0.0,,,,,정량한계미만,정량한계미만,
2013-05-06,하천,낙단보,낙단,2013.05.06,17.7,8.9,11.9,,,16.1,0.0,,,,,정량한계미만,정량한계미만,
2013-05-13,하천,낙단보,낙단,2013.05.13,21.6,8.9,11.6,,,13.3,0.0,,,,,정량한계미만,정량한계미만,
2013-05-20,하천,낙단보,낙단,2013.05.20,21.5,8.6,10.7,,,5.4,0.0,,,,,정량한계미만,정량한계미만,
2013-05-27,하천,낙단보,낙단,2013.05.27,23.8,8.2,8.7,,,4.3,0.0,,,,,정량한계미만,정량한계미만,
2013-06-03,하천,낙단보,낙단,2013.06.03,23.1,8.9,11.3,,,39.7,0.0,,,,,정량한계미만,정량한계미만,
2013-06-10,하천,낙단보,낙단,2013.06.10,24.6,8.9,9.0,,,17.1,0.0,,,,,정량한계미만,정량한계미만,
2013-06-17,하천,낙단보,낙단,2013.06.17,26.9,9.0,10.0,,,22.7,540.0,,,,,정량한계미만,정량한계미만,
2013-06-24,하천,낙단보,낙단,2013.06.24,25.5,7.9,9.7,,,28.2,0.0,,,,,정량한계미만,정량한계미만,
2013-07-01,하천,낙단보,낙단,2013.07.01,27.8,9.2,10.9,,,18.1,0.0,,,,,정량한계미만,정량한계미만,
2013-07-08,하천,낙단보,낙단,2013.07.08,25.1,7.7,8.4,,,9.0,0.0,,,,,정량한계미만,정량한계미만,
2013-07-15,하천,낙단보,낙단,2013.07.15,28.1,8.6,9.1,,,55.1,204.0,,,,,정량한계미만,정량한계미만,
2013-07-22,하천,낙단보,낙단,2013.07.22,29.2,9.0,9.1,,,24.9,800.0,,,,,정량한계미만,정량한계미만,
2013-07-29,하천,낙단보,낙단,2013.07.29,29.5,8.5,8.5,,,17.3,1560.0,,,,,4,정량한계미만,
2013-07-31,하천,낙단보,낙단,2013.07.31,29.0,9.0,9.0,,,30.8,308.0,,,,,정량한계미만,정량한계미만,
2013-08-23,하천,낙단보,낙단,2013.08.23,28.8,9.2,8.4,,,31.9,22160.0,,,,,16,15,
2013-08-26,하천,낙단보,낙단,2013.08.26,28.0,8.8,9.3,,,37.9,23904.0,,,,,33,22,
2013-08-28,하천,낙단보,낙단,2013.08.28,29.9,9.3,9.8,,,42.4,44260.0,,,,,58,36,
2013-08-30,하천,낙단보,낙단,2013.08.30,28.9,9.0,9.0,,,22.5,6323.0,,,,,30,23,
