조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,달성보,논공,2023.01.02,4.7,7.7,13.1,2.3,1.9,13.3,261.0,0.0,0.0,0.0,261.0,,,
2012-01-05,하천,달성보,논공,2012.01.05,0.8,7.6,14.7,,,4.9,0.0,,,,,,,
2012-01-10,하천,달성보,논공,2012.01.10,3.3,7.4,13.3,,,5.3,0.0,,,,,,,
2012-01-16,하천,달성보,논공,2012.01.16,2.4,7.7,13.5,,,11.5,0.0,,,,,,,
2012-01-25,하천,달성보,논공,2012.01.25,3.1,7.9,14.4,,,31.9,0.0,,,,,,,
2012-01-27,하천,달성보,논공,2012.01.27,3.1,8.1,14.6,,,30.5,0.0,,,,,,,
2012-01-30,하천,달성보,논공,2012.01.30,4.2,7.8,13.4,,,30.3,0.0,,,,,,,
2012-02-28,하천,달성보,논공,2012.02.28,5.1,9.0,15.2,,,91.1,0.0,,,,,,,
2012-02-29,하천,달성보,논공,2012.02.29,7.3,9.1,14.3,,,92.6,0.0,,,,,,,
2012-02-03,하천,달성보,논공,2012.02.03,2.5,8.6,16.0,,,74.3,0.0,,,,,,,
2012-02-06,하천,달성보,논공,2012.02.06,3.3,9.2,15.0,,,109.4,0.0,,,,,,,
2012-02-08,하천,달성보,논공,2012.02.08,3.7,8.4,13.7,,,99.3,0.0,,,,,,,
2012-02-10,하천,달성보,논공,2012.02.10,4.4,9.2,17.2,,,106.7,0.0,,,,,,,
2012-02-13,하천,달성보,논공,2012.02.13,3.1,9.2,18.9,,,100.3,0.0,,,,,,,
2012-02-16,하천,달성보,논공,2012.02.16,5.3,9.4,18.3,,,117.8,0.0,,,,,,,
2012-02-20,하천,달성보,논공,2012.02.20,4.3,9.7,19.4,,,128.2,0.0,,,,,,,
2012-02-23,하천,달성보,논공,2012.02.23,6.8,9.4,18.0,,,103.4,0.0,,,,,,,
2012-02-27,하천,달성보,논공,2012.02.27,4.8,9.1,17.3,,,87.8,0.0,,,,,,,
2012-03-02,하천,달성보,논공,2012.03.02,6.2,8.2,17.2,,,96.2,0.0,,,,,,,
2012-03-05,하천,달성보,논공,2012.03.05,5.8,9.1,16.9,,,108.1,0.0,,,,,,,
2012-03-08,하천,달성보,논공,2012.03.08,8.4,9.3,17.7,,,94.7,0.0,,,,,,,
2012-03-12,하천,달성보,논공,2012.03.12,6.6,9.3,14.6,,,132.3,0.0,,,,,,,
2012-03-15,하천,달성보,논공,2012.03.15,9.2,9.3,14.0,,,138.8,0.0,,,,,,,
2012-03-19,하천,달성보,논공,2012.03.19,11.8,9.5,19.5,,,122.9,0.0,,,,,,,
2012-03-22,하천,달성보,논공,2012.03.22,9.1,9.3,14.6,,,112.4,0.0,,,,,,,
2012-03-26,하천,달성보,논공,2012.03.26,10.5,8.9,13.4,,,48.3,0.0,,,,,,,
2012-03-29,하천,달성보,논공,2012.03.29,13.0,9.3,15.4,,,74.5,0.0,,,,,,,
2012-04-02,하천,달성보,논공,2012.04.02,11.8,9.0,12.4,,,58.2,0.0,,,,,,,
2012-04-09,하천,달성보,논공,2012.04.09,15.5,8.9,12.5,,,33.2,0.0,,,,,,,
2012-04-16,하천,달성보,논공,2012.04.16,14.9,8.5,11.3,,,23.7,0.0,,,,,,,
2012-04-23,하천,달성보,논공,2012.04.23,17.0,8.6,11.0,,,28.1,0.0,,,,,,,
2012-04-30,하천,달성보,논공,2012.04.30,17.0,8.9,12.6,,,56.4,0.0,,,,,,,
2012-05-07,하천,달성보,논공,2012.05.07,21.3,9.3,12.0,,,34.6,0.0,,,,,,,
2012-05-14,하천,달성보,논공,2012.05.14,18.1,8.8,10.9,,,64.4,856.0,,,,,,,
2012-05-21,하천,달성보,논공,2012.05.21,21.5,8.0,9.0,,,8.2,288.0,,,,,,,
2012-05-29,하천,달성보,논공,2012.05.29,23.8,8.7,9.5,,,3.3,165.0,,,,,,,
2012-06-04,하천,달성보,논공,2012.06.04,25.1,8.7,10.3,,,8.9,1190.0,,,,,,,
2012-06-11,하천,달성보,논공,2012.06.11,25.5,8.0,8.7,,,7.6,295.0,,,,,,,
2012-06-18,하천,달성보,논공,2012.06.18,25.6,8.2,9.0,,,8.5,1103.0,,,,,,,
2012-06-25,하천,달성보,논공,2012.06.25,24.4,8.6,9.6,,,9.0,1550.0,,,,,,,
2012-07-02,하천,달성보,논공,2012.07.02,25.7,8.1,8.6,,,12.8,3885.0,,,,,,,
2012-07-09,하천,달성보,논공,2012.07.09,26.4,8.1,9.1,,,20.1,2500.0,,,,,,,
2012-07-16,하천,달성보,논공,2012.07.16,24.3,7.6,8.0,,,14.7,277.0,,,,,,,
2012-07-23,하천,달성보,논공,2012.07.23,27.3,8.2,9.9,,,29.6,1867.0,,,,,,,
2012-07-30,하천,달성보,논공,2012.07.30,32.4,9.0,9.0,,,14.2,3612.0,,,,,,,
2012-08-18,하천,달성보,논공,2012.08.18,27.1,7.7,8.2,,,14.8,2755.0,,,,,정량한계미만,정량한계미만,
2012-08-19,하천,달성보,논공,2012.08.19,26.7,7.6,8.3,,,15.9,344.0,,,,,정량한계미만,정량한계미만,
2012-08-20,하천,달성보,논공,2012.08.20,26.9,8.1,9.3,,,54.7,664.0,,,,,,,
2012-08-21,하천,달성보,논공,2012.08.21,28.1,7.9,9.8,,,20.4,888.0,,,,,정량한계미만,정량한계미만,
2012-08-22,하천,달성보,논공,2012.08.22,26.4,8.2,8.5,,,48.9,272.0,,,,,정량한계미만,정량한계미만,
2012-08-23,하천,달성보,논공,2012.08.23,24.7,7.7,8.3,,,15.5,1192.0,,,,,정량한계미만,정량한계미만,
2012-08-24,하천,달성보,논공,2012.08.24,23.2,7.5,7.7,,,12.7,480.0,,,,,정량한계미만,정량한계미만,
2012-08-27,하천,달성보,논공,2012.08.27,26.4,7.7,9.3,,,32.1,1248.0,,,,,정량한계미만,정량한계미만,
2012-08-29,하천,달성보,논공,2012.08.29,26.0,7.7,8.2,,,8.2,920.0,,,,,정량한계미만,정량한계미만,
2012-08-31,하천,달성보,논공,2012.08.31,25.2,7.6,8.4,,,7.4,376.0,,,,,정량한계미만,정량한계미만,
2012-08-02,하천,달성보,논공,2012.08.02,26.9,8.1,9.3,,,54.7,664.0,,,,,정량한계미만,정량한계미만,
2012-08-06,하천,달성보,논공,2012.08.06,30.7,9.0,7.9,,,19.3,9971.0,,,,,,,
2012-08-11,하천,달성보,논공,2012.08.11,30.2,8.6,7.5,,,38.7,36224.0,,,,,13,정량한계미만,
2012-08-12,하천,달성보,논공,2012.08.12,29.0,7.4,8.4,,,17.3,960.0,,,,,9,정량한계미만,
2012-08-13,하천,달성보,논공,2012.08.13,28.4,7.9,6.0,,,13.2,3628.0,,,,,11,정량한계미만,
2012-08-14,하천,달성보,논공,2012.08.14,27.7,7.6,6.6,,,10.7,472.0,,,,,7,15,
2012-08-15,하천,달성보,논공,2012.08.15,28.4,7.9,6.0,,,13.2,172.0,,,,,,,
2012-08-16,하천,달성보,논공,2012.08.16,28.3,7.9,7.3,,,11.0,552.0,,,,,4,정량한계미만,
2012-08-17,하천,달성보,논공,2012.08.17,28.1,7.9,7.8,,,21.2,992.0,,,,,정량한계미만,정량한계미만,
