조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2020-05-11,하천,낙동강,물금·매리,2020.05.11,21.8,7.7,8.5,3.5,3.9,3.1,31,0,0,0,31,0,0,0
2020-05-18,하천,낙동강,물금·매리,2020.05.18,21.2,7.7,8.7,2.5,2.1,4.2,106,90,5,0,11,0,0,0
2020-05-25,하천,낙동강,물금·매리,2020.05.25,22.9,8.1,9,3.5,2.4,5,190,126,0,0,64,0,0,0
2020-06-01,하천,낙동강,물금·매리,2020.06.01,24.3,8.3,8.9,3.5,1.9,10.2,705,486,3,0,216,0,0,0
2020-06-08,하천,낙동강,물금·매리,2020.06.08,26.7,8.7,8.9,2.9,2.5,11.7,1295,378,24,0,893,0,0,0
2020-06-15,하천,낙동강,물금·매리,2020.06.15,26.7,7.2,7.7,1.5,6.8,5.7,1654,1224,378,0,52,0,0,0
2020-06-22,하천,낙동강,물금·매리,2020.06.22,26.5,7.9,8.2,1.5,5.6,12,2506,2142,22,0,342,0,0,0.3
2020-06-29,하천,낙동강,물금·매리,2020.06.29,26.9,8.1,8.2,1.7,4.4,16.3,4619,3942,144,0,533,0,0,0.3
2020-07-06,하천,낙동강,물금·매리,2020.07.06,26.4,7.9,8.1,1.5,5.2,10.3,9017,7866,345,3,803,,,
2020-07-16,하천,낙동강,물금·매리,2020.07.16,24.4,7.8,7.7,0.5,54.6,3.8,219,216,3,0,0,,,
2020-07-20,하천,낙동강,물금·매리,2020.07.20,24.5,6.9,8.4,0.7,15.4,4.5,329,324,3,0,2,,,
2020-07-30,하천,낙동강,물금·매리,2020.07.30,24.1,7.2,8.3,0.5,30.2,2.4,69,54,9,0,6,,,
2020-08-03,하천,낙동강,물금·매리,2020.08.03,26.3,7.5,8.1,0.4,50,2.3,304,216,14,0,74,,,
2020-08-10,하천,낙동강,물금·매리,2020.08.10,,,,,,,,,,,,,,
2020-08-18,하천,낙동강,물금·매리,2020.08.18,28.6,7.7,8.1,0.6,13.1,10.6,270,216,29,0,25,,,
2020-08-25,하천,낙동강,물금·매리,2020.08.25,30.4,8.2,7.9,0.8,9.3,21.2,1647,1584,51,0,12,,,
2020-08-31,하천,낙동강,물금·매리,2020.08.31,,,,,,,,,,,,,,
2020-09-07,하천,낙동강,물금·매리,2020.09.07,,,,,,,,,,,,,,
2020-09-14,하천,낙동강,물금·매리,2020.09.14,24,7,8.5,0.7,14.5,4.1,759,756,3,0,0,,,
2020-09-21,하천,낙동강,물금·매리,2020.09.21,21.5,7.6,8.9,0.7,12,9.9,725,666,59,0,0,,,
2020-09-28,하천,낙동강,물금·매리,2020.09.28,23.4,8,8.8,1,7.5,16.9,829,630,117,0,82,,,
2020-09-28,하천,낙동강,물금·매리,2020.09.28,23.4,8,8.8,1,7.5,16.9,829,630,117,0,82,,,
2020-10-05,하천,낙동강,물금·매리,2020.10.05,21.1,8.3,10.2,0.5,8.3,28.4,587,576,11,0,0,,,
2020-10-12,하천,낙동강,물금·매리,2020.10.12,21.5,9.2,10.1,1,7.4,45.9,860,846,14,0,0,,,
2020-10-19,하천,낙동강,물금·매리,2020.10.19,20.4,8.4,9,1.5,3.6,3,828,756,50,0,22,,,
2020-10-26,하천,낙동강,물금·매리,2020.10.26,17.5,7.9,8.9,2.5,3.1,3.8,928,882,32,0,14,,,
2020-11-02,하천,낙동강,물금·매리,2020.11.02,16.9,8.7,9.9,1.8,2.5,1.1,321,288,33,0,0,,,
2020-11-09,하천,낙동강,물금·매리,2020.11.09,13.6,7.1,9.8,2.5,2.7,1.4,95,72,7,0,16,,,
2020-11-16,하천,낙동강,물금·매리,2020.11.16,14.9,8.2,9.4,3.2,2.3,0.4,131,126,5,0,0,,,
2020-11-23,하천,낙동강,물금·매리,2020.11.23,13,8.1,10.7,2.7,2.2,1.8,253,198,14,0,41,,,
