조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,백제보,부여,2023.01.02,,,,,,,,,,,,,,
2012-01-11,하천,백제보,부여,2012.01.11,2.1,8.1,14.2,,,4.5,0.0,0.0,0.0,0.0,0.0,,,
2012-01-18,하천,백제보,부여,2012.01.18,3.8,8.9,12.7,,,6.3,0.0,0.0,0.0,0.0,0.0,,,
2012-01-26,하천,백제보,부여,2012.01.26,3.5,7.9,16.6,,,26.7,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,하천,백제보,부여,2012.02.01,2.1,7.7,16.8,,,12.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-08,하천,백제보,부여,2012.02.08,1.0,6.2,14.3,,,8.6,0.0,0.0,0.0,0.0,0.0,,,
2012-02-15,하천,백제보,부여,2012.02.15,3.0,8.0,16.1,,,16.7,0.0,0.0,0.0,0.0,0.0,,,
2012-02-22,하천,백제보,부여,2012.02.22,4.5,8.3,14.8,,,31.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-28,하천,백제보,부여,2012.02.28,5.0,8.3,14.3,,,35.1,0.0,0.0,0.0,0.0,0.0,,,
2012-03-07,하천,백제보,부여,2012.03.07,7.5,7.8,11.5,,,35.7,0.0,0.0,0.0,0.0,0.0,,,
2012-03-13,하천,백제보,부여,2012.03.13,7.0,8.0,14.0,,,46.4,0.0,0.0,0.0,0.0,0.0,,,
2012-03-20,하천,백제보,부여,2012.03.20,8.2,8.2,15.6,,,36.8,0.0,0.0,0.0,0.0,0.0,,,
2012-03-27,하천,백제보,부여,2012.03.27,8.8,8.1,13.5,,,47.9,0.0,0.0,0.0,0.0,0.0,,,
2012-04-03,하천,백제보,부여,2012.04.03,10.2,8.1,13.0,,,36.6,0.0,0.0,0.0,0.0,0.0,,,
2012-04-10,하천,백제보,부여,2012.04.10,11.3,7.9,12.2,,,17.5,0.0,0.0,0.0,0.0,0.0,,,
2012-04-17,하천,백제보,부여,2012.04.17,13.7,8.6,11.9,,,65.3,0.0,0.0,0.0,0.0,0.0,,,
2012-04-24,하천,백제보,부여,2012.04.24,12.4,7.6,14.3,,,38.4,0.0,0.0,0.0,0.0,0.0,,,
2012-05-02,하천,백제보,부여,2012.05.02,16.0,8.5,11.5,,,51.6,0.0,0.0,0.0,0.0,0.0,,,
2012-05-08,하천,백제보,부여,2012.05.08,19.5,9.0,12.2,,,52.7,0.0,0.0,0.0,0.0,0.0,,,
2012-05-11,하천,백제보,부여,2012.05.11,19.8,8.6,9.8,,,41.9,22.0,0.0,0.0,0.0,0.0,,,
2012-05-15,하천,백제보,부여,2012.05.15,19.8,8.2,9.0,,,25.3,104.0,0.0,0.0,0.0,0.0,,,
2012-05-17,하천,백제보,부여,2012.05.17,19.6,7.9,8.4,,,32.1,56.0,0.0,0.0,0.0,0.0,,,
2012-05-22,하천,백제보,부여,2012.05.22,21.0,8.4,10.9,,,36.0,264.0,0.0,0.0,0.0,0.0,,,
2012-05-24,하천,백제보,부여,2012.05.24,21.5,8.4,12.7,,,40.8,62.0,0.0,0.0,0.0,0.0,,,
2012-05-29,하천,백제보,부여,2012.05.29,22.8,8.2,8.2,,,21.7,374.0,0.0,0.0,0.0,0.0,,,
2012-06-05,하천,백제보,부여,2012.06.05,23.2,7.9,9.8,,,33.7,422.0,0.0,0.0,0.0,0.0,,,
2012-06-07,하천,백제보,부여,2012.06.07,23.6,8.6,11.5,,,13.0,348.0,0.0,0.0,0.0,0.0,,,
2012-06-12,하천,백제보,부여,2012.06.12,22.1,8.4,11.2,,,43.5,414.0,0.0,0.0,0.0,0.0,,,
2012-06-15,하천,백제보,부여,2012.06.15,22.8,8.3,11.4,,,45.6,18.0,0.0,0.0,0.0,0.0,,,
2012-06-19,하천,백제보,부여,2012.06.19,23.8,8.6,9.7,,,43.2,480.0,0.0,0.0,0.0,0.0,,,
2012-06-21,하천,백제보,부여,2012.06.21,24.6,8.6,9.8,,,46.7,254.0,0.0,0.0,0.0,0.0,,,
2012-06-26,하천,백제보,부여,2012.06.26,24.1,7.9,9.3,,,56.2,398.0,0.0,0.0,0.0,0.0,,,
