조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,상주보,도남,2023.01.02,,,,,,,,,,,,,,
2012-01-05,하천,상주보,도남,2012.01.05,1.5,7.6,13.1,,,3.4,0.0,,,,,,,
2012-01-10,하천,상주보,도남,2012.01.10,1.0,7.4,13.4,,,4.4,0.0,,,,,,,
2012-01-16,하천,상주보,도남,2012.01.16,3.2,7.7,13.2,,,2.0,0.0,,,,,,,
2012-01-25,하천,상주보,도남,2012.01.25,0.3,7.8,14.0,,,4.6,0.0,,,,,,,
2012-01-30,하천,상주보,도남,2012.01.30,1.0,7.8,15.5,,,1.9,0.0,,,,,,,
2012-02-07,하천,상주보,도남,2012.02.07,1.5,7.9,14.5,,,3.1,0.0,,,,,,,
2012-02-13,하천,상주보,도남,2012.02.13,3.8,7.8,14.0,,,2.7,0.0,,,,,,,
2012-02-20,하천,상주보,도남,2012.02.20,2.4,7.7,13.7,,,1.9,0.0,,,,,,,
2012-02-27,하천,상주보,도남,2012.02.27,2.4,8.0,13.8,,,2.7,0.0,,,,,,,
2012-03-05,하천,상주보,도남,2012.03.05,5.5,8.0,12.6,,,4.1,0.0,,,,,,,
2012-03-12,하천,상주보,도남,2012.03.12,4.4,7.9,12.8,,,2.7,0.0,,,,,,,
2012-03-19,하천,상주보,도남,2012.03.19,9.4,8.5,11.7,,,8.0,0.0,,,,,,,
2012-03-26,하천,상주보,도남,2012.03.26,9.0,8.6,12.4,,,36.6,0.0,,,,,,,
2012-04-02,하천,상주보,도남,2012.04.02,10.3,7.8,11.1,,,8.3,0.0,,,,,,,
2012-04-09,하천,상주보,도남,2012.04.09,12.3,8.1,11.8,,,8.0,0.0,,,,,,,
2012-04-16,하천,상주보,도남,2012.04.16,17.7,8.9,11.0,,,15.2,0.0,,,,,,,
2012-04-23,하천,상주보,도남,2012.04.23,14.5,7.9,10.4,,,7.9,0.0,,,,,,,
2012-04-30,하천,상주보,도남,2012.04.30,18.7,8.0,10.2,,,8.0,0.0,,,,,,,
2012-05-07,하천,상주보,도남,2012.05.07,21.2,9.0,10.7,,,20.8,0.0,,,,,,,
2012-05-14,하천,상주보,도남,2012.05.14,17.6,9.0,11.5,,,27.2,106.0,,,,,,,
2012-05-21,하천,상주보,도남,2012.05.21,22.3,9.3,11.8,,,20.3,71.0,,,,,,,
2012-05-29,하천,상주보,도남,2012.05.29,23.9,9.0,10.3,,,8.2,0.0,,,,,,,
2012-06-04,하천,상주보,도남,2012.06.04,25.7,8.8,10.7,,,11.5,51.0,,,,,,,
2012-06-11,하천,상주보,도남,2012.06.11,24.3,8.3,10.1,,,22.9,0.0,,,,,,,
2012-06-18,하천,상주보,도남,2012.06.18,24.5,8.4,8.6,,,4.6,0.0,,,,,,,
2012-06-25,하천,상주보,도남,2012.06.25,25.0,8.8,9.6,,,19.5,123.0,,,,,,,
2012-07-02,하천,상주보,도남,2012.07.02,25.5,8.7,9.6,,,8.1,738.0,,,,,,,
2012-07-09,하천,상주보,도남,2012.07.09,26.4,7.4,8.3,,,4.7,228.0,,,,,,,
2012-07-16,하천,상주보,도남,2012.07.16,21.0,7.5,8.7,,,6.4,552.0,,,,,,,
2012-07-23,하천,상주보,도남,2012.07.23,27.0,7.8,8.5,,,12.7,553.0,,,,,,,
2012-07-30,하천,상주보,도남,2012.07.30,33.3,9.3,10.5,,,13.2,860.0,,,,,,,
2012-08-18,하천,상주보,도남,2012.08.18,25.0,7.6,7.7,,,3.8,1480.0,,,,,정량한계미만,정량한계미만,
2012-08-19,하천,상주보,도남,2012.08.19,25.7,7.9,7.7,,,3.3,120.0,,,,,정량한계미만,정량한계미만,
2012-08-20,하천,상주보,도남,2012.08.20,26.8,7.7,8.1,,,4.5,488.0,,,,,,,
2012-08-21,하천,상주보,도남,2012.08.21,27.7,7.8,8.1,,,6.8,320.0,,,,,정량한계미만,정량한계미만,
2012-08-22,하천,상주보,도남,2012.08.22,26.9,8.2,8.3,,,22.9,296.0,,,,,정량한계미만,정량한계미만,
2012-08-23,하천,상주보,도남,2012.08.23,24.8,7.9,8.1,,,10.0,360.0,,,,,정량한계미만,정량한계미만,
2012-08-24,하천,상주보,도남,2012.08.24,22.6,7.7,8.2,,,5.5,520.0,,,,,정량한계미만,정량한계미만,
2012-08-27,하천,상주보,도남,2012.08.27,25.9,7.8,8.2,,,3.6,760.0,,,,,정량한계미만,정량한계미만,
2012-08-29,하천,상주보,도남,2012.08.29,25.0,7.9,8.1,,,3.4,48.0,,,,,정량한계미만,정량한계미만,
2012-08-31,하천,상주보,도남,2012.08.31,22.1,7.6,8.7,,,3.3,432.0,,,,,정량한계미만,정량한계미만,
2012-08-02,하천,상주보,도남,2012.08.02,26.8,7.7,8.1,,,4.5,488.0,,,,,정량한계미만,정량한계미만,
2012-08-06,하천,상주보,도남,2012.08.06,33.2,9.3,9.8,,,10.9,1994.0,,,,,,,
2012-08-11,하천,상주보,도남,2012.08.11,31.1,9.1,9.2,,,9.3,984.0,,,,,11,정량한계미만,
2012-08-12,하천,상주보,도남,2012.08.12,28.9,10.0,9.1,,,22.5,432.0,,,,,17,정량한계미만,
2012-08-13,하천,상주보,도남,2012.08.13,28.0,9.0,8.7,,,40.4,1216.0,,,,,10,정량한계미만,
2012-08-14,하천,상주보,도남,2012.08.14,26.3,7.5,7.3,,,10.1,600.0,,,,,정량한계미만,정량한계미만,
2012-08-15,하천,상주보,도남,2012.08.15,26.7,7.7,8.1,,,6.3,482.0,,,,,정량한계미만,정량한계미만,
2012-08-16,하천,상주보,도남,2012.08.16,23.2,7.5,8.2,,,8.7,216.0,,,,,정량한계미만,정량한계미만,
2012-08-17,하천,상주보,도남,2012.08.17,24.5,7.5,8.4,,,3.4,264.0,,,,,정량한계미만,정량한계미만,
2012-09-26,하천,상주보,도남,2012.09.26,22.6,8.6,10.5,,,63.0,0.0,,,,,정량한계미만,정량한계미만,
2012-09-01,하천,상주보,도남,2012.09.01,22.2,7.8,8.6,,,3.7,160.0,,,,,정량한계미만,정량한계미만,
2012-09-03,하천,상주보,도남,2012.09.03,24.5,7.6,8.0,,,3.2,0.0,,,,,정량한계미만,정량한계미만,
2012-09-05,하천,상주보,도남,2012.09.05,24.7,7.8,8.3,,,3.7,176.0,,,,,정량한계미만,정량한계미만,
2012-09-07,하천,상주보,도남,2012.09.07,24.0,7.8,8.2,,,5.1,48.0,,,,,정량한계미만,정량한계미만,
2012-09-12,하천,상주보,도남,2012.09.12,24.0,7.7,8.2,,,4.4,48.0,,,,,정량한계미만,정량한계미만,
