조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,세종보,연기,2023.01.02,3.4,7.8,14,,2.8,4.7,0,0,0,0,0,2,정량한계미만,
2012-01-11,하천,세종보,연기,2012.01.11,3.7,7.6,14.4,,,5.4,0,0,0,0,0,,,
2012-01-18,하천,세종보,연기,2012.01.18,5.7,7.5,12.6,,,10.3,0,0,0,0,0,,,
2012-01-26,하천,세종보,연기,2012.01.26,2,7.2,12.8,,,3.8,0,0,0,0,0,,,
2012-02-01,하천,세종보,연기,2012.02.01,1.1,8.3,16,,,4.7,0,0,0,0,0,,,
2012-02-08,하천,세종보,연기,2012.02.08,2.3,7,13.5,,,7,0,0,0,0,0,,,
2012-02-15,하천,세종보,연기,2012.02.15,3.5,7.4,13.4,,,11.3,0,0,0,0,0,,,
2012-02-22,하천,세종보,연기,2012.02.22,4.5,7.2,12.9,,,7.6,0,0,0,0,0,,,
2012-02-28,하천,세종보,연기,2012.02.28,5.3,7.5,13.1,,,10.9,0,0,0,0,0,,,
2012-03-07,하천,세종보,연기,2012.03.07,6.9,7.4,10.9,,,17.8,0,0,0,0,0,,,
2012-03-13,하천,세종보,연기,2012.03.13,7.3,7.6,12.8,,,8.3,0,0,0,0,0,,,
2012-03-20,하천,세종보,연기,2012.03.20,9.1,7.9,14.3,,,16.9,0,0,0,0,0,,,
2012-03-27,하천,세종보,연기,2012.03.27,8.4,7.6,13.5,,,16.3,0,0,0,0,0,,,
2012-04-03,하천,세종보,연기,2012.04.03,9.8,7.8,12.7,,,18.7,0,0,0,0,0,,,
2012-04-10,하천,세종보,연기,2012.04.10,11.4,7.8,11.1,,,14.1,0,0,0,0,0,,,
2012-04-17,하천,세종보,연기,2012.04.17,11.9,7.9,11.5,,,21.7,0,0,0,0,0,,,
2012-04-24,하천,세종보,연기,2012.04.24,12.9,7.6,12.3,,,12.9,0,0,0,0,0,,,
2012-05-02,하천,세종보,연기,2012.05.02,15.5,7.8,10.6,,,51.1,0,0,0,0,0,,,
2012-05-08,하천,세종보,연기,2012.05.08,18.3,9,15.8,,,104.7,88,0,0,0,0,,,
2012-05-11,하천,세종보,연기,2012.05.11,17.8,8.3,11.7,,,81.1,100,0,0,0,0,,,
2012-05-15,하천,세종보,연기,2012.05.15,15.9,7.7,9,,,44.2,84,0,0,0,0,,,
2012-05-17,하천,세종보,연기,2012.05.17,17.9,8.2,10.6,,,40.3,130,0,0,0,0,,,
2012-05-22,하천,세종보,연기,2012.05.22,20.2,8.4,14.4,,,46.1,172,0,0,0,0,,,
2012-05-24,하천,세종보,연기,2012.05.24,21,8.5,15.9,,,73.4,200,0,0,0,0,,,
2012-05-29,하천,세종보,연기,2012.05.29,20,8.5,10.6,,,73,192,0,0,0,0,,,
2012-06-05,하천,세종보,연기,2012.06.05,17,7.7,11.1,,,49,58,0,0,0,0,,,
2012-06-07,하천,세종보,연기,2012.06.07,17.4,7.9,11.6,,,63.5,220,0,0,0,0,,,
2012-06-12,하천,세종보,연기,2012.06.12,19.8,8.2,13.4,,,70.1,266,0,0,0,0,,,
2012-06-15,하천,세종보,연기,2012.06.15,19.3,7.7,11.5,,,50,0,0,0,0,0,,,
2012-06-19,하천,세종보,연기,2012.06.19,21.1,8.2,12.5,,,90.5,62,0,0,0,0,,,
2012-06-21,하천,세종보,연기,2012.06.21,20,8.4,13.3,,,59,428,0,0,0,0,,,
