¡∂ªÁ¿œ,∫–∑˘,¡ˆ¡°∏Ì,√§ºˆ¿ßƒ°,¡∂ªÁ¿œ,ºˆø¬,pH,DO,≈ı∏Ìµµ,≈πµµ,Chl-a ,¿Ø«ÿ≥≤¡∂∑˘ºº∆˜ºˆ,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,¡ˆø¿Ω∫πŒ,2MIB,Microcystin-LR 
2023-01-02,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2023.01.02,,,,,,,,,,,,,,
2012-01-23,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.23,5.9,8.4,12.9,,,96.9,0.0,0.0,0.0,0.0,0.0,,,
2012-01-24,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.24,4.6,7.7,14.4,,,56.9,0.0,0.0,0.0,0.0,0.0,,,
2012-01-26,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.26,4.2,8.4,15.4,,,70.4,0.0,0.0,0.0,0.0,0.0,,,
2012-01-27,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.27,4.3,7.9,15.6,,,75.5,0.0,0.0,0.0,0.0,0.0,,,
2012-01-30,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.30,5.9,8.5,16.3,,,54.4,0.0,0.0,0.0,0.0,0.0,,,
2012-01-05,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.05,6.3,8.0,14.2,,,23.6,0.0,0.0,0.0,0.0,0.0,,,
2012-01-09,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.09,5.9,7.9,14.3,,,25.4,0.0,0.0,0.0,0.0,0.0,,,
2012-01-12,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.12,5.1,7.6,13.5,,,33.4,0.0,0.0,0.0,0.0,0.0,,,
2012-01-17,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.17,8.2,8.3,14.3,,,73.4,0.0,0.0,0.0,0.0,0.0,,,
2012-01-18,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.18,6.1,7.2,12.8,,,66.6,0.0,0.0,0.0,0.0,0.0,,,
2012-01-19,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.19,7.8,8.4,15.1,,,84.8,0.0,0.0,0.0,0.0,0.0,,,
2012-01-20,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.20,9.4,8.2,14.1,,,83.0,0.0,0.0,0.0,0.0,0.0,,,
2012-01-21,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.21,8.7,8.1,13.0,,,86.7,0.0,0.0,0.0,0.0,0.0,,,
2012-01-22,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.01.22,6.4,8.0,11.8,,,64.3,0.0,0.0,0.0,0.0,0.0,,,
2012-02-02,«œ√µ,Ω¬√Ã∫∏,±§ªÍ,2012.02.02,4.8,7.6,14.1,,,51.4,0.0,0.0,0.0,0.0,0.0,,,
