조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,여주보,대신,2023.01.02,,,,,,,,,,,,,,
2012-01-03,하천,여주보,대신,2012.01.03,2.9,8.1,13.8,,,1.9,0.0,0.0,0.0,0.0,0.0,,,
2012-01-10,하천,여주보,대신,2012.01.10,3.4,8.0,12.6,,,0.5,0.0,0.0,0.0,0.0,0.0,,,
2012-01-18,하천,여주보,대신,2012.01.18,4.5,7.9,12.8,,,2.3,0.0,0.0,0.0,0.0,0.0,,,
2012-01-26,하천,여주보,대신,2012.01.26,2.4,8.1,14.4,,,3.7,0.0,0.0,0.0,0.0,0.0,,,
2012-02-02,하천,여주보,대신,2012.02.02,2.3,8.2,15.9,,,5.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-08,하천,여주보,대신,2012.02.08,2.6,8.2,14.5,,,6.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-16,하천,여주보,대신,2012.02.16,4.9,8.4,14.4,,,6.4,0.0,0.0,0.0,0.0,0.0,,,
2012-02-22,하천,여주보,대신,2012.02.22,5.3,8.5,14.0,,,4.6,0.0,0.0,0.0,0.0,0.0,,,
2012-02-29,하천,여주보,대신,2012.02.29,6.6,8.4,13.8,,,5.1,0.0,0.0,0.0,0.0,0.0,,,
2012-03-07,하천,여주보,대신,2012.03.07,7.6,8.0,12.9,,,7.9,0.0,0.0,0.0,0.0,0.0,,,
2012-03-13,하천,여주보,대신,2012.03.13,7.0,8.0,13.8,,,8.6,0.0,0.0,0.0,0.0,0.0,,,
2012-03-20,하천,여주보,대신,2012.03.20,8.1,8.4,12.6,,,12.1,0.0,0.0,0.0,0.0,0.0,,,
2012-03-27,하천,여주보,대신,2012.03.27,7.6,8.1,13.3,,,8.8,0.0,0.0,0.0,0.0,0.0,,,
2012-04-04,하천,여주보,대신,2012.04.04,8.6,7.6,11.7,,,14.1,0.0,0.0,0.0,0.0,0.0,,,
2012-04-10,하천,여주보,대신,2012.04.10,9.4,7.7,13.9,,,5.7,0.0,0.0,0.0,0.0,0.0,,,
2012-04-17,하천,여주보,대신,2012.04.17,14.2,8.2,11.3,,,8.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-25,하천,여주보,대신,2012.04.25,12.3,8.0,11.4,,,12.4,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,하천,여주보,대신,2012.05.01,15.5,8.0,12.3,,,11.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-03,하천,여주보,대신,2012.05.03,18.8,8.3,10.5,,,12.6,0.0,0.0,0.0,0.0,0.0,,,
2012-05-09,하천,여주보,대신,2012.05.09,19.4,8.7,12.7,,,22.1,0.0,0.0,0.0,0.0,0.0,,,
2012-05-15,하천,여주보,대신,2012.05.15,17.5,8.3,11.5,,,14.8,0.0,0.0,0.0,0.0,0.0,,,
2012-05-22,하천,여주보,대신,2012.05.22,22.8,8.5,11.8,,,26.7,0.0,0.0,0.0,0.0,0.0,,,
2012-05-30,하천,여주보,대신,2012.05.30,18.3,8.0,10.8,,,19.5,0.0,0.0,0.0,0.0,0.0,,,
2012-06-05,하천,여주보,대신,2012.06.05,21.8,8.9,12.9,,,64.9,0.0,0.0,0.0,0.0,0.0,,,
