조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,이포보,이포,2023.01.02,,,,,,,,,,,,,,
2012-01-03,하천,이포보,이포,2012.01.03,2.1,8.4,14.1,,,1.2,0.0,0.0,0.0,0.0,0.0,,,
2012-01-10,하천,이포보,이포,2012.01.10,2.6,8.1,13.2,,,1.1,0.0,0.0,0.0,0.0,0.0,,,
2012-01-18,하천,이포보,이포,2012.01.18,3.2,8.1,13.6,,,2.8,0.0,0.0,0.0,0.0,0.0,,,
2012-01-26,하천,이포보,이포,2012.01.26,1.8,8.4,14.6,,,3.9,0.0,0.0,0.0,0.0,0.0,,,
2012-02-02,하천,이포보,이포,2012.02.02,0.4,8.1,14.5,,,5.1,0.0,0.0,0.0,0.0,0.0,,,
2012-02-08,하천,이포보,이포,2012.02.08,1.2,8.2,11.6,,,6.6,0.0,0.0,0.0,0.0,0.0,,,
2012-02-16,하천,이포보,이포,2012.02.16,4.3,8.1,14.4,,,7.2,0.0,0.0,0.0,0.0,0.0,,,
2012-02-22,하천,이포보,이포,2012.02.22,3.6,8.1,15.3,,,5.4,0.0,0.0,0.0,0.0,0.0,,,
2012-02-28,하천,이포보,이포,2012.02.28,4.9,8.1,13.6,,,6.7,0.0,0.0,0.0,0.0,0.0,,,
2012-03-07,하천,이포보,이포,2012.03.07,6.3,7.9,13.6,,,9.4,0.0,0.0,0.0,0.0,0.0,,,
2012-03-13,하천,이포보,이포,2012.03.13,6.4,8.1,13.1,,,7.8,0.0,0.0,0.0,0.0,0.0,,,
2012-03-20,하천,이포보,이포,2012.03.20,8.5,8.1,12.9,,,17.5,0.0,0.0,0.0,0.0,0.0,,,
2012-03-27,하천,이포보,이포,2012.03.27,6.9,7.9,13.4,,,13.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-05,하천,이포보,이포,2012.04.05,8.8,7.7,12.2,,,6.8,0.0,0.0,0.0,0.0,0.0,,,
2012-04-10,하천,이포보,이포,2012.04.10,9.5,7.7,14.9,,,7.9,0.0,0.0,0.0,0.0,0.0,,,
2012-04-17,하천,이포보,이포,2012.04.17,13.3,8.0,12.7,,,6.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-25,하천,이포보,이포,2012.04.25,12.5,7.7,11.5,,,13.9,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,하천,이포보,이포,2012.05.01,14.6,8.2,12.6,,,16.7,0.0,0.0,0.0,0.0,0.0,,,
2012-05-03,하천,이포보,이포,2012.05.03,17.5,8.2,10.3,,,20.3,0.0,0.0,0.0,0.0,0.0,,,
2012-05-09,하천,이포보,이포,2012.05.09,17.8,8.4,11.5,,,43.5,0.0,0.0,0.0,0.0,0.0,,,
2012-05-17,하천,이포보,이포,2012.05.17,16.5,7.9,11.5,,,41.3,0.0,0.0,0.0,0.0,0.0,,,
2012-05-23,하천,이포보,이포,2012.05.23,22.0,8.4,13.5,,,49.5,0.0,0.0,0.0,0.0,0.0,,,
2012-05-30,하천,이포보,이포,2012.05.30,18.8,8.4,10.7,,,41.6,0.0,0.0,0.0,0.0,0.0,,,
2012-06-05,하천,이포보,이포,2012.06.05,22.1,8.3,11.0,,,43.4,0.0,0.0,0.0,0.0,0.0,,,
2012-06-13,하천,이포보,이포,2012.06.13,23.6,9.0,11.3,,,38.5,0.0,0.0,0.0,0.0,0.0,,,
2012-06-21,하천,이포보,이포,2012.06.21,27.4,9.2,12.2,,,49.4,0.0,0.0,0.0,0.0,0.0,,,
2012-06-28,하천,이포보,이포,2012.06.28,23.7,9.0,11.8,,,46.2,0.0,0.0,0.0,0.0,0.0,,,
2012-07-04,하천,이포보,이포,2012.07.04,24.4,8.6,11.6,,,40.7,0.0,0.0,0.0,0.0,0.0,,,
2012-07-11,하천,이포보,이포,2012.07.11,19.7,7.9,9.9,,,6.6,0.0,0.0,0.0,0.0,0.0,,,
2012-07-19,하천,이포보,이포,2012.07.19,23.1,7.5,7.8,,,2.7,0.0,0.0,0.0,0.0,0.0,,,
2012-07-25,하천,이포보,이포,2012.07.25,26.2,7.8,8.3,,,8.8,0.0,0.0,0.0,0.0,0.0,,,
2012-08-02,하천,이포보,이포,2012.08.02,28.8,8.9,9.2,,,42.9,0.0,0.0,0.0,0.0,0.0,,,
2012-08-08,하천,이포보,이포,2012.08.08,29.1,8.5,10.5,,,23.6,0.0,0.0,0.0,0.0,0.0,,,
2012-08-14,하천,이포보,이포,2012.08.14,23.8,7.8,8.4,,,5.4,0.0,0.0,0.0,0.0,0.0,,,
2012-08-22,하천,이포보,이포,2012.08.22,23.6,7.7,7.5,,,1.3,0.0,0.0,0.0,0.0,0.0,,,
2012-08-30,하천,이포보,이포,2012.08.30,22.1,7.8,7.7,,,2.8,0.0,0.0,0.0,0.0,0.0,,,
2012-09-05,하천,이포보,이포,2012.09.05,22.4,7.6,9.0,,,4.4,0.0,0.0,0.0,0.0,0.0,,,
2012-09-13,하천,이포보,이포,2012.09.13,20.9,7.8,9.6,,,2.5,0.0,0.0,0.0,0.0,0.0,,,
2012-09-19,하천,이포보,이포,2012.09.19,19.7,7.8,10.4,,,1.7,0.0,0.0,0.0,0.0,0.0,,,
2012-09-25,하천,이포보,이포,2012.09.25,22.0,8.0,10.8,,,4.3,0.0,0.0,0.0,0.0,0.0,,,
2012-10-04,하천,이포보,이포,2012.10.04,21.5,8.3,10.9,,,3.7,0.0,0.0,0.0,0.0,0.0,,,
2012-10-10,하천,이포보,이포,2012.10.10,18.2,8.4,12.3,,,5.9,0.0,0.0,0.0,0.0,0.0,,,
2012-10-18,하천,이포보,이포,2012.10.18,15.5,8.4,10.4,,,0.8,0.0,0.0,0.0,0.0,0.0,,,
2012-10-25,하천,이포보,이포,2012.10.25,15.4,7.9,10.6,,,7.9,0.0,0.0,0.0,0.0,0.0,,,
2012-10-30,하천,이포보,이포,2012.10.30,15.1,8.1,10.5,,,12.7,0.0,0.0,0.0,0.0,0.0,,,
2012-11-07,하천,이포보,이포,2012.11.07,11.7,7.9,11.5,,,2.2,0.0,0.0,0.0,0.0,0.0,,,
2012-11-15,하천,이포보,이포,2012.11.15,9.4,8.0,14.2,,,1.6,0.0,0.0,0.0,0.0,0.0,,,
2012-11-21,하천,이포보,이포,2012.11.21,7.5,7.9,11.2,,,0.8,0.0,0.0,0.0,0.0,0.0,,,
2012-11-27,하천,이포보,이포,2012.11.27,6.4,8.0,12.3,,,1.5,0.0,0.0,0.0,0.0,0.0,,,
2012-12-05,하천,이포보,이포,2012.12.05,4.3,8.0,13.8,,,1.8,0.0,0.0,0.0,0.0,0.0,,,
2012-12-13,하천,이포보,이포,2012.12.13,1.7,8.0,16.2,,,1.2,0.0,0.0,0.0,0.0,0.0,,,
2012-12-18,하천,이포보,이포,2012.12.18,3.6,7.9,15.2,,,2.5,0.0,0.0,0.0,0.0,0.0,,,
2012-12-26,하천,이포보,이포,2012.12.26,0.4,8.0,15.1,,,1.7,0.0,0.0,0.0,0.0,0.0,,,
2013-01-02,하천,이포보,이포,2013.01.02,0.5,8.3,14.2,,,1.7,0.0,0.0,0.0,0.0,0.0,,,
2013-01-08,하천,이포보,이포,2013.01.08,1.4,8.2,12.9,,,1.9,0.0,0.0,0.0,0.0,0.0,,,
2013-01-15,하천,이포보,이포,2013.01.15,2.4,7.9,14.6,,,2.6,0.0,0.0,0.0,0.0,0.0,,,
2013-01-23,하천,이포보,이포,2013.01.23,3.4,7.7,13.2,,,6.4,0.0,0.0,0.0,0.0,0.0,,,
