조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,호소,진양호,내동,2023.01.02,3.6,7.2,13.1,2.0,3.5,6.4,0.0,0.0,0.0,0.0,0.0,,,
2023-01-02,호소,진양호,판문,2023.01.02,4.1,7.1,13.0,2.5,3.0,6.0,90.0,0.0,0.0,0.0,90.0,,,
2012-04-02,호소,진양호,내동,2012.04.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-09,호소,진양호,내동,2012.04.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-16,호소,진양호,내동,2012.04.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-23,호소,진양호,내동,2012.04.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-30,호소,진양호,내동,2012.04.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-08,호소,진양호,내동,2012.05.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-15,호소,진양호,내동,2012.05.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-21,호소,진양호,내동,2012.05.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-29,호소,진양호,내동,2012.05.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-04,호소,진양호,내동,2012.06.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-11,호소,진양호,내동,2012.06.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-18,호소,진양호,내동,2012.06.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-25,호소,진양호,내동,2012.06.25,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-02,호소,진양호,내동,2012.07.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-09,호소,진양호,내동,2012.07.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-16,호소,진양호,내동,2012.07.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-23,호소,진양호,내동,2012.07.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-30,호소,진양호,내동,2012.07.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-06,호소,진양호,내동,2012.08.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-13,호소,진양호,내동,2012.08.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-20,호소,진양호,내동,2012.08.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-27,호소,진양호,내동,2012.08.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-09-04,호소,진양호,내동,2012.09.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-09-10,호소,진양호,내동,2012.09.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-09-18,호소,진양호,내동,2012.09.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-09-24,호소,진양호,내동,2012.09.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-10-04,호소,진양호,내동,2012.10.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-10-08,호소,진양호,내동,2012.10.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-10-15,호소,진양호,내동,2012.10.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-10-22,호소,진양호,내동,2012.10.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-10-29,호소,진양호,내동,2012.10.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-11-05,호소,진양호,내동,2012.11.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-11-13,호소,진양호,내동,2012.11.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-11-19,호소,진양호,내동,2012.11.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-11-28,호소,진양호,내동,2012.11.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-12-04,호소,진양호,내동,2012.12.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-12-11,호소,진양호,내동,2012.12.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-12-18,호소,진양호,내동,2012.12.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-12-24,호소,진양호,내동,2012.12.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-02,호소,진양호,판문,2012.04.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-09,호소,진양호,판문,2012.04.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-16,호소,진양호,판문,2012.04.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-23,호소,진양호,판문,2012.04.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-04-30,호소,진양호,판문,2012.04.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-08,호소,진양호,판문,2012.05.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-15,호소,진양호,판문,2012.05.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-21,호소,진양호,판문,2012.05.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-05-29,호소,진양호,판문,2012.05.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-04,호소,진양호,판문,2012.06.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-11,호소,진양호,판문,2012.06.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-18,호소,진양호,판문,2012.06.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-06-25,호소,진양호,판문,2012.06.25,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-02,호소,진양호,판문,2012.07.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-09,호소,진양호,판문,2012.07.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-16,호소,진양호,판문,2012.07.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-23,호소,진양호,판문,2012.07.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-07-30,호소,진양호,판문,2012.07.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-06,호소,진양호,판문,2012.08.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-13,호소,진양호,판문,2012.08.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-20,호소,진양호,판문,2012.08.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
2012-08-27,호소,진양호,판문,2012.08.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
