조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,창녕함안보,함안,2023.01.02,3.2,7.5,13.7,2.3,1.9,13.2,254.0,0.0,0.0,0.0,254.0,,,
2012-01-05,하천,창녕함안보,함안,2012.01.05,2.4,8.8,16.0,,,58.6,0.0,,,,,,,
2012-01-10,하천,창녕함안보,함안,2012.01.10,3.0,8.8,18.0,,,51.0,0.0,,,,,,,
2012-01-16,하천,창녕함안보,함안,2012.01.16,2.0,9.1,19.1,,,99.1,0.0,,,,,,,
2012-01-19,하천,창녕함안보,함안,2012.01.19,3.3,8.9,19.2,,,80.1,0.0,,,,,,,
2012-01-25,하천,창녕함안보,함안,2012.01.25,3.0,9.3,17.8,,,110.2,0.0,,,,,,,
2012-01-27,하천,창녕함안보,함안,2012.01.27,3.3,9.2,18.5,,,95.4,0.0,,,,,,,
2012-01-30,하천,창녕함안보,함안,2012.01.30,3.6,9.4,18.4,,,108.7,0.0,,,,,,,
2012-02-27,하천,창녕함안보,함안,2012.02.27,6.7,9.4,15.7,,,80.4,0.0,,,,,,,
2012-02-28,하천,창녕함안보,함안,2012.02.28,5.3,9.5,16.2,,,102.7,0.0,,,,,,,
2012-02-29,하천,창녕함안보,함안,2012.02.29,5.9,9.4,15.8,,,98.7,0.0,,,,,,,
2012-02-01,하천,창녕함안보,함안,2012.02.01,4.1,9.0,13.0,,,62.5,0.0,,,,,,,
2012-02-03,하천,창녕함안보,함안,2012.02.03,2.4,8.3,18.0,,,93.8,0.0,,,,,,,
2012-02-06,하천,창녕함안보,함안,2012.02.06,2.3,9.5,,,,103.8,0.0,,,,,,,
2012-02-08,하천,창녕함안보,함안,2012.02.08,2.6,9.5,18.2,,,106.8,0.0,,,,,,,
2012-02-10,하천,창녕함안보,함안,2012.02.10,3.2,9.5,17.3,,,138.2,0.0,,,,,,,
2012-02-13,하천,창녕함안보,함안,2012.02.13,3.4,9.4,19.9,,,128.9,0.0,,,,,,,
2012-02-16,하천,창녕함안보,함안,2012.02.16,5.8,9.7,19.8,,,123.9,0.0,,,,,,,
2012-02-20,하천,창녕함안보,함안,2012.02.20,5.8,9.6,21.5,,,134.4,0.0,,,,,,,
2012-02-23,하천,창녕함안보,함안,2012.02.23,6.9,9.8,18.6,,,141.0,0.0,,,,,,,
2012-03-02,하천,창녕함안보,함안,2012.03.02,7.1,9.5,16.9,,,96.6,0.0,,,,,,,
2012-03-05,하천,창녕함안보,함안,2012.03.05,6.5,9.2,16.8,,,92.5,0.0,,,,,,,
2012-03-08,하천,창녕함안보,함안,2012.03.08,7.9,9.6,15.5,,,94.4,0.0,,,,,,,
2012-03-12,하천,창녕함안보,함안,2012.03.12,8.7,9.6,15.6,,,119.1,0.0,,,,,,,
2012-03-15,하천,창녕함안보,함안,2012.03.15,10.7,9.5,14.9,,,92.4,0.0,,,,,,,
2012-03-19,하천,창녕함안보,함안,2012.03.19,10.9,9.5,14.0,,,61.4,0.0,,,,,,,
2012-03-22,하천,창녕함안보,함안,2012.03.22,9.4,9.4,13.7,,,44.8,0.0,,,,,,,
2012-03-26,하천,창녕함안보,함안,2012.03.26,10.7,8.5,11.4,,,13.8,0.0,,,,,,,
2012-03-29,하천,창녕함안보,함안,2012.03.29,12.5,8.7,11.1,,,6.3,0.0,,,,,,,
2012-04-02,하천,창녕함안보,함안,2012.04.02,12.7,8.1,10.6,,,8.6,0.0,,,,,,,
2012-04-09,하천,창녕함안보,함안,2012.04.09,14.9,9.0,13.0,,,47.7,0.0,,,,,,,
2012-04-16,하천,창녕함안보,함안,2012.04.16,19.2,9.1,13.0,,,25.3,0.0,,,,,,,
2012-04-23,하천,창녕함안보,함안,2012.04.23,16.9,8.0,9.8,,,14.5,0.0,,,,,,,
2012-04-30,하천,창녕함안보,함안,2012.04.30,16.5,7.9,9.9,,,28.5,0.0,,,,,,,
2012-05-07,하천,창녕함안보,함안,2012.05.07,21.2,9.3,12.3,,,55.8,0.0,,,,,,,
2012-05-14,하천,창녕함안보,함안,2012.05.14,18.6,8.5,9.8,,,16.9,52.0,,,,,,,
2012-05-21,하천,창녕함안보,함안,2012.05.21,23.4,9.0,9.8,,,25.5,56.0,,,,,,,
2012-05-29,하천,창녕함안보,함안,2012.05.29,26.0,8.5,8.9,,,3.6,180.0,,,,,,,
2012-06-04,하천,창녕함안보,함안,2012.06.04,25.2,9.0,10.7,,,19.9,1273.0,,,,,,,
2012-06-11,하천,창녕함안보,함안,2012.06.11,26.2,8.5,9.5,,,20.7,1985.0,,,,,,,
2012-06-18,하천,창녕함안보,함안,2012.06.18,25.5,8.8,10.1,,,17.9,17672.0,,,,,,,
2012-06-25,하천,창녕함안보,함안,2012.06.25,26.0,9.3,12.0,,,42.0,29431.0,,,,,,,
2012-07-02,하천,창녕함안보,함안,2012.07.02,28.6,9.1,9.1,,,59.9,91840.0,,,,,,,
2012-07-09,하천,창녕함안보,함안,2012.07.09,26.8,7.8,8.8,,,16.0,8152.0,,,,,,,
2012-07-16,하천,창녕함안보,함안,2012.07.16,25.4,7.5,7.7,,,14.6,636.0,,,,,,,
2012-07-23,하천,창녕함안보,함안,2012.07.23,30.6,8.1,9.3,,,21.7,1034.0,,,,,,,
2012-07-30,하천,창녕함안보,함안,2012.07.30,35.1,9.4,10.5,,,13.7,5603.0,,,,,,,
2012-08-18,하천,창녕함안보,함안,2012.08.18,29.5,7.6,7.4,,,9.1,2655.0,,,,,정량한계미만,정량한계미만,
2012-08-19,하천,창녕함안보,함안,2012.08.19,29.2,7.8,7.8,,,14.3,1384.0,,,,,정량한계미만,정량한계미만,
2012-08-20,하천,창녕함안보,함안,2012.08.20,29.6,8.2,9.3,,,26.0,1904.0,,,,,,,
2012-08-21,하천,창녕함안보,함안,2012.08.21,29.8,8.5,8.9,,,30.6,2752.0,,,,,정량한계미만,정량한계미만,
2012-08-22,하천,창녕함안보,함안,2012.08.22,27.8,7.9,8.1,,,24.3,1576.0,,,,,정량한계미만,정량한계미만,
2012-08-23,하천,창녕함안보,함안,2012.08.23,26.5,7.7,8.1,,,21.2,1312.0,,,,,정량한계미만,정량한계미만,
2012-08-24,하천,창녕함안보,함안,2012.08.24,23.8,7.4,7.9,,,9.4,712.0,,,,,정량한계미만,정량한계미만,
2012-08-27,하천,창녕함안보,함안,2012.08.27,25.8,7.3,7.8,,,7.4,512.0,,,,,정량한계미만,정량한계미만,
2012-08-29,하천,창녕함안보,함안,2012.08.29,25.4,7.5,7.9,,,7.1,952.0,,,,,정량한계미만,정량한계미만,
2012-08-31,하천,창녕함안보,함안,2012.08.31,25.5,7.7,8.5,,,6.2,424.0,,,,,정량한계미만,정량한계미만,
2012-08-02,하천,창녕함안보,함안,2012.08.02,29.6,8.2,9.3,,,26.0,1904.0,,,,,정량한계미만,정량한계미만,
2012-08-06,하천,창녕함안보,함안,2012.08.06,31.7,8.4,7.3,,,6.3,2626.0,,,,,,,
2012-08-11,하천,창녕함안보,함안,2012.08.11,31.0,8.0,7.8,,,15.5,2792.0,,,,,13,정량한계미만,
2012-08-12,하천,창녕함안보,함안,2012.08.12,30.0,8.1,8.8,,,78.9,936.0,,,,,10,정량한계미만,
2012-08-13,하천,창녕함안보,함안,2012.08.13,28.9,8.5,7.0,,,26.5,2824.0,,,,,7,정량한계미만,
