조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2016-01-05,하천,한강,이천,2016.01.05,,,,,,,0,0,0,0,0,,,
2016-01-11,하천,한강,이천,2016.01.11,,,,,,,,,,,,,,
2016-01-18,하천,한강,이천,2016.01.18,,,,,,,0,0,0,0,0,,,
2016-01-25,하천,한강,이천,2016.01.25,,,,,,,0,0,0,0,0,,,
2016-02-01,하천,한강,이천,2016.02.01,,,,,,,,,,,,,,
2016-02-11,하천,한강,이천,2016.02.11,,,,,,,,,,,,,,
2016-02-15,하천,한강,이천,2016.02.15,,,,,,,0,0,0,0,0,,,
2016-02-22,하천,한강,이천,2016.02.22,,,,,,,0,0,0,0,0,,,
2016-02-29,하천,한강,이천,2016.02.29,,,,,,,,,,,,,,
2016-03-07,하천,한강,이천,2016.03.07,,,,,,,0,0,0,0,0,,,
2016-03-14,하천,한강,이천,2016.03.14,,,,,,,0,0,0,0,0,,,
2016-03-21,하천,한강,이천,2016.03.21,,,,,,,0,0,0,0,0,,,
2016-03-28,하천,한강,이천,2016.03.28,,,,,,,0,0,0,0,0,,,
2016-04-04,하천,한강,이천,2016.04.04,10.9,7.6,12.7,2.3,2.2,8.5,0,0,0,0,0,,,
2016-04-11,하천,한강,이천,2016.04.11,10.5,7.7,12.3,2.4,3.4,14.3,0,0,0,0,0,,,
2016-04-18,하천,한강,이천,2016.04.18,12.9,7.9,12.4,1.4,7.5,5.8,0,0,0,0,0,,,
2016-04-25,하천,한강,이천,2016.04.25,14,7.6,11.3,1.7,4.6,6.7,0,0,0,0,0,,,
2016-05-02,하천,한강,이천,2016.05.02,11.8,7.9,11.3,1.7,3.8,7.3,0,0,0,0,0,,,
2016-05-09,하천,한강,이천,2016.05.09,14.9,8,10.2,1.8,3.7,4,0,0,0,0,0,,,
2016-05-16,하천,한강,이천,2016.05.16,18.2,8.2,10.2,1.4,6.3,7.7,0,0,0,0,0,,,
2016-05-23,하천,한강,이천,2016.05.23,19.6,8.2,11.1,1.6,6.2,9.5,0,0,0,0,0,,,
2016-05-30,하천,한강,이천,2016.05.30,21.4,7.4,10.3,1.2,6.2,9.8,0,0,0,0,0,,,
2016-06-07,하천,한강,이천,2016.06.07,22.4,8.1,12.9,1.8,7.7,14.5,0,0,0,0,0,,,
2016-06-13,하천,한강,이천,2016.06.13,22.9,8,10.6,1.2,3.1,21.9,0,0,0,0,0,,,
2016-06-20,하천,한강,이천,2016.06.20,23.7,8.3,10.2,1.4,4.1,18.9,0,0,0,0,0,,,
2016-06-27,하천,한강,이천,2016.06.27,23.5,8.6,10.5,1.2,3.9,34.5,0,0,0,0,0,,,
2016-07-04,하천,한강,이천,2016.07.04,22.2,7.8,9.4,1.1,6.9,12,0,0,0,0,0,,,
2016-07-11,하천,한강,이천,2016.07.11,,,,,,,,,,,,,,
2016-07-21,하천,한강,이천,2016.07.21,20.7,7.5,8.8,1.5,6.2,3,0,0,0,0,0,,,
2016-07-25,하천,한강,이천,2016.07.25,23.3,8.3,12.3,1.5,4.1,18.5,0,0,0,0,0,,,
2016-08-01,하천,한강,이천,2016.08.01,21.9,7.5,9.7,1.4,6.5,12.7,0,0,0,0,0,,,
2016-08-08,하천,한강,이천,2016.08.08,26.5,8.7,12.9,1.7,3.1,18.2,0,0,0,0,0,,,
2016-08-16,하천,한강,이천,2016.08.16,25.3,8.3,11.5,1.3,4.8,11.9,0,0,0,0,0,,,
2016-08-22,하천,한강,이천,2016.08.22,24.8,8.2,10.9,1.8,2.7,9.9,0,0,0,0,0,,,
2016-08-29,하천,한강,이천,2016.08.29,21.1,7.5,8.8,1.9,2.4,12.9,0,0,0,0,0,,,
2016-09-05,하천,한강,이천,2016.09.05,22.2,7.8,7.8,2.2,2.9,8.8,0,0,0,0,0,,,
2016-09-12,하천,한강,이천,2016.09.12,23.8,7.9,10.4,2.5,1.7,9.9,0,0,0,0,0,,,
2016-09-19,하천,한강,이천,2016.09.19,22.1,7.7,8.4,1.9,1.9,10.5,0,0,0,0,0,,,
2016-09-26,하천,한강,이천,2016.09.26,22.4,8.3,10,1.8,3.1,26.2,0,0,0,0,0,,,
2016-10-04,하천,한강,이천,2016.10.04,20.9,7.7,8.9,1.2,3.2,4.3,0,0,0,0,0,,,
2016-10-10,하천,한강,이천,2016.10.10,18.9,7.9,10,2,2.9,5.8,0,0,0,0,0,,,
2016-10-17,하천,한강,이천,2016.10.17,18.5,7.8,10.8,2.3,2.6,2.6,0,0,0,0,0,,,
2016-10-24,하천,한강,이천,2016.10.24,17.4,7.7,8.2,2.5,2.9,1.4,0,0,0,0,0,,,
2016-10-31,하천,한강,이천,2016.10.31,14,8,9.6,3,2,1.1,0,0,0,0,0,,,
2016-11-07,하천,한강,이천,2016.11.07,13.8,7.9,11,3.5,2,0.7,0,0,0,0,0,,,
2016-11-14,하천,한강,이천,2016.11.14,11.8,8.3,12.1,4.3,2.4,0.9,0,0,0,0,0,,,
2016-11-21,하천,한강,이천,2016.11.21,11.6,8,11,3.7,2,2.2,0,0,0,0,0,,,
2016-11-28,하천,한강,이천,2016.11.28,6.4,8.2,13.4,4.1,2.1,2,0,0,0,0,0,,,
2016-12-05,하천,한강,이천,2016.12.05,6.3,8.2,13.6,3.7,2.3,3,0,0,0,0,0,,,
2016-12-12,하천,한강,이천,2016.12.12,4.3,8.2,14.9,3.8,1.9,2.3,0,0,0,0,0,,,
2016-12-19,하천,한강,이천,2016.12.19,4.1,8.6,12.5,4.4,2.2,2.7,0,0,0,0,0,,,
2016-12-26,하천,한강,이천,2016.12.26,4.5,8.5,12.7,2.8,1.5,3.2,0,0,0,0,0,,,
2017-01-02,하천,한강,이천,2017.01.02,4.8,8.5,12.1,3.5,1.7,2.7,0,0,0,0,0,,,
2017-01-09,하천,한강,이천,2017.01.09,6,8.7,14,3.3,2.2,2.8,0,0,0,0,0,,,
2017-01-16,하천,한강,이천,2017.01.16,,,,,,,,,,,,,,
2017-01-23,하천,한강,이천,2017.01.23,,,,,,,,,,,,,,
2017-01-31,하천,한강,이천,2017.01.31,,,,,,,,,,,,,,
2017-02-06,하천,한강,이천,2017.02.06,,,,,,,,,,,,,,
2017-02-13,하천,한강,이천,2017.02.13,,,,,,,,,,,,,,
2017-02-20,하천,한강,이천,2017.02.20,4.6,8.9,15.1,3.5,2.3,10.8,0,0,0,0,0,,,
2017-02-27,하천,한강,이천,2017.02.27,6.2,9,15.3,2.6,2.8,13.9,0,0,0,0,0,,,
2017-03-06,하천,한강,이천,2017.03.06,6.7,8.5,14.2,2.5,2.3,10,0,0,0,0,0,,,
2017-03-13,하천,한강,이천,2017.03.13,7.3,8.3,12.2,3.1,2.7,8.2,0,0,0,0,0,,,
2017-03-20,하천,한강,이천,2017.03.20,9.4,8.9,12.4,1.9,2.9,15,0,0,0,0,0,,,
2017-03-27,하천,한강,이천,2017.03.27,9.1,8.9,10.4,1.7,4,12.6,0,0,0,0,0,,,
2017-04-03,하천,한강,이천,2017.04.03,10.5,7.7,9.7,1.5,4.1,8.2,0,0,0,0,0,,,
2017-04-10,하천,한강,이천,2017.04.10,13.6,7.7,10.1,1.9,4.9,14.2,0,0,0,0,0,,,
2017-04-17,하천,한강,이천,2017.04.17,11.9,8.2,10.3,2.3,4.2,7.3,0,0,0,0,0,,,
2017-04-24,하천,한강,이천,2017.04.24,12.9,8,12.3,2.3,3.6,3.5,0,0,0,0,0,,,
2017-05-02,하천,한강,이천,2017.05.02,17.8,8.2,10.9,2.4,2.3,6.7,0,0,0,0,0,,,
2017-05-08,하천,한강,이천,2017.05.08,17.3,8.2,11,1.5,3.3,9.6,0,0,0,0,0,,,
2017-05-15,하천,한강,이천,2017.05.15,16.1,8.1,11.6,1.8,3.4,8,0,0,0,0,0,,,
2017-05-22,하천,한강,이천,2017.05.22,18.8,8.4,10.5,2,2.4,5.6,0,0,0,0,0,,,
2017-05-29,하천,한강,이천,2017.05.29,19,8.1,10.3,2.3,2.6,5.5,0,0,0,0,0,,,
2017-06-05,하천,한강,이천,2017.06.05,21.3,8.4,9.7,2.2,2.4,4.1,0,0,0,0,0,,,
2017-06-12,하천,한강,이천,2017.06.12,22,8.3,9.6,2.4,2.6,5.2,0,0,0,0,0,,,
2017-06-19,하천,한강,이천,2017.06.19,23.3,8.6,9.9,1.6,2.6,6.4,0,0,0,0,0,,,
2017-06-26,하천,한강,이천,2017.06.26,23.5,8.2,9.9,2.5,3.8,7.1,0,0,0,0,0,,,
2017-07-03,하천,한강,이천,2017.07.03,,,,,,,,,,,,,,
2017-07-10,하천,한강,이천,2017.07.10,,,,,,,,,,,,,,
2017-07-17,하천,한강,이천,2017.07.17,,,,,,,,,,,,,,
2017-07-24,하천,한강,이천,2017.07.24,,,,,,,,,,,,,,
2017-07-31,하천,한강,이천,2017.07.31,,,,,,,,,,,,,,
2017-08-07,하천,한강,이천,2017.08.07,24.6,7.9,9.3,1.2,9.1,14.6,0,0,0,0,0,,,
2017-08-14,하천,한강,이천,2017.08.14,23.2,7.7,8.2,1.3,6.2,11,0,0,0,0,0,,,
2017-08-21,하천,한강,이천,2017.08.21,,,,,,,,,,,,,,
2017-08-28,하천,한강,이천,2017.08.28,,,,,,,,,,,,,,
2017-09-04,하천,한강,이천,2017.09.04,22.7,7.7,8.8,1.6,3.1,2.7,0,0,0,0,0,,,
2017-09-11,하천,한강,이천,2017.09.11,22.1,8.3,9.6,1.7,4.3,20,0,0,0,0,0,,,
2017-09-18,하천,한강,이천,2017.09.18,22.6,8.6,11.2,1.6,2.8,12.6,0,0,0,0,0,,,
2017-09-25,하천,한강,이천,2017.09.25,22.3,8.4,9.5,1.8,3.2,10.2,0,0,0,0,0,,,
2017-10-10,하천,한강,이천,2017.10.10,22,7.8,8.9,1.5,4.8,2.8,0,0,0,0,0,,,
2017-10-16,하천,한강,이천,2017.10.16,18.9,8,9.4,1.5,4.3,5.6,0,0,0,0,0,,,
2017-10-23,하천,한강,이천,2017.10.23,17.3,8.1,9.6,1.4,4.2,3.2,0,0,0,0,0,,,
2017-10-30,하천,한강,이천,2017.10.30,16,8.2,9.9,1.5,4,2.5,0,0,0,0,0,,,
2017-11-06,하천,한강,이천,2017.11.06,13,8.2,10.4,2.3,2,1.6,0,0,0,0,0,,,
2017-11-13,하천,한강,이천,2017.11.13,11.1,8.4,11.3,2,2.6,1,0,0,0,0,0,,,
2017-11-20,하천,한강,이천,2017.11.20,6.9,8.7,13.7,2.9,2.6,1.3,0,0,0,0,0,,,
2017-11-27,하천,한강,이천,2017.11.27,8.4,8.4,12,1.7,3.2,3.1,0,0,0,0,0,,,
2017-12-04,하천,한강,이천,2017.12.04,7.1,8.1,11.3,2.6,1.6,2.5,0,0,0,0,0,,,
2017-12-11,하천,한강,이천,2017.12.11,5,8.3,12.2,1.3,2.1,3.2,0,0,0,0,0,,,
2017-12-18,하천,한강,이천,2017.12.18,,,,,,,,,,,,,,
2017-12-26,하천,한강,이천,2017.12.26,3.7,8.2,13.6,1.4,2.4,3.8,0,0,0,0,0,,,
2018-01-02,하천,한강,이천,2018.01.02,3,8.5,14.9,2.3,1.9,3.5,0,0,0,0,0,,,
2018-01-08,하천,한강,이천,2018.01.08,2.4,8.4,13.8,2.8,1.8,4.5,0,0,0,0,0,,,
2018-01-15,하천,한강,이천,2018.01.15,,,,,,,,,,,,,,
2018-01-22,하천,한강,이천,2018.01.22,,,,,,,,,,,,,,
2018-01-29,하천,한강,이천,2018.01.29,,,,,,,,,,,,,,
2018-02-05,하천,한강,이천,2018.02.05,,,,,,,,,,,,,,
2018-02-12,하천,한강,이천,2018.02.12,,,,,,,,,,,,,,
2018-02-19,하천,한강,이천,2018.02.19,,,,,,,,,,,,,,
2018-02-26,하천,한강,이천,2018.02.26,,,,,,,,,,,,,,
2018-03-05,하천,한강,이천,2018.03.05,7.3,8.2,12.6,1.6,2.5,12.6,0,0,0,0,0,,,
2018-03-12,하천,한강,이천,2018.03.12,7.3,7.9,12.2,1.4,6,12.7,0,0,0,0,0,,,
2018-03-19,하천,한강,이천,2018.03.19,9,8.1,12.1,1.3,3.4,12.2,0,0,0,0,0,,,
2018-03-26,하천,한강,이천,2018.03.26,9,7.9,11.7,1.4,3.5,7.5,0,0,0,0,0,,,
2018-04-02,하천,한강,이천,2018.04.02,13.6,8,10.4,1.2,5,17.4,0,0,0,0,0,,,
2018-04-09,하천,한강,이천,2018.04.09,9,8.1,11.6,1.5,5.6,8,0,0,0,0,0,,,
2018-04-16,하천,한강,이천,2018.04.16,10.6,8.3,11.6,1.5,4.4,9.5,0,0,0,0,0,,,
2018-04-23,하천,한강,이천,2018.04.23,,,,,,,,,,,,,,
2018-04-30,하천,한강,이천,2018.04.30,13.3,8.8,12.3,1.3,4.7,9.5,0,0,0,0,0,,,
2018-05-08,하천,한강,이천,2018.05.08,11.1,8,11.1,1.8,3.5,9.7,0,0,0,0,0,,,
2018-05-14,하천,한강,이천,2018.05.14,,,,,,,,,,,,,,
2018-05-21,하천,한강,이천,2018.05.21,,,,,,,,,,,,,,
2018-05-28,하천,한강,이천,2018.05.28,,,,,,,,,,,,,,
2018-06-04,하천,한강,이천,2018.06.04,19.1,8,10.3,1.9,7.1,11.3,0,0,0,0,0,,,
2018-06-11,하천,한강,이천,2018.06.11,20.7,8.8,11.1,1,7.5,31.4,0,0,0,0,0,,,
2018-06-18,하천,한강,이천,2018.06.18,21,8.8,11.3,1.3,5.2,22,0,0,0,0,0,,,
2018-06-25,하천,한강,이천,2018.06.25,23.1,8.7,11.2,1.2,4.8,36.5,0,0,0,0,0,,,
