조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2020.06.01,하천,한강,한강대교,2020.06.01,21.7,7.4,8.4,1.2,9.7,25.3,90,0,0,57,33, , , 
2020.05.25,하천,한강,한강대교,2020.05.25,20.1,7.5,8.7,0.9,5,12,0,0,0,0,0, , , 
2020.05.18,하천,한강,한강대교,2020.05.18,19.2,7.6,8.9,1,7.6,7.8,0,0,0,0,0, , , 
2020.05.11,하천,한강,한강대교,2020.05.11,18,7.3,7,1.2,20.8,4.4,0,0,0,0,0, , , 
2020.05.04,하천,한강,한강대교,2020.05.04,18.9,8.6,14.3,1.2,2.6,33.3,0,0,0,0,0, , , 
2020.04.27,하천,한강,한강대교,2020.04.27,13.8,8.6,13.5,0.8,5.1,29,0,0,0,0,0, , , 
2020.04.20,하천,한강,한강대교,2020.04.20,14.6,7.6,9.5,0.9,3.4,26.4,0,0,0,0,0, , , 
2020.04.13,하천,한강,한강대교,2020.04.13,13.3,7.3,11.7,1.3,5.5,23.6,0,0,0,0,0, , , 
2020.04.06,하천,한강,한강대교,2020.04.06,13.5,8.3,12.6,1,4.2,26.1,0,0,0,0,0, , , 
2020.03.23,하천,한강,한강대교,2020.03.23, , , , , , , , , , , , , , 
2020.03.16,하천,한강,한강대교,2020.03.16, , , , , , , , , , , , , , 
2020.02.24,하천,한강,한강대교,2020.02.24, , , , , , , , , , , , , , 
2020.02.17,하천,한강,한강대교,2020.02.17, , , , , , , , , , , , , , 
2020.02.10,하천,한강,한강대교,2020.02.10, , , , , , , , , , , , , , 
2020.02.03,하천,한강,한강대교,2020.02.03, , , , , , , , , , , , , , 
2020.01.28,하천,한강,한강대교,2020.01.28, , , , , , , , , , , , , , 
2020.01.20,하천,한강,한강대교,2020.01.20, , , , , , , , , , , , , , 
2020.01.13,하천,한강,한강대교,2020.01.13, , , , , , , , , , , , , , 
2020.01.06,하천,한강,한강대교,2020.01.06, , , , , , , , , , , , , , 
2019.12.30,하천,한강,한강대교,2019.12.30, , , , , , , , , , , , , , 
2019.12.23,하천,한강,한강대교,2019.12.23, , , , , , , , , , , , , , 
2019.12.16,하천,한강,한강대교,2019.12.16, , , , , , , , , , , , , , 
2019.12.09,하천,한강,한강대교,2019.12.09, , , , , , , , , , , , , , 
2019.11.25,하천,한강,한강대교,2019.11.25,9.6,7.6,10.1,1.8,3.1,1.9,0,0,0,0,0, , , 
2019.11.18,하천,한강,한강대교,2019.11.18,11,7.4,8.7,1.3,5.2,3,0,0,0,0,0, , , 
2019.11.11,하천,한강,한강대교,2019.11.11,14.1,7.6,10.1,1.3,2.9,2.9,0,0,0,0,0, , , 
