조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2023-01-02,하천,합천창녕보,덕곡,2023.01.02,4.6,7.6,14.1,1.7,2.3,14.8,37.0,0.0,0.0,0.0,37.0,,,
2012-01-05,하천,합천창녕보,덕곡,2012.01.05,2.2,8.0,15.0,,,37.0,0.0,,,,,,,
2012-01-10,하천,합천창녕보,덕곡,2012.01.10,1.8,7.7,16.0,,,16.0,0.0,,,,,,,
2012-01-16,하천,합천창녕보,덕곡,2012.01.16,3.9,8.8,17.5,,,57.1,0.0,,,,,,,
2012-01-25,하천,합천창녕보,덕곡,2012.01.25,3.0,8.8,17.6,,,77.4,0.0,,,,,,,
2012-01-27,하천,합천창녕보,덕곡,2012.01.27,3.2,8.8,14.3,,,70.3,0.0,,,,,,,
2012-01-30,하천,합천창녕보,덕곡,2012.01.30,2.7,8.8,16.8,,,81.7,0.0,,,,,,,
2012-02-27,하천,합천창녕보,덕곡,2012.02.27,5.1,9.7,18.8,,,144.9,0.0,,,,,,,
2012-02-28,하천,합천창녕보,덕곡,2012.02.28,4.2,9.7,19.2,,,131.8,0.0,,,,,,,
2012-02-29,하천,합천창녕보,덕곡,2012.02.29,8.0,9.6,17.9,,,99.4,0.0,,,,,,,
2012-02-01,하천,합천창녕보,덕곡,2012.02.01,3.1,8.3,14.2,,,43.7,0.0,,,,,,,
2012-02-03,하천,합천창녕보,덕곡,2012.02.03,2.5,8.1,14.8,,,76.3,0.0,,,,,,,
2012-02-06,하천,합천창녕보,덕곡,2012.02.06,2.3,9.2,,,,41.2,0.0,,,,,,,
2012-02-08,하천,합천창녕보,덕곡,2012.02.08,3.8,9.1,17.5,,,44.0,0.0,,,,,,,
2012-02-10,하천,합천창녕보,덕곡,2012.02.10,4.6,9.5,20.6,,,40.6,0.0,,,,,,,
2012-02-13,하천,합천창녕보,덕곡,2012.02.13,3.4,9.7,24.3,,,46.4,0.0,,,,,,,
2012-02-16,하천,합천창녕보,덕곡,2012.02.16,4.9,9.5,20.1,,,74.5,0.0,,,,,,,
2012-02-20,하천,합천창녕보,덕곡,2012.02.20,3.8,9.6,21.3,,,71.5,0.0,,,,,,,
2012-02-23,하천,합천창녕보,덕곡,2012.02.23,8.0,9.8,20.3,,,112.5,0.0,,,,,,,
2012-03-02,하천,합천창녕보,덕곡,2012.03.02,7.3,9.6,18.5,,,92.8,0.0,,,,,,,
2012-03-05,하천,합천창녕보,덕곡,2012.03.05,5.6,9.6,17.6,,,108.0,0.0,,,,,,,
2012-03-08,하천,합천창녕보,덕곡,2012.03.08,7.7,9.4,15.2,,,75.4,0.0,,,,,,,
2012-03-12,하천,합천창녕보,덕곡,2012.03.12,7.0,9.6,19.0,,,129.1,0.0,,,,,,,
2012-03-15,하천,합천창녕보,덕곡,2012.03.15,11.0,9.7,17.3,,,117.4,0.0,,,,,,,
2012-03-19,하천,합천창녕보,덕곡,2012.03.19,10.8,9.8,17.7,,,75.5,0.0,,,,,,,
2012-03-22,하천,합천창녕보,덕곡,2012.03.22,9.6,9.7,13.6,,,56.2,0.0,,,,,,,
2012-03-26,하천,합천창녕보,덕곡,2012.03.26,12.6,9.2,12.6,,,13.9,0.0,,,,,,,
2012-03-29,하천,합천창녕보,덕곡,2012.03.29,13.2,8.8,11.5,,,7.4,0.0,,,,,,,
2012-04-02,하천,합천창녕보,덕곡,2012.04.02,12.7,8.2,10.2,,,8.4,0.0,,,,,,,
2012-04-09,하천,합천창녕보,덕곡,2012.04.09,15.2,8.6,12.8,,,31.3,0.0,,,,,,,
2012-04-16,하천,합천창녕보,덕곡,2012.04.16,18.2,9.1,13.0,,,20.2,0.0,,,,,,,
2012-04-23,하천,합천창녕보,덕곡,2012.04.23,19.5,8.5,10.1,,,15.2,0.0,,,,,,,
