조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2016-01-04,하천,낙동강,해평,2016.01.04,,,,,,,0,0,0,0,0,,,
2016-01-11,하천,낙동강,해평,2016.01.11,,,,,,,0,0,0,0,0,,,
2016-01-18,하천,낙동강,해평,2016.01.18,,,,,,,0,0,0,0,0,,,
2016-01-25,하천,낙동강,해평,2016.01.25,,,,,,,,,,,,,,
2016-02-01,하천,낙동강,해평,2016.02.01,,,,,,,,,,,,,,
2016-02-11,하천,낙동강,해평,2016.02.11,,,,,,,,,,,,,,
2016-02-15,하천,낙동강,해평,2016.02.15,,,,,,,0,0,0,0,0,,,
2016-02-22,하천,낙동강,해평,2016.02.22,,,,,,,0,0,0,0,0,,,
2016-02-29,하천,낙동강,해평,2016.02.29,,,,,,,0,0,0,0,0,,,
2016-03-07,하천,낙동강,해평,2016.03.07,,,,,,,0,0,0,0,0,,,
2016-03-14,하천,낙동강,해평,2016.03.14,,,,,,,0,0,0,0,0,,,
2016-03-21,하천,낙동강,해평,2016.03.21,,,,,,,0,0,0,0,0,,,
2016-03-28,하천,낙동강,해평,2016.03.28,,,,,,,0,0,0,0,0,,,
2016-04-04,하천,낙동강,해평,2016.04.04,12.6,7.9,11.6,1.2,2.7,8.8,0,0,0,0,0,,,
2016-04-11,하천,낙동강,해평,2016.04.11,12.8,8.4,10.6,0.8,5.5,9.9,0,0,0,0,0,,,
2016-04-18,하천,낙동강,해평,2016.04.18,15.1,8,10.8,1.3,3.9,14.6,0,0,0,0,0,,,
2016-04-25,하천,낙동강,해평,2016.04.25,17.5,7.9,10.3,1.1,5.3,16,63,0,0,0,63,,,
2016-05-02,하천,낙동강,해평,2016.05.02,18.7,7.7,10.3,1.1,5.4,14,20,0,0,0,20,,,
2016-05-09,하천,낙동강,해평,2016.05.09,18.5,8.1,9.7,1,4.9,23,44,0,0,0,44,,,
2016-05-16,하천,낙동강,해평,2016.05.16,18.4,8,9.1,1.4,3.9,21.3,93,0,0,0,93,,,
2016-05-23,하천,낙동강,해평,2016.05.23,22.5,8.5,9.3,1,4.6,14.3,64,64,0,0,0,,,
2016-05-30,하천,낙동강,해평,2016.05.30,24.3,8.1,8.8,1.8,2.8,10.2,287,227,43,0,17,,,
2016-06-07,하천,낙동강,해평,2016.06.07,24,7.9,8.2,2.5,3.1,4.1,1287,1213,74,0,0,,,
2016-06-13,하천,낙동강,해평,2016.06.13,25.1,7.9,7.4,1.8,3.9,5.5,198,87,111,0,0,,,
2016-06-20,하천,낙동강,해평,2016.06.20,25.9,8,7.9,2.1,3.6,8.6,651,580,71,0,0,,,
2016-06-27,하천,낙동강,해평,2016.06.27,26,8.2,8.1,1.9,4.6,16.5,998,875,0,0,123,,,
2016-07-04,하천,낙동강,해평,2016.07.04,24,7.7,8.1,0.5,16.1,6,423,423,0,0,0,,,
2016-07-11,하천,낙동강,해평,2016.07.11,25.5,7.4,8.5,0.4,26.7,6.2,72,0,6,0,66,,,
2016-07-18,하천,낙동강,해평,2016.07.18,26.3,8.2,8.8,1.6,3.1,25.6,528,280,178,0,70,,,
2016-07-25,하천,낙동강,해평,2016.07.25,27.4,7.7,7.6,2.2,2.5,8.5,229,69,0,0,160,,,
2016-08-01,하천,낙동강,해평,2016.08.01,29.2,8,7.6,2.2,3.7,10.3,55,55,0,0,0,,,
2016-08-08,하천,낙동강,해평,2016.08.08,29.4,8,6.9,2.4,2.7,17.2,455,455,0,0,0,,,
2016-08-16,하천,낙동강,해평,2016.08.16,30.4,8,6.3,2,4.6,16.2,475,475,0,0,0,,,
2016-08-22,하천,낙동강,해평,2016.08.22,30.6,8.7,7.8,1.4,4.4,29.6,685,685,0,0,0,,,
2016-08-29,하천,낙동강,해평,2016.08.29,26.1,8.5,8,1.4,5.4,27.5,371,336,0,0,35,,,
2016-09-05,하천,낙동강,해평,2016.09.05,24.7,8.6,8.8,1.5,3.7,21.8,199,183,0,0,16,,,
2016-09-12,하천,낙동강,해평,2016.09.12,24.1,7.9,8.2,2.3,2.9,10.2,293,293,0,0,0,,,
2016-09-19,하천,낙동강,해평,2016.09.19,21.7,7.6,8.9,0.5,28,6,191,33,0,109,49,,,
2016-09-26,하천,낙동강,해평,2016.09.26,21.2,7.6,8.7,0.9,8.3,14.3,234,171,0,0,63,,,
2016-10-04,하천,낙동강,해평,2016.10.04,21.8,7.5,8.6,0.5,19.2,6.2,106,89,0,0,17,,,
2016-10-10,하천,낙동강,해평,2016.10.10,19.1,7.6,9.3,1.1,9.1,11.5,30,30,0,0,0,,,
2016-10-17,하천,낙동강,해평,2016.10.17,19.2,7.3,9.8,0.9,7.5,21,143,86,0,0,57,,,
2016-10-24,하천,낙동강,해평,2016.10.24,17.7,7.6,9.6,1,6.2,16.1,19,19,0,0,0,,,
2016-10-31,하천,낙동강,해평,2016.10.31,14.4,8.3,10.5,0.9,7,33.8,143,0,0,0,143,,,
2016-11-07,하천,낙동강,해평,2016.11.07,14.5,8.5,11.2,0.7,7.4,49.6,0,0,0,0,0,,,
2016-11-14,하천,낙동강,해평,2016.11.14,13.3,8.5,12,1.2,4.4,17.6,71,0,0,0,71,,,
2016-11-21,하천,낙동강,해평,2016.11.21,12.4,8.3,11.3,1.6,3.6,10.6,0,0,0,0,0,,,
2016-11-28,하천,낙동강,해평,2016.11.28,9,8.1,11.6,2.4,2.5,8.8,0,0,0,0,0,,,
2016-12-05,하천,낙동강,해평,2016.12.05,8,7.6,11.9,2.1,2.5,8.4,0,0,0,0,0,,,
2016-12-12,하천,낙동강,해평,2016.12.12,6.4,7.7,12.1,2.4,2.1,8,0,0,0,0,0,,,
2016-12-19,하천,낙동강,해평,2016.12.19,5.8,7.9,12,1.8,2.6,9,0,0,0,0,0,,,
2016-12-26,하천,낙동강,해평,2016.12.26,4.9,7.9,13.1,1.9,3.3,5.4,0,0,0,0,0,,,
2017-01-02,하천,낙동강,해평,2017.01.02,4.3,7.8,13.4,1.7,3.3,6.7,0,0,0,0,0,,,
2017-01-09,하천,낙동강,해평,2017.01.09,5.2,7.8,13.1,2,4.5,12.1,0,0,0,0,0,,,
2017-01-16,하천,낙동강,해평,2017.01.16,2.1,8.3,14.6,1.4,4.5,29.2,0,0,0,0,0,,,
2017-01-24,하천,낙동강,해평,2017.01.24,1.5,8.6,15.4,0.8,4.5,23.2,0,0,0,0,0,,,
2017-01-31,하천,낙동강,해평,2017.01.31,,,,,,,,,,,,,,
2017-02-06,하천,낙동강,해평,2017.02.06,3.7,8.6,14.6,0.7,5.1,23.2,0,0,0,0,0,,,
2017-02-13,하천,낙동강,해평,2017.02.13,3.2,8.7,14.9,1.3,4.5,18.9,0,0,0,0,0,,,
2017-02-20,하천,낙동강,해평,2017.02.20,4.9,8.5,14.3,1.3,4.2,15.7,0,0,0,0,0,,,
2017-02-27,하천,낙동강,해평,2017.02.27,5.8,8.6,14,1.1,4.6,14.1,0,0,0,0,0,,,
2017-03-06,하천,낙동강,해평,2017.03.06,6.4,8.6,13.7,1.6,4.1,9.6,0,0,0,0,0,,,
2017-03-13,하천,낙동강,해평,2017.03.13,7.9,8.7,12.9,0.8,3.6,11.1,0,0,0,0,0,,,
2017-03-20,하천,낙동강,해평,2017.03.20,10,8.7,13,0.9,2.8,9.6,0,0,0,0,0,,,
2017-03-27,하천,낙동강,해평,2017.03.27,9.8,8.4,12.5,1.1,4.7,10.3,0,0,0,0,0,,,
2017-04-03,하천,낙동강,해평,2017.04.03,12.1,8.1,11.6,1.8,3.7,10,0,0,0,0,0,,,
2017-04-10,하천,낙동강,해평,2017.04.10,13.5,8.2,11.4,1,3.7,13.8,0,0,0,0,0,,,
2017-04-17,하천,낙동강,해평,2017.04.17,15,8.2,10.3,1.4,3,14.9,0,0,0,0,0,,,
2017-04-24,하천,낙동강,해평,2017.04.24,16.2,8.2,10.4,1.3,3.4,14.6,13,0,13,0,0,,,
2017-05-02,하천,낙동강,해평,2017.05.02,18.8,8.4,10.2,2,3.4,9.8,76,0,76,0,0,,,
2017-05-08,하천,낙동강,해평,2017.05.08,19.4,8.3,9.6,1.8,3,8.6,19,0,19,0,0,,,
2017-05-15,하천,낙동강,해평,2017.05.15,19.2,8.3,9.6,1.9,3.2,17.4,0,0,0,0,0,,,
