 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-05,626,2011,1,1회차,영산강,죽산보(영산강중류),광산,0.0,,12.336,,,,,5.1,,,,,26.7,,8.6,,,,,,,,,12.6,9.498,0.615,474.0,548,,,,,,,4.962,,,4.401,,,,,6.3,0.000,0.612,,21.9,,6261.0,6.0,9.512,6.2,0.771,,
2012-01-04,1298,2012,1,1회차,영산강,죽산보(영산강중류),광산,0.0,,10.403,,,,,4.8,,,,,25.4,,8.0,,,,,,,,,15.0,7.532,0.575,480.0,948,,,,,,,4.442,,,3.004,,,,,7.2,0.000,0.538,,7.9,,3950.0,4.1,7.792,6.6,0.600,,
2013-01-04,2195,2013,1,1회차,영산강,죽산보(영산강중류),광산,0.0,,15.764,,,,,3.1,,,,,4.1,,6.4,,,,,,,,,10.8,6.244,0.124,439.0,280,,,,,,,2.578,,,3.133,,,,,7.1,0.000,0.112,,4.6,,6200.0,3.1,6.424,4.2,0.159,,
2014-01-07,2851,2014,1,1회차,영산강,죽산보(영산강중류),광산,0.0,0.00,12.069,0.0000,0.00000,,,3.3,,0.00000,,,12.0,0.00,6.7,,,0.000,,,,,,14.7,7.748,0.026,429.0,12,,,,,0.0000000,,3.600,,,4.037,,0.00000,,,7.3,0.000,0.007,,6.9,,480.0,6.2,7.827,4.8,0.088,,
2015-01-05,3875,2015,1,1회차,영산강,죽산보(영산강중류),광산,0.0,0.00,24.083,0.0002,0.00067,,,2.3,,0.00002,,,3.3,0.00,4.8,,,0.000,,,,,,12.8,6.027,0.061,445.0,150,,,,,0.0000047,,2.699,,,2.801,,0.00019,,,7.0,0.000,0.047,,4.9,,5400.0,5.3,6.082,4.0,0.080,,
2011-01-11,48526,2011,1,2회차,영산강,죽산보(영산강중류),광산,0.0,,,,,,,5.9,,,,,25.7,,8.0,,,,,,,,,12.7,7.728,0.406,514.0,155,,,,,,,5.774,,,1.863,,,,,7.8,0.000,0.389,,23.1,,5292.0,4.0,9.022,6.3,0.524,,
2012-01-09,48826,2012,1,2회차,영산강,죽산보(영산강중류),광산,0.0,0.00,12.313,,0.00000,,,4.7,,0.00000,,,25.4,0.00,8.4,,,0.000,,,,,,14.3,9.924,0.826,513.0,1100,,,,,0.0000000,,5.014,,,3.432,,0.00000,,,7.9,0.000,0.797,,7.1,,11800.0,5.9,10.901,6.6,0.888,,
2013-01-10,49109,2013,1,2회차,영산강,죽산보(영산강중류),광산,0.0,0.00,12.694,,0.00000,,,3.0,,0.00000,,,4.9,0.00,6.5,,,0.000,,,,,,11.7,7.116,0.094,442.0,24,,,,,0.0000000,,3.473,,,3.610,,0.00000,,,7.3,0.000,0.083,,3.0,,3800.0,3.4,7.325,4.6,0.123,,
2014-01-13,49403,2014,1,2회차,영산강,죽산보(영산강중류),광산,0.0,,10.958,,,,,3.7,,,,,32.6,,6.9,,,,,,,,,12.2,7.975,0.025,492.0,6,,,,,,,3.564,,,4.222,,,,,7.5,0.000,0.003,,6.9,,230.0,5.2,8.551,4.6,0.077,,
2015-01-13,49689,2015,1,2회차,영산강,죽산보(영산강중류),광산,0.0,,19.903,,,,,2.4,,,,,5.5,,4.1,,,,,,,,,11.5,5.404,0.048,380.0,20,,,,,,,2.181,,,2.594,,,,,7.0,0.000,0.037,,9.4,,750.0,4.8,5.434,3.9,0.083,,
2011-01-19,67863,2011,1,3회차,영산강,죽산보(영산강중류),광산,0.0,,15.096,,,,,4.9,,,,,16.9,,8.5,,,,,,,,,12.3,10.475,0.321,541.0,2677,,,,,,,6.866,,,3.515,,,,,7.3,0.000,0.306,,23.0,,16882.0,4.0,10.802,7.0,0.479,,
2012-01-18,67921,2012,1,3회차,영산강,죽산보(영산강중류),광산,0.0,,10.369,,,,,6.7,,,,,66.6,,10.3,,,,,,,,,12.8,11.791,0.697,508.0,6400,,,,,,,6.125,,,3.283,,,,,7.2,0.000,0.493,,15.3,,21100.0,6.1,12.401,7.3,0.844,,
2013-01-15,68295,2013,1,3회차,영산강,죽산보(영산강중류),광산,0.0,,12.528,,,,,3.6,,,,,12.1,,7.2,,,,,,,,,12.2,7.313,0.102,433.0,32,,,,,,,3.612,,,3.331,,,,,6.6,0.000,0.086,,4.5,,1400.0,4.3,7.663,4.7,0.133,,
2014-01-22,68398,2014,1,3회차,영산강,죽산보(영산강중류),광산,0.0,,11.271,,,,,3.9,,,,,28.3,,7.0,,,,,,,,,14.8,8.501,0.029,514.0,18,,,,,,,4.607,,,3.684,,,,,7.7,0.000,0.006,,9.7,,210.0,5.3,8.706,5.4,0.093,,
2015-01-20,68702,2015,1,3회차,영산강,죽산보(영산강중류),광산,0.0,,14.486,,,,,2.0,,,,,7.7,,4.6,,,,,,,,,12.9,6.044,0.041,373.0,8,,,,,,,3.347,,,2.541,,,,,7.0,0.000,0.026,,5.5,,370.0,5.3,6.066,4.4,0.111,,
2011-01-24,85729,2011,1,4회차,영산강,죽산보(영산강중류),광산,0.0,0.00,11.697,,0.00000,,,6.2,,0.00000,,,10.1,0.00,9.1,,,0.000,,,,,,12.5,10.417,0.540,540.0,6681,,,,,0.0000000,,7.420,,,2.962,,0.00000,,,7.3,0.000,0.511,,29.7,,24125.0,5.0,10.78,7.0,0.653,,
2012-01-27,85749,2012,1,4회차,영산강,죽산보(영산강중류),광산,0.0,,13.402,,,,,5.6,,,,,75.5,,11.3,,,,,,,,,15.6,9.43,0.115,461.0,10,,,,,,,3.684,,,4.338,,,,,7.9,0.000,0.057,,14.1,,400.0,4.3,10.239,7.2,0.236,,
2013-01-23,85974,2013,1,4회차,영산강,죽산보(영산강중류),광산,0.0,,25.75,,,,,4.1,,,,,17.3,,8.2,,,,,,,,,10.6,7.282,0.119,398.0,1100,,,,,,,3.977,,,2.483,,,,,7.1,0.000,0.107,,10.4,,13200.0,5.9,7.319,5.6,0.172,,
