 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-26,56,2011,1,1회차,한강,한강잠실,구의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-19,704,2012,1,1회차,한강,한강잠실,구의,,,155.132,,,,,1.5,,,,,18.2,,3.6,,,,,,,,,16.3,2.858,0.011,203.0,55,,,,,,,0.174,,,2.329,,,,,8.3,0.000,0.001,,6.1,,310.0,1.7,2.872,2.0,0.036,,
2013-01-02,2238,2013,1,1회차,한강,한강잠실,구의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,2334,2014,1,1회차,한강,한강잠실,구의,,,163.873,,,,,1.6,,,,,20.6,,3.9,,,,,,,,,15.9,2.695,0.008,226.0,25,,,,,,,0.180,,,2.295,,,,,8.4,정량한계미만,0.001,,4.2,,290.0,1.4,2.77,2.3,0.022,,
2015-01-29,3175,2015,1,1회차,한강,한강잠실,구의,,,111.65,,,,,1.7,,,,,5.3,,3.2,,,,,,,,,15.2,3.036,0.007,252.0,610,,,,,,,0.224,,,2.023,,,,,8.1,정량한계미만,0.001,,2.7,,4500.0,2.8,3.09,2.5,0.021,,
2012-01-27,48577,2012,1,2회차,한강,한강잠실,구의,,,152.962,,,,,1.1,,,,,,,3.9,,,,,,,,,17.1,2.788,0.016,196.0,,,,,,,,0.068,,,2.078,,,,,8.9,,0.002,,3.1,,,1.1,2.875,2.3,0.031,,
2013-01-09,49097,2013,1,2회차,한강,한강잠실,구의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,68235,2013,1,3회차,한강,한강잠실,구의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,85930,2013,1,4회차,한강,한강잠실,구의,,,170.414,,,,,1.1,,,,,8.9,,3.0,,,,,,,,,14.4,2.65,0.014,202.0,250,,,,,,,0.269,,,2.333,,,,,7.8,정량한계미만,0.004,,2.4,,2600.0,0.8,2.681,1.5,0.026,,
2013-01-30,99689,2013,1,5회차,한강,한강잠실,구의,,,177.196,,,,,1.0,,,,,,,4.2,,,,,,,,,15.5,2.647,0.009,205.0,,,,,,,,0.247,,,2.278,,,,,8.0,,0.004,,2.4,,,0.7,2.658,2.0,0.026,,
2011-02-11,4226,2011,2,1회차,한강,한강잠실,구의,,,193.988,,,,,1.4,,,,,,,3.8,,,,,,,,,14.9,2.846,0.011,172.0,,,,,,,,0.240,,,2.181,,,,,8.4,,0.001,,8.7,,,0.0,2.876,2.8,0.040,,
2012-02-03,5276,2012,2,1회차,한강,한강잠실,구의,,,154.797,,,,,2.0,,,,,,,4.5,,,,,,,,,16.3,2.638,0.007,205.0,,,,,,,,0.040,,,2.007,,,,,8.9,,0.005,,5.4,,,0.8,2.76,2.6,0.025,,
2013-02-07,5766,2013,2,1회차,한강,한강잠실,구의,,,337.812,,,,,1.6,,,,,,,3.6,,,,,,,,,14.0,2.694,0.069,169.0,,,,,,,,0.402,,,2.029,,,,,7.8,,0.055,,20.0,,,1.6,2.828,2.7,0.148,,
2014-02-07,6495,2014,2,1회차,한강,한강잠실,구의,,,222.451,,,,,1.8,,,,,,,3.6,,,,,,,,,15.3,2.777,0.006,216.0,,,,,,,,0.241,,,2.225,,,,,8.1,,0.001,,4.6,,,2.1,2.858,2.0,0.019,,
2015-02-12,7211,2015,2,1회차,한강,한강잠실,구의,,,109.209,,,,,2.1,,,,,8.3,,3.9,,,,,,,,,15.8,2.983,0.008,241.0,7,,,,,,,0.176,,,2.064,,,,,8.2,정량한계미만,0.001,,3.8,,35.0,2.1,2.989,3.3,0.021,,
