 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-05,1313,2012,1,1회차,금강,금강공주,금강,,,,,0.00000,,,1.5,,0.00000,,,4.2,,5.9,,,0.000,,,,,,13.9,5.039,0.090,366.0,180,,,,,0.0000000,,1.621,,,2.597,,0.00000,,,7.5,0.000,0.011,,4.8,,1100.0,2.9,5.558,4.9,0.126,,
2013-01-08,2037,2013,1,1회차,금강,금강공주,금강,,0.00,,,0.00000,,,1.0,,0.00000,,,2.0,0.00,4.0,,,0.000,,,,,,15.2,4.097,0.018,321.0,200,,,,,0.0000000,,1.199,,,2.576,,0.00000,,,7.5,0.000,0.010,,4.2,,2000.0,1.9,4.166,3.5,0.035,,
2014-01-06,3126,2014,1,1회차,금강,금강공주,금강,,정량한계미만,,정량한계미만,정량한계미만,,,1.8,,정량한계미만,,,17.2,정량한계미만,5.5,,,정량한계미만,,,,,,13.6,5.157,0.022,464.0,10,,,,,정량한계미만,,1.009,,,10.384,,정량한계미만,,,7.2,정량한계미만,0.011,,4.3,,90.0,4.2,5.396,4.4,0.045,,
2015-01-05,3961,2015,1,1회차,금강,금강공주,금강,,,,,,,,1.0,,,,,3.0,,4.9,,,,,,,,,13.9,3.774,0.016,365.0,100,,,,,,,0.384,,,2.784,,,,,7.5,정량한계미만,0.006,,1.7,,220.0,3.0,3.79,2.9,0.022,,
2012-01-11,48787,2012,1,2회차,금강,금강공주,금강,,,,,,,,1.4,,,,,5.6,,6.3,,,,,,,,,13.7,5.525,0.050,403.0,55,,,,,,,1.825,,,3.087,,,,,8.0,0.000,0.005,,3.0,,1300.0,3.4,6.151,7.0,0.087,,
2013-01-15,49075,2013,1,2회차,금강,금강공주,금강,,,,,,,,1.6,,,,,3.7,,5.2,,,,,,,,,13.5,4.025,0.041,319.0,360,,,,,,,1.014,,,2.283,,,,,7.5,0.000,0.019,,3.4,,5400.0,3.2,4.032,3.4,0.047,,
2014-01-13,49485,2014,1,2회차,금강,금강공주,금강,,,,,,,,1.9,,,,,11.9,,5.3,,,,,,,,,13.0,5.161,0.019,458.0,45,,,,,,,0.916,,,3.745,,,,,8.1,정량한계미만,0.007,,3.1,,630.0,2.6,5.459,4.7,0.045,,
2015-01-12,49772,2015,1,2회차,금강,금강공주,금강,,정량한계미만,,정량한계미만,정량한계미만,,,1.4,,정량한계미만,,,3.9,정량한계미만,5.3,,,정량한계미만,,,,,,14.1,3.538,0.019,396.0,80,,,,,정량한계미만,,0.634,,,2.834,,정량한계미만,,,7.7,정량한계미만,0.011,,2.2,,170.0,4.0,3.559,2.8,0.033,,
2012-01-18,67912,2012,1,3회차,금강,금강공주,금강,,,,,,,,2.6,,,,,8.2,,6.4,,,,,,,,,11.9,5.265,0.068,378.0,32,,,,,,,2.195,,,2.374,,,,,8.2,0.000,0.007,,4.2,,1500.0,4.8,5.832,6.9,0.109,,
2013-01-22,68168,2013,1,3회차,금강,금강공주,금강,,,,,,,,1.5,,,,,6.5,,5.8,,,,,,,,,13.5,3.798,0.037,292.0,320,,,,,,,1.008,,,2.068,,,,,7.6,0.000,0.014,,5.6,,4500.0,4.5,3.829,4.8,0.040,,
