 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-09,1173,2012,1,1회차,낙동강,구미보(낙동구미),낙단,,0.00,,,0.00000,,,0.8,,0.00000,,,2.2,0.00,2.8,,,0.000,,,,,,13.3,2.838,0.028,238.0,10,,,,,0.0000000,,0.070,,,2.542,,0.00000,,,7.5,0.000,0.017,,12.0,,32.0,1.0,2.851,2.2,0.037,,
2013-01-07,2127,2013,1,1회차,낙동강,구미보(낙동구미),낙단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,3077,2014,1,1회차,낙동강,구미보(낙동구미),낙단,,,,,,,,1.0,,,,,25.2,,4.0,,,,,,,,,15.1,2.897,0.016,247.0,1,,,,,,,0.018,,,2.577,,,,,8.2,정량한계미만,정량한계미만,,5.2,,5.0,3.2,3.063,2.3,0.021,,
2015-01-05,3976,2015,1,1회차,낙동강,구미보(낙동구미),낙단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-17,48747,2012,1,2회차,낙동강,구미보(낙동구미),낙단,,,,,,,,0.5,,,,,2.3,,3.0,,,,,,,,,13.0,2.682,0.027,238.0,6,,,,,,,0.076,,,2.437,,,,,7.8,0.000,0.015,,5.1,,11.0,2.1,2.78,2.0,0.035,,
2013-01-14,49121,2013,1,2회차,낙동강,구미보(낙동구미),낙단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,49437,2014,1,2회차,낙동강,구미보(낙동구미),낙단,,정량한계미만,,정량한계미만,정량한계미만,,,1.1,,정량한계미만,,,20.8,정량한계미만,3.9,,,정량한계미만,,,,,,16.0,2.95,0.007,253.0,2,,,,,정량한계미만,,0.013,,,2.623,,정량한계미만,,,8.9,정량한계미만,정량한계미만,,4.8,,7.0,2.5,3.262,2.3,0.018,,
2015-01-12,49779,2015,1,2회차,낙동강,구미보(낙동구미),낙단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,67948,2012,1,3회차,낙동강,구미보(낙동구미),낙단,,,,,,,,0.6,,,,,1.8,,3.3,,,,,,,,,14.1,2.808,0.016,252.0,3,,,,,,,0.146,,,2.468,,,,,8.0,0.000,0.011,,4.8,,7.0,0.5,2.894,2.3,0.025,,
2013-01-21,68256,2013,1,3회차,낙동강,구미보(낙동구미),낙단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
