 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-06,673,2011,1,1회차,낙동강,낙동밀양,남지,,,,,,,,1.3,,,,,13.2,,4.2,,,,,,,,,13.1,3.971,0.058,437.0,0,,,,,,,0.041,,,3.814,,,,,7.4,0.000,0.050,,14.6,,44.0,3.0,5.065,,0.158,,
2012-01-03,1394,2012,1,1회차,낙동강,낙동밀양,남지,,,,,,,,2.6,,,,,52.2,,4.4,,,,,,,,,15.2,3.541,0.069,355.0,2,,,,,,,0.115,,,3.357,,,,,7.4,0.000,0.059,,9.0,,46.0,2.0,3.725,,0.123,,
2013-01-08,2001,2013,1,1회차,낙동강,낙동밀양,남지,,,,,,,,2.1,,,,,16.2,,4.5,,,,,,,,,13.2,3.452,0.012,347.0,8,,,,,,,0.121,,,3.323,,,,,8.0,0.000,0.000,,4.8,,20.0,2.0,3.469,3.1,0.045,,
2014-01-07,2879,2014,1,1회차,낙동강,낙동밀양,남지,,,,,,,,1.6,,,,,13.6,,3.5,,,,,,,,,13.6,3.469,0.016,357.0,0,,,,,,,0.101,,,1.783,,,,,8.7,0.000,0.006,,4.8,,48.0,4.0,3.095,2.4,0.028,,
2015-01-06,3858,2015,1,1회차,낙동강,낙동밀양,남지,,,,,,,,1.1,,,,,5.1,,4.4,,,,,,,,,13.6,3.302,0.007,342.0,4,,,,,,,0.071,,,2.590,,,,,8.6,0.000,0.005,,2.2,,390.0,3.6,3.33,2.2,0.023,,
2011-01-13,48494,2011,1,2회차,낙동강,낙동밀양,남지,,,,,,,,1.1,,,,,11.5,,3.5,,,,,,,,,13.3,4.092,0.049,276.0,0,,,,,,,0.078,,,3.387,,,,,7.4,0.000,0.042,,14.0,,44.0,1.0,3.521,,0.121,,
2012-01-09,48819,2012,1,2회차,낙동강,낙동밀양,남지,,,,,,,,2.3,,,,,50.0,,4.2,,,,,,,,,14.7,3.607,0.057,194.0,4,,,,,,,0.152,,,3.424,,,,,7.8,0.000,0.042,,11.8,,38.0,2.0,4.25,,0.111,,
2013-01-15,49001,2013,1,2회차,낙동강,낙동밀양,남지,,,,,,,,2.3,,,,,9.6,,4.8,,,,,,,,,13.7,3.679,0.010,307.0,2,,,,,,,0.505,,,3.153,,,,,7.7,0.000,0.000,,3.4,,50.0,2.0,3.729,2.4,0.056,,
2014-01-14,49391,2014,1,2회차,낙동강,낙동밀양,남지,,,,,,,,1.8,,,,,13.8,,2.7,,,,,,,,,14.0,3.219,0.000,373.0,2,,,,,,,0.104,,,2.166,,,,,7.9,0.000,0.000,,5.4,,30.0,3.0,3.157,2.0,0.018,,
2015-01-13,49650,2015,1,2회차,낙동강,낙동밀양,남지,,,,,,,,1.3,,,,,6.2,,5.1,,,,,,,,,14.3,3.323,0.010,353.0,0,,,,,,,0.107,,,2.600,,,,,8.6,0.000,0.004,,3.4,,260.0,2.9,3.432,2.3,0.027,,
2011-01-20,67819,2011,1,3회차,낙동강,낙동밀양,남지,,0.00,,,,,,1.9,,,,,7.6,0.00,5.7,,,,,,,,,13.4,3.549,0.050,230.0,0,,,,,,,0.059,,,3.424,,,,,7.3,0.000,0.044,,16.8,,86.0,2.0,3.636,4.3,0.154,,
2012-01-17,67959,2012,1,3회차,낙동강,낙동밀양,남지,,0.00,,,,,,2.9,,,,,63.6,0.00,5.4,,,,,,,,,15.1,3.268,0.040,333.0,0,,,,,,,0.000,,,1.781,,,,,8.2,0.000,0.019,,10.0,,36.0,2.0,3.598,2.0,0.083,,
2013-01-22,68176,2013,1,3회차,낙동강,낙동밀양,남지,,,,,,,,1.5,,,,,15.4,,3.9,,,,,,,,,11.9,3.576,0.013,193.0,14,,,,,,,0.211,,,3.361,,,,,7.5,0.000,0.000,,6.8,,120.0,3.0,3.584,3.3,0.049,,
2014-01-21,68426,2014,1,3회차,낙동강,낙동밀양,남지,,0.00,,0.0000,0.00000,,,1.4,,0.00000,,,14.7,0.00,3.7,,,0.000,,,,,,13.6,3.204,0.020,352.0,0,,,,,0.0000000,,0.069,,,2.148,,0.00000,,,7.1,0.000,0.000,,5.0,,40.0,3.0,3.195,2.4,0.034,,
