 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2012-01-10,1091,2012,1,1회차,낙동강,창녕합천보(낙동고령),덕곡,,0.00,,,0.00000,,,1.4,,0.00000,,,16.0,0.00,5.0,,,0.000,,,,,,16.0,3.91,0.112,380.0,11,,,,,0.0000000,,0.019,,,3.672,,0.00000,,,7.7,0.000,0.089,,12.4,,75.0,1.8,4.201,3.1,0.146,,
2013-01-07,2074,2013,1,1회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,1.2,,,,,2.3,,3.0,,,,,,,,,15.6,3.304,0.034,230.0,0,,,,,,,0.250,,,2.725,,,,,7.8,정량한계미만,0.027,,14.9,,5.0,1.7,3.621,2.1,0.055,,
2014-01-06,3034,2014,1,1회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,2.7,,,,,34.3,,6.5,,,,,,,,,13.9,4.171,0.019,480.0,0,,,,,,,0.034,,,3.523,,,,,8.6,정량한계미만,정량한계미만,,7.0,,4.0,5.8,4.525,4.2,0.048,,
2015-01-05,3926,2015,1,1회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-19,48617,2012,1,2회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,1.8,,,,,57.1,,6.3,,,,,,,,,17.5,4.59,0.126,463.0,1,,,,,,,0.015,,,3.228,,,,,8.8,0.000,0.105,,12.4,,7.0,3.9,5.072,4.1,0.206,,
2013-01-14,49054,2013,1,2회차,낙동강,창녕합천보(낙동고령),덕곡,,정량한계미만,,,정량한계미만,,,0.7,,정량한계미만,,,1.7,정량한계미만,3.2,,,정량한계미만,,,,,,15.3,3.399,0.011,298.0,0,,,,,정량한계미만,,0.067,,,3.154,,정량한계미만,,,8.0,정량한계미만,0.004,,1.7,,0.0,1.7,3.659,2.0,0.021,,
2014-01-13,49460,2014,1,2회차,낙동강,창녕합천보(낙동고령),덕곡,,정량한계미만,,정량한계미만,정량한계미만,,,2.4,,정량한계미만,,,23.3,정량한계미만,5.9,,,정량한계미만,,,,,,13.5,4.011,0.018,472.0,0,,,,,정량한계미만,,0.031,,,3.369,,정량한계미만,,,7.9,정량한계미만,정량한계미만,,5.2,,6.0,3.6,4.418,3.8,0.037,,
2015-01-12,49746,2015,1,2회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,67882,2012,1,3회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,3.0,,,,,77.4,,7.5,,,,,,,,,17.6,4.59,0.144,501.0,1,,,,,,,0.006,,,4.350,,,,,8.8,0.000,0.133,,40.8,,5.0,3.0,5.288,3.8,0.243,,
2013-01-21,68260,2013,1,3회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,68473,2014,1,3회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,68786,2015,1,3회차,낙동강,창녕합천보(낙동고령),덕곡,,정량한계미만,,정량한계미만,정량한계미만,,,1.6,,정량한계미만,,,10.6,정량한계미만,5.7,,,정량한계미만,,,,,,15.7,4.514,0.012,451.0,0,,,,,정량한계미만,,0.101,,,4.152,,정량한계미만,,,8.2,정량한계미만,정량한계미만,,3.6,,2.0,3.1,4.967,4.0,0.031,,
2012-01-30,85759,2012,1,4회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,3.4,,,,,81.7,,8.0,,,,,,,,,16.8,5.018,0.135,549.0,38,,,,,,,0.010,,,4.662,,,,,8.8,0.000,0.130,,21.0,,195.0,2.7,5.495,4.3,0.244,,
2013-01-28,85945,2013,1,4회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,2.3,,,,,20.5,,5.8,,,,,,,,,15.4,3.807,0.009,387.0,1,,,,,,,0.101,,,3.530,,,,,8.2,정량한계미만,0.003,,5.1,,3.0,3.4,4.199,3.6,0.031,,
2014-01-27,86056,2014,1,4회차,낙동강,창녕합천보(낙동고령),덕곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
