 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-05,595,2011,1,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.8,,,,,2.0,,3.0,,,,,,,,,14.9,2.477,0.026,284.0,4,,,,,,,0.178,,,2.170,,,,,7.9,0.000,0.025,,36.3,,13.0,1.0,2.515,1.8,0.062,,
2012-01-10,1156,2012,1,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.9,,,,,1.6,,4.2,,,,,,,,,14.1,3.249,0.013,223.0,17,,,,,,,0.100,,,2.795,,,,,7.8,0.000,0.009,,27.8,,240.0,1.0,3.288,1.7,0.031,,
2013-01-09,1896,2013,1,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.8,,,,,2.0,,2.8,,,,,,,,,15.3,2.57,0.011,227.0,0,,,,,,,0.384,,,2.593,,,,,7.9,0.000,0.006,,1.0,,0.0,2.0,2.653,1.6,0.020,,
2014-01-14,2536,2014,1,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,1.4,,,,,8.5,,2.8,,,,,,,,,14.4,2.907,0.018,229.0,0,,,,,,,0.003,,,2.528,,,,,8.7,0.000,0.003,,3.2,,0.0,1.0,2.957,1.9,0.022,,
2015-01-13,3477,2015,1,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,1.0,,,,,3.8,,4.4,,,,,,,,,15.1,2.824,0.009,248.0,0,,,,,,,0.143,,,2.473,,,,,7.7,0.000,0.008,,2.0,,4.0,3.0,2.861,2.2,0.010,,
2011-02-09,4478,2011,2,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.9,,,,,3.9,,3.4,,,,,,,,,14.8,2.866,0.092,260.0,4,,,,,,,0.172,,,2.418,,,,,8.0,0.000,0.080,,38.5,,100.0,2.0,2.926,1.7,0.107,,
2012-02-08,5028,2012,2,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.8,,,,,5.2,,4.2,,,,,,,,,15.0,2.811,0.022,240.0,130,,,,,,,0.179,,,2.197,,,,,8.3,0.000,0.012,,40.8,,460.0,0.0,2.889,1.6,0.032,,
2013-02-13,5665,2013,2,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,0.8,,,,,2.8,,5.4,,,,,,,,,13.0,2.532,0.030,173.0,2,,,,,,,0.024,,,2.644,,,,,7.4,0.000,0.218,,12.8,,44.0,2.0,2.663,2.6,0.060,,
2014-02-11,6453,2014,2,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,1.3,,,,,10.8,,4.8,,,,,,,,,15.7,2.899,0.016,249.0,0,,,,,,,0.262,,,2.920,,,,,8.7,0.000,0.002,,3.0,,14.0,4.0,3.081,2.2,0.022,,
2015-02-10,7305,2015,2,1회차,낙동강,구미보(낙동구미),산곡,,,,,,,,1.4,,,,,10.2,,5.2,,,,,,,,,13.8,2.514,0.008,240.0,84,,,,,,,0.102,,,2.270,,,,,8.0,0.000,0.007,,3.0,,130.0,4.0,2.523,1.7,0.015,,
2011-03-09,8254,2011,3,1회차,낙동강,구미보(낙동구미),산곡,,0.00,,,0.00000,,0.0000,1.0,0.0000,0.00000,0.000,,6.6,0.00,4.8,,,0.000,,0.0000,0.0000,,,12.8,3.516,0.013,271.0,0,,,,,0.0000000,,0.185,,,3.072,,0.00000,,0.000,8.1,0.000,0.009,,38.0,0.000,110.0,6.0,3.659,2.3,0.018,,
2012-03-15,8786,2012,3,1회차,낙동강,구미보(낙동구미),산곡,,0.00,,,0.00000,,0.0000,1.4,0.0000,0.00000,0.000,,16.5,0.00,4.4,,,0.000,,0.0000,0.0000,,,14.9,1.907,0.006,212.0,3,,,,,0.0000000,,0.063,,,1.669,,0.00000,,0.000,8.6,0.000,0.002,,5.0,0.000,20.0,8.0,1.975,2.5,0.009,,
2013-03-20,9479,2013,3,1회차,낙동강,구미보(낙동구미),산곡,,0.00,,,0.00000,,0.0000,1.8,0.0000,0.00000,0.000,,12.8,0.00,3.6,,,0.000,,0.0000,0.0000,,,10.2,2.309,0.009,222.0,0,,,,,0.0000000,,0.275,,,2.091,,0.00000,,0.000,8.0,0.000,0.001,,6.2,0.000,40.0,10.0,2.361,2.1,0.017,,
2014-03-11,10362,2014,3,1회차,낙동강,구미보(낙동구미),산곡,,0.00,,0.0000,0.00000,,0.0000,1.9,0.0000,0.00000,0.000,,13.0,0.00,4.2,,,0.000,,0.0000,0.0000,,,14.3,2.919,0.002,236.0,0,,,,,0.0000000,,0.069,,,2.593,,0.00000,,0.000,8.7,0.000,0.004,,2.6,0.000,14.0,7.0,2.948,1.9,0.013,,
