 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-06,669,2011,1,1회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.9,,,,,4.3,,4.2,,,,,,,,,7.6,,,365.0,,,,,,,,,,,,,,,,7.8,,,,37.7,,,2.0,,,,,
2012-01-05,1324,2012,1,1회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.7,,,,,1.8,,3.6,,,,,,,,,14.8,3.865,0.063,286.0,,,,,,,,0.133,,,3.203,,,,,7.7,,0.057,,7.0,,,1.0,3.986,,0.079,,
2013-01-04,2182,2013,1,1회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.8,,,,,18.4,,4.4,,,,,,,,,15.8,3.077,0.012,286.0,,,,,,,,0.140,,,2.768,,,,,7.5,,0.001,,4.2,,,2.0,3.165,,0.021,,
2014-01-07,2871,2014,1,1회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.3,,,,,16.0,,3.4,,,,,,,,,17.1,3.215,0.014,337.0,,,,,,,,0.039,,,1.345,,,,,8.7,,0.001,,3.8,,,3.0,3.342,,0.019,,
2015-01-06,3849,2015,1,1회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,2.6,,,,,29.8,,6.2,,,,,,,,,16.1,3.131,0.010,296.0,,,,,,,,0.210,,,2.699,,,,,8.3,,0.006,,4.0,,,3.0,3.16,,0.019,,
2011-01-13,48492,2011,1,2회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.9,,,,,2.4,,3.8,,,,,,,,,15.1,3.476,0.087,401.0,50,,,,,,,0.259,,,3.133,,,,,8.0,0.000,0.061,,34.3,,230.0,1.0,3.707,,0.113,,
2012-01-12,48804,2012,1,2회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.8,,,,,2.4,,3.6,,,,,,,,,12.4,4.487,0.093,312.0,0,,,,,,,0.277,,,3.471,,,,,7.9,0.000,0.069,,5.0,,500.0,0.0,4.556,2.2,0.106,,
2013-01-10,49104,2013,1,2회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.8,,,,,30.4,,5.0,,,,,,,,,16.5,2.884,0.010,295.0,2,,,,,,,0.391,,,2.838,,,,,8.4,0.000,0.001,,6.0,,14.0,2.0,3.003,2.2,0.031,,
2014-01-14,49428,2014,1,2회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,2.2,,,,,27.2,,4.6,,,,,,,,,14.4,3.489,0.021,343.0,0,,,,,,,0.298,,,2.913,,,,,8.9,0.000,0.003,,6.4,,0.0,3.0,3.617,2.6,0.034,,
2015-01-13,49724,2015,1,2회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.7,,,,,21.7,,5.4,,,,,,,,,15.3,3.275,0.007,314.0,0,,,,,,,0.231,,,2.763,,,,,8.1,0.000,0.006,,6.0,,4.0,3.0,3.316,2.5,0.011,,
2011-01-20,67816,2011,1,3회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.9,,,,,3.7,,3.8,,,,,,,,,19.1,,,355.0,,,,,,,,,,,,,,,,7.4,,,,30.5,,,2.0,,,,,
2012-01-19,67934,2012,1,3회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.7,,,,,2.8,,4.2,,,,,,,,,13.9,4.101,0.095,344.0,,,,,,,,0.242,,,3.381,,,,,8.0,,0.067,,4.2,,,3.0,4.241,,0.111,,
2013-01-17,68242,2013,1,3회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,2.3,,,,,19.2,,5.4,,,,,,,,,15.9,3.065,0.011,310.0,,,,,,,,0.308,,,2.966,,,,,8.1,,0.004,,5.2,,,3.0,3.172,,0.016,,
2014-01-21,68508,2014,1,3회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,2.5,,,,,21.3,,4.4,,,,,,,,,15.1,3.075,0.021,341.0,,,,,,,,0.044,,,3.131,,,,,8.8,,0.020,,5.8,,,4.0,3.206,,0.026,,
2015-01-20,68752,2015,1,3회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.7,,,,,16.7,,5.2,,,,,,,,,14.3,4.127,0.010,326.0,,,,,,,,0.257,,,2.808,,,,,8.0,,0.009,,4.0,,,3.0,4.381,,0.012,,
2011-01-27,85705,2011,1,4회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.0,,,,,8.7,,4.6,,,,,,,,,14.9,,,250.0,,,,,,,,,,,,,,,,7.8,,,,24.7,,,1.0,,,,,
2012-01-26,85795,2012,1,4회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,0.7,,,,,3.5,,3.8,,,,,,,,,14.5,3.72,0.076,350.0,,,,,,,,0.190,,,3.120,,,,,8.1,,0.057,,4.2,,,3.0,3.857,,0.085,,
2013-01-24,85915,2013,1,4회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,1.2,,,,,10.7,,4.0,,,,,,,,,14.6,3.265,0.018,305.0,,,,,,,,0.298,,,2.914,,,,,7.7,,0.001,,3.2,,,1.0,3.301,,0.025,,
2014-01-28,86081,2014,1,4회차,낙동강,강정고령보(낙동왜관),성주,,,,,,,,2.7,,,,,27.0,,4.4,,,,,,,,,12.2,3.432,0.031,349.0,,,,,,,,0.029,,,2.953,,,,,8.8,,0.005,,6.6,,,4.0,3.583,,0.049,,
