 채수 일자,No,연도,월,조사회차,수계명,중권역명,측정소명,수심,음이온계면활성제,유량,안티몬,비소,바륨,벤젠,생물화학적산소요구량,사염화탄소,카드뮴,클로로포름,염소이온,클로로필,시안,화학적산소요구량,색도,크롬,가크롬,구리,다이클로로에탄,다이클로로메탄,다이에틸헥실프탈레이트,다이옥세인,용존산소,용존총질소,용존총인,전기전도도,분원성대장균군,용해성철,불소,헥사클로로벤젠,포름알데히드,수은,용해성망간,암모니아성질소,노말헥산추출물질,니켈,질산성질소,유기인,납,폴리클로리네이티드비페닐,테트라클로로에틸렌,수소이온농도,페놀류,인산염인,셀레늄,부유물질,트리클로로에틸렌,총대장균군,수온,총질소,총유기탄소,총인,투명도,아연
2011-01-05,7,2011,1,1회차,한강,남한강하류,팔당댐3,,,,,,,,0.5,,,,0.0,1.8,,2.2,,,,,,,0,,13.6,3.03,0.023,246.0,0,,,,,,,0.161,,,2.424,,,,,7.9,0.000,0.018,,2.6,,32.0,1.0,3.087,1.6,0.033,,
2011-02-16,482,2011,2,1회차,한강,남한강하류,팔당댐3,,,,,,,,1.1,,,,0.0,11.0,,3.7,,,,,,,0,,13.8,2.724,0.026,230.0,0,,,,,,,0.195,,,2.305,,,,,8.0,0.000,0.003,,4.8,,3.0,2.0,2.813,2.0,0.035,,
2011-03-02,846,2011,3,1회차,한강,남한강하류,팔당댐3,0.0,0.00,,,0.00000,,,2.4,,0.00000,,0.0,40.8,0.00,8.0,,,0.000,,,,0,,12.8,2.705,0.019,234.0,74,,,,,0.0000000,,0.137,,,2.300,,0.00000,,,8.0,0.000,0.006,,109.2,,990.0,6.0,2.987,2.5,0.161,,
2011-04-06,1453,2011,4,1회차 상층부,한강,남한강하류,팔당댐3,0.0,0.00,,,,,,3.8,,,,0.0,31.6,,6.1,,,,,,,0,,17.0,2.694,0.015,247.0,0,,,,,,,0.018,,,2.052,,,,,9.3,0.000,0.003,,10.6,,4.0,12.0,2.82,4.6,0.044,0.7,
2011-04-06,1582,2011,4,1회차 중층부,한강,남한강하류,팔당댐3,4.0,0.00,,,,,,3.4,,,,0.0,40.1,,5.7,,,,,,,0,,16.8,2.662,0.013,247.0,0,,,,,,,0.020,,,2.053,,,,,9.3,,0.002,,11.0,,4.0,11.0,2.79,4.2,0.042,,
2011-04-06,1705,2011,4,1회차 하층부,한강,남한강하류,팔당댐3,8.0,0.00,,,,,,3.5,,,,0.0,42.0,,5.2,,,,,,,0,,14.5,2.596,0.012,250.0,0,,,,,,,0.023,,,2.062,,,,,8.9,,0.001,,11.0,,8.0,10.0,2.847,4.3,0.041,,
2011-05-18,1972,2011,5,1회차 상층부,한강,남한강하류,팔당댐3,0.0,,,,,,,0.5,,,,0.0,1.6,,2.5,,,,,,,0,,11.3,2.787,0.022,218.0,36,,,,,,,0.039,,,2.448,,,,,7.8,0.000,0.017,,8.8,,510.0,14.0,2.84,1.5,0.041,0.8,
2011-05-18,2098,2011,5,1회차 중층부,한강,남한강하류,팔당댐3,4.0,,,,,,,0.5,,,,0.0,2.2,,2.7,,,,,,,0,,11.3,2.792,0.022,218.0,48,,,,,,,0.040,,,2.440,,,,,7.8,,0.018,,10.8,,740.0,13.0,2.843,1.5,0.043,,
2011-05-18,2219,2011,5,1회차 하층부,한강,남한강하류,팔당댐3,8.0,,,,,,,0.4,,,,0.0,2.1,,2.6,,,,,,,0,,11.3,2.819,0.022,217.0,59,,,,,,,0.038,,,2.482,,,,,7.8,,0.016,,10.6,,1100.0,13.0,2.88,1.5,0.042,,
2011-06-08,2410,2011,6,1회차 상층부,한강,남한강하류,팔당댐3,0.0,0.00,,,0.00000,,,0.9,,0.00000,,0.0,5.0,0.00,2.9,,,0.000,,,,0,,11.0,3.409,0.022,206.0,6,,,,,0.0000000,,0.033,,,2.661,,0.00000,,,8.0,0.000,0.015,,6.0,,9.0,18.0,3.51,1.7,0.037,1.0,
2011-06-08,2539,2011,6,1회차 중층부,한강,남한강하류,팔당댐3,4.0,0.00,,,0.00000,,,0.9,,0.00000,,0.0,5.3,0.00,3.0,,,0.000,,,,0,,11.0,3.463,0.021,205.0,13,,,,,0.0000000,,0.032,,,2.696,,0.00000,,,8.0,,0.015,,6.7,,45.0,16.0,3.482,1.7,0.040,,
2011-06-08,2660,2011,6,1회차 하층부,한강,남한강하류,팔당댐3,8.0,0.00,,,0.00000,,,1.0,,0.00000,,0.0,5.6,0.00,3.2,,,0.000,,,,0,,10.8,3.491,0.021,204.0,13,,,,,0.0000000,,0.033,,,2.674,,0.00000,,,8.0,,0.016,,7.6,,54.0,16.0,3.518,1.7,0.043,,
2011-07-06,2899,2011,7,1회차 상층부,한강,남한강하류,팔당댐3,0.0,,,,,,,0.8,,,,0.0,3.8,,4.9,,,,,,,0,,10.9,2.629,0.035,170.0,2100,,,,,,,0.036,,,2.321,,,,,7.4,,0.033,,105.6,,7000.0,18.2,2.748,3.9,0.150,0.1,
2011-07-06,3030,2011,7,1회차 중층부,한강,남한강하류,팔당댐3,4.0,,,,,,,0.9,,,,0.0,5.1,,4.8,,,,,,,0,,11.0,2.601,0.041,170.0,2100,,,,,,,0.028,,,2.345,,,,,7.5,,0.030,,131.5,,8300.0,18.2,2.786,4.2,0.167,,
2011-07-06,3151,2011,7,1회차 하층부,한강,남한강하류,팔당댐3,8.0,,,,,,,0.9,,,,0.0,8.1,,6.5,,,,,,,0,,10.9,2.623,0.044,170.0,3600,,,,,,,0.036,,,2.301,,,,,7.6,,0.034,,165.3,,9300.0,18.2,2.776,5.5,0.169,,
2011-07-13,3204,2011,7,2회차 상층부,한강,남한강하류,팔당댐3,0.0,,,,,,,0.7,,,,0.0,4.4,,4.4,,,,,,,0,,10.4,2.252,0.055,132.0,2600,,,,,,,0.021,,,1.937,0.0000,,0.0000,,7.2,0.000,0.053,,64.4,,13000.0,18.6,2.384,3.0,0.151,0.2,
2011-07-13,3213,2011,7,2회차 중층부,한강,남한강하류,팔당댐3,4.0,,,,,,,0.6,,,,0.0,4.4,,3.8,,,,,,,0,,10.5,2.266,0.053,132.0,1700,,,,,,,0.024,,,1.931,,,,,7.4,,0.051,,63.6,,22000.0,18.6,2.367,3.7,0.151,,
2011-07-13,3222,2011,7,2회차 하층부,한강,남한강하류,팔당댐3,8.0,,,,,,,0.5,,,,0.0,4.4,,4.3,,,,,,,0,,10.4,2.263,0.053,132.0,1400,,,,,,,0.023,,,1.954,,,,,7.5,,0.051,,67.2,,23000.0,18.5,2.338,2.9,0.153,,
2011-07-20,3231,2011,7,3회차 상층부,한강,남한강하류,팔당댐3,0.0,,,,,,,0.7,,,,0.0,4.2,,2.2,,,,,,,0,,9.9,2.416,0.042,154.0,1200,,,,,,,0.019,,,2.259,,,,,7.6,,0.040,,16.0,,2500.0,22.1,2.489,1.9,0.085,0.4,
2011-07-20,3240,2011,7,3회차 중층부,한강,남한강하류,팔당댐3,4.0,,,,,,,0.7,,,,0.0,4.0,,3.0,,,,,,,0,,9.9,2.457,0.039,155.0,1300,,,,,,,0.021,,,2.298,,,,,7.6,,0.036,,17.8,,3100.0,21.3,2.492,1.9,0.088,,
2011-07-20,3249,2011,7,3회차 하층부,한강,남한강하류,팔당댐3,8.0,,,,,,,0.7,,,,0.0,3.7,,3.2,,,,,,,0,,9.8,2.394,0.037,155.0,990,,,,,,,0.019,,,2.267,,,,,7.6,,0.035,,17.8,,2500.0,21.3,2.431,1.9,0.086,,
