,평균기온,최저기온,최고기온,일강수량,최대풍속,평균풍속,수위_DAY,유량_DAY,수온,용존산소,총유기탄소,클로로필,보방류량_DAY,보유입량_DAY,보저수량_DAY,보저수위_DAY,수온_WEK,pH_WEK,DO_WEK,투명도_WEK,탁도_WEK,Chl-a _WEK,유해남조류세포수
2012-01-01,,,,,,,2.3,486.1,,,,,0.0,0.0,449.88,15.26,,,,,,,
2012-01-02,,,,,,,2.27,469.44,,,,,0.0,0.0,0.0,15.36,,,,,,,
2012-01-03,,,,,,,2.28,474.46,,,,,0.0,,545.05,15.41,,,,,,,
2012-01-04,,,,,,,2.51,629.26,,,,,0.0,471.18,585.76,15.47,,,,,,,
2012-01-05,,,,,,,2.31,492.51,,,,,0.0,0.0,437.19,15.24,,,,,,,
2012-01-06,,,,,,,2.2,427.65,,,,,0.0,293.75,462.57,15.28,,,,,,,
2012-01-07,,,,,,,2.33,507.91,,,,,0.0,367.13,494.29,15.33,,,,,,,
2012-01-08,,,,,,,2.27,465.74,,,,,0.0,0.0,449.88,15.26,,,,,,,
2012-01-09,,,,,,,2.21,429.4,,,,,0.0,0.0,424.5,15.22,,,,,,,
2012-01-10,,,,,,,2.21,433.64,,,,,0.0,514.01,468.91,15.29,,,,,,,
2012-01-11,,,,,,,2.32,503.01,,,,,0.0,660.88,526.01,15.38,,,,,,,
2012-01-12,,,,,,,2.38,536.98,,,,,0.0,293.75,551.39,15.42,,,,,,,
2012-01-13,,,,,,,2.37,534.38,,,,,0.0,0.0,545.05,15.41,,,,,,,
2012-01-14,,,,,,,2.4,550.53,,,,,0.0,0.0,545.05,15.41,,,,,,,
2012-01-15,,,,,,,2.34,511.21,,,,,0.0,0.0,468.91,15.29,,,,,,,
2012-01-16,,,,,,,2.28,479.43,,,,,0.0,,578.89,15.46,,,,,,,
2012-01-17,,,,,,,2.44,578.38,,,,,0.0,0.0,578.89,15.46,,,,,,,
2012-01-18,,,,,,,2.41,557.47,,,,,0.0,0.0,558.26,15.43,,,,,,,
2012-01-19,,,,,,,2.39,546.48,,,,,0.0,159.14,572.01,15.45,,,,,,,
2012-01-20,,,,,,,2.44,579.66,,,,,0.0,716.09,633.88,15.54,,,,,,,
2012-01-21,,,,,,,2.57,668.54,,,,,0.0,557.06,682.01,15.61,,,,,,,
2012-01-22,,,,,,,2.66,734.43,,,,,0.0,0.0,675.13,15.6,,,,,,,
2012-01-23,,,,,,,2.55,653.65,,,,,0.0,0.0,633.88,15.54,,,,,,,
2012-01-24,,,,,,,2.53,640.76,,,,,0.0,159.14,647.63,15.56,,,,,,,
2012-01-25,,,,,,,2.65,723.96,,,,,0.0,,769.91,15.73,,,,,,,
2012-01-26,,,,,,,2.56,659.66,,,,,0.0,0.0,633.88,15.54,,,,,,,
2012-01-27,,,,,,,2.46,594.93,,,,,0.0,0.0,599.51,15.49,,,,,,,
2012-01-28,,,,,,,2.48,605.53,,,,,0.0,477.43,640.76,15.55,,,,,,,
2012-01-29,,,,,,,2.62,706.13,,,,,0.0,642.25,696.25,15.63,,,,,,,
2012-01-30,,,,,,,2.66,736.83,,,,,0.0,767.36,762.55,15.72,,,,,,,
2012-01-31,,,,,,,2.59,679.66,,,,,0.0,0.0,682.01,15.61,,,,,,,
2012-02-01,,,,,,,2.58,677.79,,,,,0.0,335.3,710.98,15.65,,,,,,,
2012-02-02,,,,,,,2.73,784.34,,,,,0.0,,814.11,15.79,,,,,,,
2012-02-03,,,,,,,2.82,851.29,,,,,0.0,346.41,844.04,15.83,,,,,,,
2012-02-04,,,,,,,2.82,851.19,,,,,0.0,724.77,906.66,15.91,,,,,,,
2012-02-05,,,,,,,2.97,969.94,,,,,0.0,996.64,992.77,16.02,,,,,,,
2012-02-06,,,,,,,3.0,989.87,,,,,0.0,0.0,977.11,16.0,,,,,,,
2012-02-07,,,,,,,3.24,1201.47,,,,,0.0,,,16.43,,,,,,,
2012-02-08,,,,,,,3.21,1167.48,,,,,0.0,0.0,,16.1,,,,,,,
2012-02-09,,,,,,,2.99,985.9,,,,,0.0,0.0,891.01,15.89,,,,,,,
2012-02-10,,,,,,,2.76,808.09,,,,,0.0,0.0,47.9,15.61,,,,,,,
2012-02-11,,,,,,,2.65,724.94,,,,,0.0,20.67,49.68,15.8,,,,,,,
2012-02-12,,,,,,,2.77,814.42,,,,,0.0,0.0,49.4,15.77,,,,,,,
2012-02-13,,,,,,,2.82,851.87,,,,,0.0,27.89,51.81,16.02,,,,,,,
2012-02-14,,,,,,,3.19,1150.44,,,,,0.0,35.59,54.89,16.31,,,,,,,
2012-02-15,,,,,,,3.36,1298.05,,,,,0.0,3.8,55.22,16.34,,,,,,,
2012-02-16,,,,,,,3.3,1246.81,,,,,0.0,18.95,56.85,16.49,,,,,,,
2012-02-17,,,,,,,3.43,1361.68,,,,,0.0,0.0,55.76,16.39,,,,,,,
2012-02-18,,,,,,,3.45,1380.76,,,,,0.0,17.69,57.29,16.53,,,,,,,
2012-02-19,,,,,,,3.54,1462.35,,,,,0.0,7.58,57.94,16.59,,,,,,,
2012-02-20,,,,,,,3.58,1491.84,,,,,0.0,0.0,0.0,16.6,,,,,,,
2012-02-21,,,,,,,3.58,1494.48,,,,,0.0,669.38,57.83,16.58,,,,,,,
2012-02-22,,,,,,,3.54,1458.19,,,,,0.0,0.0,57.4,16.54,,,,,,,
2012-02-23,,,,,,,3.52,1437.78,,,,,0.0,0.0,57.18,16.52,,,,,,,
2012-02-24,,,,,,,3.53,1447.99,,,,,0.0,7.58,57.83,16.58,,,,,,,
2012-02-25,,,,,,,3.58,1492.59,,,,,0.0,3.8,58.16,16.61,,,,,,,
2012-02-26,,,,,,,3.59,1504.31,,,,,0.0,0.0,58.16,16.61,,,,,,,
2012-02-27,,,,,,,3.59,1506.58,,,,,0.0,0.0,58.16,16.61,,,,,,,
2012-02-28,,,,,,,3.6,1512.1,,,,,0.0,3.79,58.49,16.64,,,,,,,
2012-02-29,,,,,,,3.59,1507.43,,,,,0.0,0.0,58.05,16.6,,,,,,,
2012-03-01,,,,,,,3.58,1493.73,,,,,0.0,2.54,58.27,16.62,,,,,,,
2012-03-02,,,,,,,3.51,1435.2,,,,,0.0,0.0,56.85,16.49,,,,,,,
2012-03-03,,,,,,,3.48,1401.87,,,,,0.0,0.0,56.85,16.49,,,,,,,
2012-03-04,,,,,,,3.5,1425.69,,,,,0.0,7.58,57.51,16.55,,,,,,,
2012-03-05,,,,,,,3.56,1477.85,,,,,0.0,7.58,58.16,16.61,,,,,,,
2012-03-06,,,,,,,3.66,1569.7,,,,,0.0,0.0,0.0,16.8,,,,,,,
2012-03-07,,,,,,,3.97,1867.82,,,,,0.0,742.12,64.12,17.15,,,,,,,
2012-03-08,,,,,,,4.32,2222.82,,,,,0.0,45.23,68.03,17.49,,,,,,,
2012-03-09,,,,,,,4.64,2572.14,,,,,0.0,42.57,71.71,17.81,,,,,,,
2012-03-10,,,,,,,4.97,2943.67,,,,,0.0,53.37,76.32,18.2,,,,,,,
2012-03-11,,,,,,,5.48,3469.88,,,,,0.0,85.39,83.69,18.8,,,,,,,
2012-03-12,,,,,,,5.95,3971.13,,,,,0.0,31.31,86.4,19.02,,,,,,,
2012-03-13,,,,,,,5.97,3993.43,,,,,0.0,0.0,85.66,18.96,,,,,,,
2012-03-14,,,,,,,6.15,4200.4,,,,,0.0,134.02,97.24,19.36,,,,,,,
2012-03-15,,,,,,,6.39,4475.51,,,,,0.0,42.15,100.88,19.47,,,,,,,
2012-03-16,,,,,,,6.47,4569.14,,,,,0.0,11.51,101.88,19.5,,,,,,,
2012-03-17,,,,,,,6.46,4554.85,,,,,0.0,0.0,100.55,19.46,,,,,,,
2012-03-18,,,,,,,6.44,4526.26,,,,,0.0,0.0,100.22,19.45,,,,,,,
2012-03-19,,,,,,,6.42,4507.53,,,,,0.0,0.0,99.56,19.43,,,,,,,
2012-03-20,,,,,,,6.42,4501.61,,,,,0.0,0.0,99.56,19.43,,,,,,,
2012-03-21,,,,,,,6.42,4503.09,,,,,0.0,3.83,99.89,19.44,,,,,,,
2012-03-22,,,,,,,6.42,4508.51,,,,,0.0,3.83,100.22,19.45,,,,,,,
2012-03-23,,,,,,,6.43,4517.38,,,,,0.0,0.0,99.89,19.44,,,,,,,
2012-03-24,,,,,,,6.39,4471.95,,,,,0.0,0.0,97.9,19.38,,,,,,,
2012-03-25,,,,,,,6.33,4396.19,,,,,0.0,0.0,95.59,19.31,,,,,,,
2012-03-26,,,,,,,6.27,4328.28,,,,,0.0,0.0,93.93,19.26,,,,,,,
2012-03-27,,,,,,,6.22,4275.31,,,,,0.0,7.66,94.59,19.28,,,,,,,
2012-03-28,,,,,,,6.31,4381.74,,,,,0.0,0.0,94.59,19.28,,,,,,,
2012-03-29,,,,,,,6.25,4311.42,,,,,0.0,26.83,96.91,19.35,,,,,,,
2012-03-30,,,,,,,6.51,4612.33,,,,,0.0,75.12,103.4,19.57,,,,,,,
2012-03-31,,,,,,,6.57,4684.48,,,,,0.0,0.76,103.47,19.58,,,,,,,
2012-04-01,,,,,,,6.49,4594.85,,,,,0.0,2.3,103.66,19.61,,,,,,,
2012-04-02,,,,,,,6.49,4587.41,,,,,0.0,0.0,99.23,19.42,,,,,,,
2012-04-03,,,,,,,6.38,4457.85,,,,,0.0,0.0,97.24,19.36,,,,,,,
2012-04-04,,,,,,,6.4,4478.38,,,,,0.0,68.98,103.2,19.54,,,,,,,
2012-04-05,,,,,,,6.38,4464.12,,,,,0.0,0.0,96.25,19.33,,,,,,,
2012-04-06,,,,,,,6.52,4622.43,,,,,0.0,85.07,103.6,19.6,,,,,,,
2012-04-07,,,,,,,6.55,4663.28,,,,,0.0,0.0,103.53,19.59,,,,,,,
2012-04-08,,,,,,,6.51,4611.56,,,,,0.0,0.0,99.56,19.43,,,,,,,
2012-04-09,,,,,,,6.46,4555.34,,,,,0.0,7.66,100.22,19.45,,,,,,,
2012-04-10,,,,,,,6.41,4497.86,,,,,0.0,15.34,101.55,19.49,,,,,,,
2012-04-11,,,,,,,6.5,4596.74,,,,,0.0,11.49,102.54,19.52,,,,,,,
2012-04-12,,,,,,,6.46,4554.35,,,,,0.0,0.0,99.23,19.42,,,,,,,
2012-04-13,,,,,,,6.37,4443.39,,,,,0.0,0.0,97.24,19.36,,,,,,,
2012-04-14,,,,,,,6.4,4482.76,,,,,0.0,69.75,103.27,19.55,,,,,,,
2012-04-15,,,,,,,6.53,4631.24,,,,,0.0,0.0,103.27,19.55,,,,,,,
2012-04-16,,,,,,,6.52,4624.34,,,,,0.0,0.0,102.87,19.53,,,,,,,
2012-04-17,,,,,,,6.5,4602.16,,,,,0.0,0.0,102.54,19.52,,,,,,,
2012-04-18,,,,,,,6.51,4609.06,,,,,0.0,0.0,101.21,19.48,,,,,,,
2012-04-19,,,,,,,6.47,4566.67,,,,,0.0,19.17,102.87,19.53,,,,,,,
2012-04-20,,,,,,,6.5,4603.15,,,,,0.0,0.0,101.21,19.48,,,,,,,
2012-04-21,,,,,,,6.48,4580.97,,,,,0.0,23.76,103.27,19.55,,,,,,,
2012-04-22,,,,,,,6.51,4613.0,,,,,0.0,0.0,102.21,19.51,,,,,,,
2012-04-23,,,,,,,6.55,4659.22,,,,,0.0,0.0,100.88,19.47,,,,,,,
2012-04-24,,,,,,,6.48,4572.1,,,,,0.0,29.13,103.4,19.57,,,,,,,
2012-04-25,,,,,,,6.52,4624.35,,,,,0.0,0.0,99.89,19.44,,,,,,,
2012-04-26,,,,,,,6.52,4623.35,,,,,0.0,30.66,102.54,19.52,,,,,,,
2012-04-27,,,,,,,6.56,4667.22,,,,,0.0,11.49,103.53,19.55,,,,,,,
2012-04-28,,,,,,,6.51,4609.55,,,,,0.0,0.0,103.53,19.55,,,,,,,
2012-04-29,,,,,,,6.51,4611.53,,,,,0.0,0.0,103.33,19.52,,,,,,,
2012-04-30,,,,,,,6.46,4552.38,,,,,0.0,0.0,103.2,19.5,,,,,,,
2012-05-01,,,,,,,6.49,4591.32,,,,,0.0,0.0,103.2,19.5,,,,,,,
2012-05-02,,,,,,,6.49,4592.3,,,,,0.0,0.0,101.55,19.45,,,,,,,
2012-05-03,,,,,,,6.46,4554.84,,,,,0.0,22.22,103.47,19.54,,,,,,,
