,평균기온,최저기온,최고기온,일강수량,최대풍속,평균풍속,수위_DAY,유량_DAY,수온,용존산소,총유기탄소,클로로필,보방류량_DAY,보유입량_DAY,보저수량_DAY,보저수위_DAY,수온_WEK,pH_WEK,DO_WEK,투명도_WEK,탁도_WEK,Chl-a _WEK,유해남조류세포수
2012-01-01,-0.9,-5.9,6.7,0.3,8.1,1.8,1.39,160.24,,,,,0.0,0.0,0.0,3.15,2.4,8.8,16.0,,,58.6,
2012-01-02,-2.8,-9.3,5.8,0.0,2.3,0.7,1.36,156.37,,,,,0.0,0.0,0.0,3.15,2.4,8.8,16.0,,,58.6,
2012-01-03,-1.0,-7.8,4.7,0.0,6.5,1.6,1.32,141.27,,,,,0.0,0.0,0.0,3.32,2.4,8.8,16.0,,,58.6,
2012-01-04,-1.7,-7.3,3.4,0.0,6.7,3.5,1.13,61.85,,,,,0.0,0.0,0.0,3.25,2.4,8.8,16.0,,,58.6,
2012-01-05,-4.5,-10.8,4.8,0.0,2.6,0.8,1.18,87.11,,,,,0.0,0.0,0.0,3.24,2.4,8.8,16.0,,,58.6,0.0
2012-01-06,-3.4,-9.9,6.2,0.0,2.6,0.7,1.23,106.31,,,,,0.0,0.0,0.0,3.28,2.52,8.8,16.4,,,57.08,
2012-01-07,-3.3,-10.3,6.3,0.0,2.0,0.6,1.21,120.45,,,,,0.0,0.0,0.0,3.33,2.64,8.8,16.8,,,55.56,
2012-01-08,-2.1,-10.0,7.3,0.0,2.2,0.6,1.23,113.25,,,,,0.0,0.0,0.0,3.43,2.76,8.8,17.2,,,54.04,
2012-01-09,-1.5,-7.8,7.3,0.0,4.1,0.9,1.36,71.64,,,,,0.0,0.0,0.0,3.35,2.88,8.8,17.6,,,52.52,
2012-01-10,0.1,-7.0,8.2,0.0,7.0,1.5,1.18,124.67,,,,,0.0,0.0,0.0,3.24,3.0,8.8,18.0,,,51.0,0.0
2012-01-11,-1.3,-9.4,4.3,0.0,7.1,2.4,1.18,129.98,,,,,0.0,0.0,0.0,3.3,2.8333333333333335,8.850000000000001,18.183333333333334,,,59.016666666666666,
2012-01-12,-4.0,-12.7,4.5,0.0,4.9,1.1,1.14,206.61,,,,,0.0,0.0,0.0,3.25,2.6666666666666665,8.9,18.366666666666667,,,67.03333333333333,
2012-01-13,0.1,-7.4,8.0,0.0,9.2,1.8,1.24,53.67,,,,,0.0,0.0,0.0,3.33,2.5,8.95,18.55,,,75.05,
2012-01-14,-0.8,-6.7,7.2,0.0,4.5,1.2,1.26,144.66,,,,,0.0,0.0,0.0,3.32,2.3333333333333335,9.0,18.733333333333334,,,83.06666666666666,
2012-01-15,-0.3,-4.9,5.7,0.0,3.6,0.7,1.27,169.69,,,,,0.0,0.0,0.0,3.36,2.166666666666667,9.05,18.916666666666668,,,91.08333333333333,
2012-01-16,2.2,-2.3,7.6,0.5,3.4,0.9,1.29,129.94,,,,,0.0,0.0,0.0,3.28,2.0,9.1,19.1,,,99.1,0.0
2012-01-17,4.6,-0.4,11.3,0.2,1.6,0.4,1.15,171.56,,,,,0.0,0.0,0.0,3.32,2.433333333333333,9.033333333333333,19.133333333333333,,,92.76666666666667,
2012-01-18,4.9,1.6,8.6,1.5,3.4,0.7,1.32,170.37,,,,,0.0,0.0,0.0,3.43,2.8666666666666667,8.966666666666667,19.166666666666668,,,86.43333333333332,
2012-01-19,6.6,4.5,8.1,3.0,5.1,1.9,1.35,109.56,,,,,0.0,0.0,0.0,3.35,3.3,8.9,19.2,,,80.1,0.0
2012-01-20,8.3,5.7,11.0,0.0,6.8,3.6,1.21,68.22,,,,,0.0,0.0,0.0,3.38,3.25,8.966666666666667,18.966666666666665,,,85.11666666666666,
