,평균기온,최저기온,최고기온,일강수량,최대풍속,평균풍속,수위_DAY,유량_DAY,수온,용존산소,총유기탄소,클로로필,보방류량_DAY,보유입량_DAY,보저수량_DAY,보저수위_DAY,수온_WEK,pH_WEK,DO_WEK,투명도_WEK,탁도_WEK,Chl-a _WEK,유해남조류세포수
2012-01-01,-0.1,-4.8,7.3,0.0,4.3,1.4,3.29,1504.1,,,,,0.0,0.0,0.0,7.4,2.2,8.0,15.0,,,37.0,
2012-01-02,-2.8,-9.1,5.7,0.0,4.5,0.9,3.17,1446.53,,,,,0.0,0.0,0.0,7.45,2.2,8.0,15.0,,,37.0,
2012-01-03,-1.4,-7.5,4.6,0.0,3.2,1.1,3.18,1446.8,,,,,0.0,0.0,0.0,7.43,2.2,8.0,15.0,,,37.0,
2012-01-04,-1.3,-6.0,2.5,0.0,4.9,1.9,3.35,1532.69,,,,,0.0,0.0,0.0,7.44,2.2,8.0,15.0,,,37.0,
2012-01-05,-3.6,-9.4,5.0,0.0,3.0,1.1,3.31,1516.44,,,,,0.0,0.0,0.0,7.63,2.2,8.0,15.0,,,37.0,0.0
2012-01-06,-3.5,-10.2,6.1,0.0,2.4,0.8,3.34,1527.59,,,,,0.0,0.0,0.0,7.56,2.12,7.94,15.2,,,32.8,
2012-01-07,-3.7,-10.3,6.4,0.0,2.4,0.9,3.42,1571.7,,,,,0.0,0.0,0.0,7.62,2.04,7.88,15.4,,,28.6,
2012-01-08,-2.4,-10.3,8.8,0.0,2.7,0.8,3.44,1579.05,,,,,0.0,0.0,0.0,7.4,1.96,7.82,15.6,,,24.4,
2012-01-09,-1.6,-7.9,7.7,0.0,2.5,0.6,3.03,1378.66,,,,,0.0,0.0,0.0,7.34,1.8800000000000001,7.76,15.8,,,20.2,
2012-01-10,-0.1,-6.4,7.5,0.0,2.7,0.9,3.39,1553.9,,,,,0.0,0.0,0.0,7.79,1.8,7.7,16.0,,,16.0,0.0
2012-01-11,-1.8,-9.6,3.1,0.0,4.8,1.6,3.55,1639.91,,,,,0.0,0.0,0.0,7.63,2.15,7.883333333333334,16.25,,,22.85,
2012-01-12,-4.5,-13.1,4.8,0.0,3.0,0.8,3.7,1717.57,,,,,0.0,0.0,0.0,7.87,2.5,8.066666666666666,16.5,,,29.700000000000003,
2012-01-13,-0.6,-7.6,7.4,0.0,3.9,1.2,3.53,1625.62,,,,,0.0,0.0,0.0,7.67,2.8499999999999996,8.25,16.75,,,36.55,
2012-01-14,-1.3,-7.8,7.7,0.0,2.4,0.7,3.36,1536.35,,,,,0.0,0.0,0.0,7.53,3.1999999999999997,8.433333333333334,17.0,,,43.400000000000006,
2012-01-15,-0.7,-5.2,5.7,0.0,2.6,0.9,3.21,1464.08,,,,,0.0,0.0,0.0,7.29,3.55,8.616666666666667,17.25,,,50.25,
2012-01-16,1.9,-3.0,6.8,0.1,3.7,0.8,3.06,1390.87,,,,,0.0,0.0,0.0,7.45,3.9,8.8,17.5,,,57.1,0.0
