,prediction,유해남조류세포수_Y
2019-01-31,-60.41021,0.0
2019-02-07,-6.45208,0.0
2019-02-11,-35.633965,0.0
2019-02-18,0.025611877,0.0
2019-02-25,1.7423935,0.0
2019-03-04,7.3423615,3.5714285714285716
2019-03-11,35.192574,28.875
2019-03-19,-60.321953,55.333333333333336
2019-03-25,-8.357979,45.5
2019-04-02,12.010979,0.0
2019-04-08,78.406876,0.0
2019-04-15,-28.256927,3.7142857142857144
2019-04-22,51.472656,47.714285714285715
2019-04-29,333.8054,182.0
2019-05-07,269.03326,194.5
2019-05-13,324.03244,100.28571428571428
2019-05-20,144.04965,0.0
2019-05-28,341.96332,49.666666666666664
2019-06-03,392.28787,386.42857142857144
2019-06-10,285.6945,879.8571428571429
2019-06-17,541.35077,766.4285714285714
2019-06-24,10059.393,1696.857142857143
2019-07-01,10063.264,3417.4285714285716
2019-07-08,9187.783,9195.857142857143
2019-07-15,27100.615,28668.666666666664
2019-07-18,13337.967,3043.5
2019-07-22,12180.657,1419.4285714285716
2019-07-29,7543.36,7605.714285714286
2019-08-05,6383.685,12724.333333333334
2019-08-08,882.58984,5240.0
2019-08-12,4906.2974,5027.142857142857
2019-08-19,12192.86,12108.571428571428
2019-08-26,24369.797,24526.666666666668
2019-08-29,16955.781,16895.0
2019-09-02,7901.72,7775.0
2019-09-05,3915.6284,3399.75
2019-09-09,2445.434,2630.8571428571427
2019-09-16,3623.567,3391.5
2019-09-24,528.0565,187.5
2019-09-30,2814.3267,850.2857142857142
2019-10-07,681.14014,40.42857142857143
2019-10-14,158.49417,120.0
2019-10-21,426.3251,597.2857142857143
2019-10-28,303.78702,250.85714285714286
2019-11-04,170.96786,183.42857142857142
2019-11-11,137.26953,0.0
2019-11-18,97.86849,8.857142857142858
2019-11-25,20.255028,53.14285714285714
2019-12-02,23.813713,7.571428571428571
2019-12-09,43.55703,69.71428571428572
2019-12-16,-37.659256,145.71428571428572
2019-12-23,-32.679977,0.0
2020-01-06,129.96437,0.0
2020-01-13,54.600727,0.0
2020-01-20,67.79925,0.0
2020-01-28,30.048119,0.0
2020-02-03,-44.980453,0.0
2020-02-10,38.37201,0.0
2020-02-17,-6.7579727,0.0
2020-02-25,-58.435028,4.833333333333333
2020-03-02,13.624664,32.285714285714285
2020-03-09,-47.96402,48.42857142857143
2020-03-16,132.49748,32.857142857142854
2020-03-23,-139.93478,97.28571428571428
2020-03-30,12.070404,281.85714285714283
2020-04-06,-218.59003,350.14285714285717
2020-04-13,-23.170105,403.7142857142857
2020-04-20,-23.426445,154.28571428571428
2020-04-27,166.62173,0.0
2020-05-04,445.51553,0.0
2020-05-11,356.6173,0.0
2020-05-18,149.93546,0.0
2020-05-25,188.48938,166.28571428571428
2020-06-01,7991.0205,2854.857142857143
2020-06-08,5358.832,11274.142857142857
2020-06-15,21221.615,1038.4285714285713
2020-06-22,498.46667,8075.714285714285
