,prediction,유해남조류세포수_Y
2019-02-11,19.646828,0.0
2019-02-18,58.798706,0.0
2019-02-25,24.386536,0.0
2019-03-04,54.993332,0.0
2019-03-11,-1.8879547,0.0
2019-03-18,36.08612,0.0
2019-03-25,-22.481285,0.0
2019-04-01,17.720345,3.5714285714285716
2019-04-08,14.628593,27.571428571428573
2019-04-15,-7.6599274,70.85714285714286
2019-04-22,-29.333412,244.57142857142858
2019-04-29,2.3511963,250.75
2019-05-07,-51.374573,15.0
2019-05-13,20.732399,0.0
2019-05-20,174.92166,12.375
2019-05-28,-64.07384,568.3333333333333
2019-06-03,2359.445,2513.0
2019-06-10,451.91974,91.42857142857143
2019-06-17,594.0656,299.14285714285717
2019-06-24,7093.746,1718.857142857143
2019-07-01,6543.226,1159.857142857143
2019-07-08,6724.1724,8638.142857142857
2019-07-15,26037.615,25498.0
2019-07-18,733.52515,2373.0
2019-07-22,479.45917,1355.142857142857
2019-07-29,12223.335,18232.857142857145
2019-08-05,10910.337,59869.333333333336
2019-08-08,11525.939,29260.75
2019-08-12,6333.3696,2879.25
2019-08-16,779.7881,5003.666666666667
2019-08-19,585.24835,6527.857142857143
2019-08-26,545.0133,3620.8571428571427
2019-09-02,1052.6866,2873.0
2019-09-09,1945.2096,2013.0
2019-09-16,406.76675,1123.625
2019-09-24,320.4796,166.66666666666666
2019-09-30,2784.5896,779.8571428571429
2019-10-07,2864.961,144.0
2019-10-14,-34.329475,313.2857142857143
2019-10-21,356.34076,390.42857142857144
2019-10-28,283.14178,136.28571428571428
2019-11-04,-269.29254,0.0
2019-11-11,133.75635,0.0
2019-11-18,-46.086006,15.285714285714286
2019-11-25,-35.379852,94.42857142857143
2019-12-02,3.2575989,16.285714285714285
2019-12-09,80.21803,4.714285714285714
2019-12-16,-48.606285,28.285714285714285
2019-12-23,-42.87686,0.0
2020-01-06,16.953735,0.0
2020-01-13,-42.19171,0.0
2020-01-20,263.11316,0.0
2020-01-28,196.54364,1.8333333333333333
2020-02-03,28.344086,9.428571428571429
2020-02-10,3.066803,0.0
2020-02-17,13.031059,0.0
2020-02-25,-36.19594,5.333333333333333
2020-03-02,156.24963,34.857142857142854
2020-03-09,37.107727,58.714285714285715
2020-03-16,40.80246,95.28571428571429
2020-03-23,0.6759033,66.57142857142857
2020-03-30,-9.444496,24.0
2020-04-06,21.133652,7.285714285714286
2020-04-13,230.81662,43.714285714285715
2020-04-20,8294.451,0.0
2020-04-27,148.12384,0.0
2020-05-04,1073.4445,0.0
2020-05-11,6011.0947,0.0
2020-05-18,6277.144,0.0
2020-05-25,372.25864,792.7142857142857
2020-06-01,417.0227,7115.714285714286
2020-06-08,36272.797,14156.571428571428
2020-06-15,1008.12897,988.4285714285714
2020-06-22,5651.2173,5944.142857142857
2020-06-29,4403.2007,195.28571428571428
2020-07-06,423.75232,747.1
2020-07-16,464.695,256.4
2020-07-21,504.33908,83.57142857142857
2020-08-04,438.46695,3.4285714285714284
2020-08-18,4615.555,680.3333333333334
2020-08-24,4430.5615,3540.8571428571427
2020-08-31,1584.7017,2198.8
2020-09-10,666.73315,5163.0
2020-09-14,1695.5187,1337.2857142857142
2020-09-21,1927.502,322.57142857142856
2020-09-28,299.49527,377.57142857142856
2020-10-05,2253.1846,737.8571428571429
2020-10-12,13998.099,347.85714285714283
2020-10-19,4938.065,139.28571428571428
2020-10-26,320.97772,589.4285714285714
2020-11-02,5441.497,562.1428571428571
2020-11-09,111.135155,220.28571428571428
2020-11-16,326.32065,110.42857142857143
2020-11-23,-65.747314,117.14285714285714
2020-11-30,96.89913,60.0
2020-12-07,46.561333,0.0
2020-12-14,26.683945,0.0
2021-02-22,41.94651,0.0
2021-03-02,-23.42347,0.0
2021-03-08,259.79132,4.714285714285714
2021-03-15,113.28368,28.875
2021-03-23,-20.598152,5.333333333333333
2021-03-29,197.04086,31.428571428571427
2021-04-05,241.3107,41.714285714285715
2021-04-12,51.340813,114.85714285714286
2021-04-19,28.613823,123.85714285714286
2021-04-26,442.35703,450.14285714285717
2021-05-03,115.884445,93.42857142857143
2021-05-10,160.11984,4.375
2021-05-18,384.24826,44.666666666666664
2021-05-24,3097.0298,85.71428571428571
2021-05-31,150.51804,73.85714285714286
2021-06-07,47.22348,241.28571428571428
2021-06-14,554.6459,209.71428571428572
2021-06-21,605.106,890.0
2021-06-28,12365.251,994.1428571428571
2021-07-05,577.70337,914.0
2021-07-13,615.1392,30.333333333333332
2021-07-19,2167.883,539.7142857142858
2021-07-26,485.69568,8064.285714285715
2021-08-02,5462.9165,35234.0
2021-08-09,438.27304,14712.625
2021-08-17,2489.6335,2166.6666666666665
2021-08-23,3049.6987,2327.1428571428573
2021-08-30,565.35754,1321.2857142857142
2021-09-06,648.5858,1012.1428571428571
2021-09-13,1590.681,1268.5
2021-09-23,43.33111,1331.0
2021-09-27,5230.0474,1464.625
2021-10-05,288.49106,679.8571428571429
2021-10-12,4148.1035,919.8333333333334
2021-10-18,422.45322,207.28571428571428
2021-10-25,3210.5261,360.7142857142857
2021-11-01,2523.9043,77.85714285714286
2021-11-08,300.08624,50.857142857142854
2021-11-15,141.35512,73.28571428571429
2021-11-22,155.56622,59.14285714285714
2021-11-29,136.009,0.0
2021-12-06,8.056351,2.4285714285714284
2021-12-13,92.015,14.571428571428571
2021-12-20,26.236343,0.0
