,prediction,유해남조류세포수_Y
2019-02-07,43.425255,0.0
2019-02-11,33.656822,0.0
2019-02-18,0.33997345,0.0
2019-02-25,40.72661,0.0
2019-03-04,23.834846,0.0
2019-03-11,112.56898,0.0
2019-03-18,3.6677856,0.0
2019-03-25,-17.994995,0.0
2019-04-01,-20.448547,0.0
2019-04-08,68.87799,0.0
2019-04-15,-31.487328,0.0
2019-04-22,158.69879,0.0
2019-04-29,161.44608,7.875
2019-05-07,128.37549,52.5
2019-05-13,184.5419,0.0
2019-05-20,127.894966,0.0
2019-05-29,215.9068,0.0
2019-06-03,2092.6106,0.0
2019-06-10,442.5434,0.0
2019-06-17,8014.087,51.285714285714285
2019-06-24,679.53925,421.7142857142857
2019-07-01,495.15372,763.25
2019-07-09,691.9989,577.8333333333334
2019-07-15,588.17456,751.8571428571429
2019-07-22,522.7857,247.57142857142858
2019-07-29,1709.145,1941.0
2019-08-05,4928.6187,4630.714285714285
2019-08-12,552.2131,458.42857142857144
2019-08-19,3078.9617,3107.714285714286
2019-08-26,4583.3135,5420.714285714285
2019-09-02,447.02686,242.85714285714286
2019-09-09,337.42142,113.28571428571429
2019-09-16,417.13153,128.25
2019-09-24,508.09183,103.33333333333333
2019-09-30,606.52856,127.42857142857143
2019-10-07,512.11005,22.571428571428573
2019-10-14,181.33377,30.857142857142858
2019-10-21,627.814,63.714285714285715
2019-10-28,388.97607,73.71428571428571
2019-11-04,-56.95153,6.142857142857143
2019-11-11,25.960434,45.57142857142857
2019-11-18,201.63953,69.71428571428571
2019-11-25,181.07693,104.57142857142857
2019-12-02,2.6073456,0.0
2019-12-09,84.14562,0.0
2019-12-16,181.99152,4.857142857142857
2019-12-23,132.1857,29.142857142857142
2019-12-30,-47.29074,0.0
2020-01-06,159.28262,0.0
2020-01-13,20.905472,0.0
2020-01-20,68.069084,5.375
2020-01-28,28.600967,35.833333333333336
2020-02-03,-31.247719,3.7142857142857144
2020-02-10,54.059563,22.75
2020-02-18,-19.65738,3.5714285714285716
2020-02-25,-91.62277,20.833333333333332
2020-03-02,-54.13819,0.0
2020-03-09,104.1127,0.0
2020-03-16,-4.750683,10.571428571428571
2020-03-23,-7.2313766,63.42857142857143
2020-03-30,6.537426,18.571428571428573
2020-04-06,-8.5249405,130.85714285714286
2020-04-13,95.20699,119.42857142857143
2020-04-20,-17.487923,21.571428571428573
2020-04-27,148.16032,26.57142857142857
2020-05-04,174.98245,0.0
2020-05-11,98.68833,5.428571428571429
2020-05-18,81.13749,53.42857142857143
2020-05-25,310.82788,158.42857142857142
2020-06-01,4652.9497,726.8571428571429
2020-06-08,633.60596,3191.4285714285716
2020-06-15,1333.1862,171.42857142857142
2020-06-22,444.23718,111.42857142857143
2020-06-29,646.8321,705.8571428571429
2020-07-06,674.95886,256.85714285714283
2020-07-20,395.69934,188.125
2020-07-28,723.1047,84.28571428571429
2020-08-04,1801.1969,109.78571428571428
2020-08-18,3599.3696,373.0
2020-08-24,1622.2563,459.14285714285717
2020-08-31,4730.1714,3159.3333333333335
2020-09-09,1028.7385,7922.0
2020-09-14,435.45688,1134.5714285714287
2020-09-21,670.4009,330.14285714285717
2020-09-28,206.54282,240.14285714285714
2020-10-05,153.26648,238.71428571428572
2020-10-12,44.404198,57.285714285714285
2020-10-19,342.5352,248.85714285714286
2020-10-26,69.01781,933.8571428571429
2020-11-02,34.442932,761.2857142857143
2020-11-09,61.181587,476.14285714285717
2020-11-16,95.564415,186.71428571428572
2020-11-23,-130.50806,149.0
2020-11-30,87.88675,195.14285714285714
2020-12-07,103.43305,34.285714285714285
2020-12-14,71.8145,0.0
2021-02-08,-8.170937,0.0
2021-02-15,32.448112,0.0
2021-02-22,-44.71785,7.75
2021-03-02,7.263382,51.666666666666664
2021-03-08,26.14064,0.0
2021-03-15,16.692215,8.428571428571429
2021-03-22,-18.332787,72.71428571428571
2021-03-29,114.65517,163.42857142857142
2021-04-05,-103.379654,238.42857142857142
2021-04-12,182.30762,379.85714285714283
2021-04-19,12.852318,358.14285714285717
2021-04-26,78.74322,390.57142857142856
2021-05-03,-85.59408,239.57142857142858
2021-05-10,6100.182,128.57142857142858
2021-05-17,704.794,72.28571428571428
2021-05-24,505.1867,243.14285714285714
2021-05-31,428.68497,610.0
2021-06-07,193.0151,868.2857142857142
2021-06-14,503.32147,2141.5714285714284
2021-06-21,331.51462,454.42857142857144
2021-06-28,11723.985,330.14285714285717
2021-07-05,1169.9219,525.4285714285714
2021-07-12,536.62976,39.285714285714285
2021-07-19,3759.9783,502.1428571428571
2021-07-26,778.6374,1605.0
2021-08-02,10685.358,3241.5714285714284
2021-08-09,4925.526,19649.0
2021-08-17,2793.2427,245.83333333333334
2021-08-23,490.17612,354.2857142857143
2021-08-30,656.75055,996.8571428571429
2021-09-06,1224.4668,1163.2857142857142
2021-09-13,582.6693,1533.7
2021-09-23,706.48206,1160.75
2021-09-27,500.0199,633.125
2021-10-05,159.38364,747.0
2021-10-12,5668.1357,670.5
2021-10-18,492.8494,265.7142857142857
2021-10-25,115.211655,338.42857142857144
2021-11-01,210.07343,451.77777777777777
2021-11-10,43.07012,205.8
2021-11-15,96.12468,610.5714285714286
2021-11-22,3.3892593,222.85714285714286
2021-11-29,5.8438187,0.0
2021-12-06,-27.526672,0.0
2021-12-13,99.64976,0.0
2021-12-20,4.2327423,0.0
