,prediction,유해남조류세포수_Y
2020-05-18,194.17877,118.0
2020-05-25,204.1008,263.57142857142856
2020-06-01,3454.4475,789.2857142857143
2020-06-08,2302.715,1346.2857142857142
2020-06-15,844.7683,1775.7142857142858
2020-06-22,2141.9644,2807.8571428571427
2020-06-29,11973.0205,5247.285714285715
2020-07-06,4806.5103,8137.2
2020-07-16,756.1427,246.5
2020-07-20,466.97726,303.0
2020-07-30,392.2043,127.75
2020-08-03,480.57568,301.73333333333335
2020-08-18,500.65305,466.7142857142857
2020-08-25,1536.8331,1602.6
2020-09-14,324.57712,754.1428571428571
2020-09-21,431.41287,739.8571428571429
2020-09-28,225.50461,794.4285714285714
2020-10-05,3305.1353,626.0
2020-10-12,227.07635,855.4285714285714
2020-10-19,5657.7163,842.2857142857143
2020-10-26,3052.13,841.2857142857143
2020-11-02,2374.9104,288.7142857142857
2020-11-09,1420.1178,100.14285714285714
2020-11-16,157.695,148.42857142857142
2020-11-23,197.72278,223.85714285714286
2020-11-30,146.61343,51.0
2020-12-07,145.36081,60.714285714285715
2020-12-14,132.56223,46.875
2020-12-22,79.37404,40.833333333333336
2020-12-28,109.68777,15.25
2021-01-05,89.21186,16.15
2021-01-25,21.105331,0.0
2021-02-02,-20.68203,0.0
2021-02-08,14.277084,0.0
2021-02-15,-40.345894,0.0
2021-02-22,26.80539,0.0
2021-03-03,-52.523064,0.0
2021-03-08,134.49802,0.0
2021-03-15,-100.57473,0.0
2021-03-22,130.92471,0.0
2021-03-29,78.20628,7.714285714285714
2021-04-05,160.55539,55.285714285714285
2021-04-12,176.61343,59.285714285714285
2021-04-19,179.06204,33.142857142857146
2021-04-26,91.46951,95.42857142857143
2021-05-03,111.40262,558.5714285714286
2021-05-10,496.69528,306.14285714285717
2021-05-17,735.2439,526.8571428571429
2021-05-24,189.96085,716.0
2021-05-31,233.84515,3289.8571428571427
2021-06-07,2595.844,2687.0
2021-06-15,13583.171,6435.833333333333
2021-06-21,17169.83,13558.714285714286
2021-06-28,6390.919,6846.428571428572
2021-07-05,11479.35,8135.571428571428
2021-07-12,3746.7783,321.0
2021-07-19,4731.6265,1998.142857142857
2021-07-26,18656.797,12505.0
2021-08-02,35132.27,44163.28571428572
2021-08-09,52685.688,47205.666666666664
2021-08-12,29725.484,27555.0
2021-08-17,15287.758,10173.5
2021-08-19,10683.662,13351.0
2021-08-23,21800.129,19139.428571428572
2021-08-30,516.23865,517.0
2021-09-02,931.13104,1030.0
2021-09-06,241.15707,1278.857142857143
2021-09-13,529.5004,703.5
2021-09-23,2260.0317,1203.75
2021-09-27,3438.4075,883.5
2021-10-05,3156.358,2268.285714285714
2021-10-12,2234.7275,3749.5
2021-10-18,501.61475,3537.714285714286
2021-10-25,412.5829,1076.857142857143
2021-11-01,391.62973,1133.25
2021-11-09,2629.2708,1595.142857142857
2021-11-16,51.98854,724.1666666666666
2021-11-22,5082.488,717.8571428571429
2021-11-29,223.80139,84.125
2021-12-07,100.7833,531.6666666666666
2021-12-13,363.55408,300.0
2021-12-20,84.13158,8.5
2021-12-28,118.55912,68.0
