,prediction,유해남조류세포수_Y
2019-01-14,115.14875,10.857142857142858
2019-01-21,70.338425,123.28571428571428
2019-01-28,70.26878,366.3
2019-02-07,34.94674,25.75
2019-02-11,-4.102211,97.57142857142857
2019-02-18,0.5378876,68.42857142857143
2019-02-25,20.48555,90.42857142857143
2019-03-04,33.44838,102.0
2019-03-11,119.93784,114.71428571428571
2019-03-18,129.19803,77.57142857142857
2019-03-25,69.4104,38.57142857142857
2019-04-01,76.513695,0.8571428571428571
2019-04-08,76.43565,5.142857142857143
2019-04-15,75.44818,0.0
2019-04-22,60.75582,8.857142857142858
2019-04-29,869.8172,54.25
2019-05-07,180.39688,81.66666666666667
2019-05-13,169.82367,460.2857142857143
2019-05-20,252.23895,256.125
2019-05-28,155.11517,564.5
2019-06-03,2707.384,3076.1428571428573
2019-06-10,8449.52,8376.285714285714
2019-06-17,45982.465,39662.857142857145
2019-06-24,57662.215,49008.71428571428
2019-07-01,44039.27,43191.42857142857
2019-07-08,82814.44,82959.71428571429
2019-07-15,128472.48,194168.0
2019-07-22,35592.15,16909.14285714286
2019-07-29,23267.938,26126.0
2019-08-05,102162.65,106856.71428571429
2019-08-12,89183.55,84542.0
2019-08-19,169456.66,171251.42857142858
2019-08-26,29459.264,28510.0
2019-09-02,25857.197,21888.14285714286
2019-09-09,17054.646,16132.57142857143
2019-09-16,60609.312,59150.875
2019-09-24,3332.8284,937.1666666666666
2019-09-30,450.88754,1528.0
2019-10-07,484.11325,474.57142857142856
2019-10-14,243.18362,1523.2857142857142
2019-10-21,236.68759,346.14285714285717
2019-10-28,228.93295,218.14285714285714
2019-11-04,2178.2192,625.4285714285714
2019-11-11,2105.129,586.4285714285714
2019-11-18,23.809967,600.7142857142857
2019-11-25,460.22583,534.2857142857143
2019-12-02,352.8868,991.1428571428571
2019-12-09,306.42212,790.0
2019-12-16,131.63469,245.0
2019-12-23,156.14865,148.5
2020-01-06,142.63034,206.71428571428572
2020-01-13,72.36334,130.14285714285714
2020-01-20,234.1128,194.375
2020-01-28,136.64777,511.1666666666667
2020-02-03,97.228424,622.4285714285714
2020-02-10,68.872955,1340.2857142857142
2020-02-17,4.773575,1423.25
2020-02-25,108.85375,795.5
2020-03-02,121.56422,168.85714285714286
2020-03-09,12.173599,866.4285714285714
2020-03-16,89.22866,1218.2857142857142
2020-03-23,53.332172,1104.142857142857
2020-03-30,94.07473,1157.142857142857
2020-04-06,99.96547,587.8571428571429
2020-04-13,72.10821,40.285714285714285
2020-04-20,86.245705,0.0
2020-04-27,167.561,34.57142857142857
2020-05-04,64.11983,304.2857142857143
2020-05-11,159.66614,663.0
2020-05-18,91.72686,511.85714285714283
2020-05-25,178.39062,319.7142857142857
2020-06-01,2428.5833,2197.285714285714
2020-06-08,2817.0166,6594.857142857143
2020-06-15,3399.972,4989.285714285714
2020-06-22,17773.137,19494.14285714286
2020-06-29,40212.39,40637.57142857143
2020-07-06,44686.07,43158.1
2020-07-16,5584.145,1808.6
2020-07-21,360.93634,3186.4285714285716
2020-08-18,455.0634,1218.0
2020-08-24,3973.3757,2329.714285714286
2020-08-31,514.07117,2950.5714285714284
2020-09-14,460.61856,4496.571428571428
2020-09-21,488.5052,1733.0
2020-09-28,474.06305,4351.857142857143
2020-10-05,3462.4683,3088.285714285714
2020-10-12,639.3317,5692.142857142857
2020-10-19,9075.223,3544.8571428571427
2020-10-26,1066.235,1272.142857142857
2020-11-02,235.06567,1007.1428571428571
2020-11-09,236.13776,833.2857142857143
2020-11-16,5099.8315,654.5714285714286
2020-11-23,370.75958,241.57142857142858
2020-11-30,135.72418,419.42857142857144
2020-12-07,214.2709,1919.142857142857
2020-12-14,120.07047,2009.7142857142858
2020-12-21,84.014046,5411.428571428572
2020-12-28,99.71722,3276.714285714286
2021-01-04,124.42997,133.0952380952381
2021-01-25,76.79764,57.42857142857143
2021-02-01,59.505295,67.28571428571429
2021-02-08,62.63781,52.714285714285715
2021-02-15,54.13645,115.71428571428572
2021-02-22,69.858826,15.25
2021-03-02,81.69005,120.16666666666667
2021-03-08,117.28272,119.85714285714286
2021-03-15,116.80159,189.42857142857142
2021-03-22,117.024475,301.7142857142857
2021-03-29,84.946754,382.2857142857143
2021-04-05,118.79429,569.8571428571429
2021-04-12,154.21375,1672.4285714285713
2021-04-19,110.90284,1007.7142857142858
2021-04-26,65.21201,54.85714285714286
2021-05-03,98.160225,2.7142857142857144
2021-05-10,133.94489,118.125
2021-05-18,351.57608,764.0
2021-05-24,431.99313,685.4285714285714
2021-05-31,232.17245,1458.142857142857
2021-06-07,4091.6138,560.4285714285714
2021-06-14,992.21936,2196.5714285714284
2021-06-21,2755.1777,5299.285714285714
2021-06-28,21617.05,25729.571428571428
2021-07-05,27834.07,26694.875
2021-07-13,4267.8413,378.33333333333337
2021-07-19,1592.7621,3275.5714285714284
2021-07-26,11497.512,20551.428571428572
2021-08-02,41788.098,37501.857142857145
2021-08-09,10011.842,7056.5
2021-08-17,50985.11,35601.333333333336
2021-08-23,24790.99,10981.875
2021-08-31,1224.9047,946.5
2021-09-06,502.95914,1863.0
2021-09-13,436.2206,1560.7
2021-09-23,640.4787,2150.0
2021-09-27,1012.7175,4526.625
2021-10-05,3146.162,3508.714285714286
2021-10-12,3616.9116,1704.6666666666667
2021-10-18,425.0525,1957.7142857142858
2021-10-25,502.6679,1918.857142857143
2021-11-01,458.09192,782.0
2021-11-08,195.87479,726.5714285714286
2021-11-15,47.631912,900.3571428571429
2021-11-29,122.505905,959.8571428571429
2021-12-06,65.584625,1042.857142857143
2021-12-13,1540.7913,442.0
2021-12-20,106.664345,75.42857142857143
2021-12-27,99.25084,36.0
