,prediction,유해남조류세포수_Y
2019-01-31,81.12453,0.0
2019-02-07,4.7675076,0.0
2019-02-11,-4.240961,0.0
2019-02-18,-17.193193,0.0
2019-02-25,-127.13937,0.0
2019-03-04,-55.202065,3.5714285714285716
2019-03-11,199.46954,28.875
2019-03-19,41.969727,55.333333333333336
2019-03-25,214.31052,45.5
2019-04-02,45.33686,0.0
2019-04-08,22.919546,0.0
2019-04-15,313.29187,3.7142857142857144
2019-04-22,60.575043,47.714285714285715
2019-04-29,191.75584,182.0
2019-05-07,112.3456,194.5
2019-05-13,213.3349,100.28571428571428
2019-05-20,113.594986,0.0
2019-05-28,277.86453,49.666666666666664
2019-06-03,538.54126,386.42857142857144
2019-06-10,470.33826,879.8571428571429
2019-06-17,492.9255,766.4285714285714
2019-06-24,3048.7117,1696.857142857143
2019-07-01,3460.4966,3417.4285714285716
2019-07-08,8669.891,9195.857142857143
2019-07-15,28610.812,28668.666666666664
2019-07-18,21695.686,3043.5
2019-07-22,10103.5205,1419.4285714285716
2019-07-29,6025.5654,7605.714285714286
2019-08-05,588.6832,12724.333333333334
2019-08-08,518.1818,5240.0
2019-08-12,4808.6597,5027.142857142857
2019-08-19,11411.211,12108.571428571428
2019-08-26,22739.95,24526.666666666668
2019-08-29,14555.3955,16895.0
2019-09-02,7731.8926,7775.0
2019-09-05,4342.8096,3399.75
2019-09-09,2682.867,2630.8571428571427
2019-09-16,3629.9766,3391.5
2019-09-24,451.97733,187.5
2019-09-30,590.5225,850.2857142857142
2019-10-07,367.77994,40.42857142857143
2019-10-14,392.8291,120.0
2019-10-21,207.35052,597.2857142857143
2019-10-28,356.5644,250.85714285714286
2019-11-04,79.89798,183.42857142857142
2019-11-11,234.18837,0.0
2019-11-18,113.73087,8.857142857142858
2019-11-25,32.502457,53.14285714285714
2019-12-02,187.40121,7.571428571428571
2019-12-09,29.433485,69.71428571428572
2019-12-16,111.256775,145.71428571428572
2019-12-23,171.47554,0.0
2020-01-06,120.96464,0.0
2020-01-13,118.11849,0.0
2020-01-20,16.822668,0.0
2020-01-28,-36.71048,0.0
2020-02-03,25.038465,0.0
2020-02-10,52.603676,0.0
2020-02-17,109.23329,0.0
2020-02-25,30.314157,4.833333333333333
2020-03-02,253.14804,32.285714285714285
2020-03-09,77.918495,48.42857142857143
2020-03-16,143.56393,32.857142857142854
2020-03-23,158.93417,97.28571428571428
2020-03-30,116.04027,281.85714285714283
2020-04-06,152.34717,350.14285714285717
2020-04-13,134.10507,403.7142857142857
2020-04-20,62.573883,154.28571428571428
2020-04-27,164.78874,0.0
2020-05-04,71.805405,0.0
2020-05-11,98.316925,0.0
2020-05-18,137.37358,0.0
2020-05-25,171.57227,166.28571428571428
2020-06-01,266.5951,2854.857142857143
2020-06-08,38486.79,11274.142857142857
2020-06-15,1998.6802,1038.4285714285713
2020-06-22,602.12366,8075.714285714285
2020-06-29,4246.5933,39512.57142857143
2020-07-06,13824.831,530.4
2020-07-16,513.39514,214.6
2020-07-21,1696.512,954.3571428571429
2020-08-04,308.21375,83.42857142857143
2020-08-18,3320.2283,721.5
2020-08-24,4351.0933,1081.2857142857142
2020-08-31,5246.0483,2886.6
2020-09-10,14479.671,5879.5
2020-09-14,658.842,6101.285714285715
2020-09-21,421.84454,735.5714285714286
2020-09-28,358.86243,313.57142857142856
2020-10-05,465.67853,222.0
2020-10-12,631.7615,1072.4285714285713
2020-10-19,1573.987,506.0
2020-10-26,286.21454,480.8571428571429
2020-11-02,139.15019,929.7142857142857
2020-11-09,291.51523,781.8571428571429
2020-11-16,864.7666,313.85714285714283
2020-11-23,3507.637,167.28571428571428
2020-11-30,236.22945,105.28571428571429
2020-12-07,86.32692,9.428571428571429
2020-12-14,-49.564377,0.0
2021-02-01,33.956703,0.0
2021-02-08,165.48985,0.0
2021-02-15,55.6418,0.0
2021-02-22,-13.899164,0.0
2021-03-02,180.71854,0.0
2021-03-08,254.11458,0.0
2021-03-15,134.52351,8.5
2021-03-23,378.25497,61.666666666666664
2021-03-29,59.386086,33.42857142857143
2021-04-05,516.9695,64.28571428571429
2021-04-12,141.78879,124.28571428571429
2021-04-19,91.08675,158.28571428571428
2021-04-26,330.18597,413.2857142857143
2021-05-03,2075.2144,309.0
2021-05-10,40295.67,64.25
2021-05-18,574.8998,65.16666666666666
2021-05-24,315.29507,243.28571428571428
2021-05-31,115.638466,292.42857142857144
2021-06-07,234.94977,1036.5714285714284
2021-06-14,1556.9048,4664.0
2021-06-21,6416.6274,713.2857142857143
2021-06-28,362.21893,333.7142857142857
2021-07-05,392.2237,1415.25
2021-07-13,398.18842,67.83333333333333
2021-07-19,607.9258,578.8571428571429
2021-07-26,5024.7603,5834.0
2021-08-02,431.1999,22185.14285714286
2021-08-09,2284.7925,21517.0
2021-08-17,565.72705,1941.6666666666665
2021-08-23,408.64832,4043.285714285714
2021-08-30,415.29932,1013.5714285714286
2021-09-06,266.32187,1333.7142857142858
2021-09-13,440.8187,2672.0
2021-09-23,517.2297,1087.0
2021-09-27,443.27502,1732.75
2021-10-05,432.87177,1211.0
2021-10-12,460.79938,289.0
2021-10-18,495.4923,148.28571428571428
2021-10-25,199.91742,205.14285714285714
2021-11-01,203.18512,490.2857142857143
2021-11-08,3048.2568,19.142857142857142
2021-11-15,229.48387,133.85714285714286
2021-11-22,243.97284,131.14285714285714
2021-11-29,21.553156,102.85714285714286
2021-12-06,78.12154,0.0
2021-12-13,413.61227,4.714285714285714
2021-12-20,181.1666,28.285714285714285
2021-12-27,162.29794,0.0
