,prediction,유해남조류세포수_Y
2020-05-11,140.25221,41.714285714285715
2020-05-18,351.59717,118.0
2020-05-25,496.77313,263.57142857142856
2020-06-01,7242.1357,789.2857142857143
2020-06-08,640.0833,1346.2857142857142
2020-06-15,7037.384,1775.7142857142858
2020-06-22,24188.822,2807.8571428571427
2020-06-29,6333.1353,5247.285714285715
2020-07-06,24753.992,8137.2
2020-07-16,42004.973,246.5
2020-07-20,43251.152,303.0
2020-07-30,42386.67,127.75
2020-08-03,34035.07,301.73333333333335
2020-08-18,38623.84,466.7142857142857
2020-08-25,29607.867,1602.6
2020-09-14,295.22153,754.1428571428571
2020-09-21,26.337057,739.8571428571429
2020-09-28,535.67816,794.4285714285714
2020-10-05,24606.139,626.0
2020-10-12,17345.73,855.4285714285714
2020-10-19,20557.625,842.2857142857143
2020-10-26,20930.244,841.2857142857143
2020-11-02,777.3451,288.7142857142857
2020-11-09,501.55307,100.14285714285714
2020-11-16,92.70813,148.42857142857142
2020-11-23,-253.12335,223.85714285714286
2020-11-30,675.95416,51.0
2020-12-07,133.12546,60.714285714285715
2020-12-14,191.61841,46.875
2020-12-22,97.752396,40.833333333333336
2020-12-28,106.7036,15.25
2021-01-05,231.00812,16.15
2021-01-25,-10.931849,0.0
2021-02-02,-43.017143,0.0
2021-02-08,-77.10033,0.0
2021-02-15,-113.38466,0.0
2021-02-22,79.19539,0.0
2021-03-03,-118.35373,0.0
2021-03-08,294.64288,0.0
2021-03-15,291.19098,0.0
2021-03-22,-240.8858,0.0
2021-03-29,-103.8857,7.714285714285714
2021-04-05,-155.5548,55.285714285714285
2021-04-12,-132.24763,59.285714285714285
2021-04-19,-144.27042,33.142857142857146
2021-04-26,-416.4959,95.42857142857143
2021-05-03,66.21893,558.5714285714286
2021-05-10,176.83658,306.14285714285717
2021-05-17,571.1574,526.8571428571429
2021-05-24,8868.026,716.0
2021-05-31,592.245,3289.8571428571427
2021-06-07,96722.69,2687.0
2021-06-15,77784.695,6435.833333333333
2021-06-21,69367.93,13558.714285714286
2021-06-28,80594.54,6846.428571428572
2021-07-05,60685.25,8135.571428571428
2021-07-12,34461.56,321.0
2021-07-19,5906.471,1998.142857142857
2021-07-26,71839.94,12505.0
2021-08-02,130631.94,44163.28571428572
2021-08-09,156517.06,47205.666666666664
2021-08-12,133469.9,27555.0
2021-08-17,32897.008,10173.5
2021-08-19,23265.969,13351.0
2021-08-23,47374.027,19139.428571428572
2021-08-30,42517.426,517.0
2021-09-02,47537.53,1030.0
2021-09-06,38309.004,1278.857142857143
2021-09-13,3718.956,703.5
2021-09-23,20858.309,1203.75
2021-09-27,18334.637,883.5
2021-10-05,20163.957,2268.285714285714
2021-10-12,22598.043,3749.5
2021-10-18,746.97723,3537.714285714286
2021-10-25,331.3231,1076.857142857143
2021-11-01,47.235428,1133.25
2021-11-09,12486.926,1595.142857142857
2021-11-16,-148.54897,724.1666666666666
2021-11-22,13912.406,717.8571428571429
2021-11-29,64.73471,84.125
2021-12-07,141.74709,531.6666666666666
2021-12-13,7162.751,300.0
2021-12-20,341.25836,8.5
2021-12-28,351.81757,68.0
