,prediction,유해남조류세포수_Y
2019-01-14,4.7654552,5.0
2019-01-21,-225.06586,49.14285714285714
2019-01-28,-12.0505085,120.6
2019-02-07,54.194878,4.25
2019-02-11,5.1838245,14.571428571428571
2019-02-18,138.07617,8.142857142857142
2019-02-25,80.44762,53.857142857142854
2019-03-04,161.14093,38.0
2019-03-11,95.04354,56.0
2019-03-18,-64.229034,57.57142857142857
2019-03-25,-4.7846546,60.285714285714285
2019-04-01,64.25677,19.571428571428573
2019-04-08,145.00548,19.0
2019-04-15,360.9063,51.14285714285714
2019-04-22,184.44934,149.42857142857142
2019-04-29,5297.1455,28.375
2019-05-07,-122.66095,107.5
2019-05-13,365.46985,9.857142857142858
2019-05-20,531.0709,132.25
2019-05-28,17748.277,926.8333333333333
2019-06-03,4693.173,4300.0
2019-06-10,12661.829,13431.0
2019-06-13,14996.194,15440.0
2019-06-17,19085.773,59960.0
2019-06-20,79310.25,106041.25
2019-06-24,80856.55,48617.333333333336
2019-06-27,42953.023,72037.25
2019-07-01,29388.328,44156.666666666664
2019-07-04,5924.963,90248.75
2019-07-08,7379.828,215934.5
2019-07-12,111064.984,144078.6666666667
2019-07-15,221221.25,225547.66666666666
2019-07-18,76086.75,79299.75
2019-07-22,2086.724,9047.666666666666
2019-07-25,2903.8062,16062.75
2019-07-29,29035.203,14843.0
2019-08-01,22662.725,20421.75
2019-08-05,18811.41,39324.333333333336
2019-08-08,12195.22,31679.75
2019-08-12,79362.555,40768.75
2019-08-16,46524.33,50530.0
2019-08-19,44629.066,43443.66666666667
2019-08-22,9294.486,11151.5
2019-08-26,34032.19,18629.333333333332
2019-08-29,7952.94,19891.5
2019-09-02,15134.355,14859.666666666666
2019-09-05,7805.228,13950.0
2019-09-09,21468.754,21765.5
2019-09-11,23515.758,24679.4
2019-09-16,27018.117,27521.333333333336
2019-09-19,8245.718,7907.2
2019-09-24,754.45135,581.5
2019-09-30,546.7268,774.5714285714286
2019-10-07,538.4127,119.42857142857143
2019-10-14,146.14693,343.7142857142857
2019-10-21,387.43787,480.7142857142857
2019-10-28,485.3836,95.42857142857143
2019-11-04,440.78363,531.0
2019-11-11,429.1582,317.0
2019-11-18,372.5694,375.0
2019-11-25,3825.0566,773.0
2019-12-02,4294.4463,207.42857142857142
2019-12-09,2959.745,175.57142857142858
2019-12-16,146.23604,35.142857142857146
2019-12-23,207.60643,0.0
2020-01-06,127.209526,3.7142857142857144
2020-01-13,268.37616,26.714285714285715
2020-01-20,2.4207401,27.125
2020-01-28,54.127594,7.0
2020-02-03,261.4495,36.0
2020-02-10,168.6051,17.428571428571427
2020-02-17,97.53121,110.625
2020-02-25,83.669815,33.0
2020-03-02,173.93625,103.0
2020-03-09,255.44345,502.85714285714283
2020-03-16,403.84766,645.2857142857143
2020-03-23,240.99324,59.857142857142854
2020-03-30,518.64014,44.42857142857143
2020-04-06,464.8194,139.14285714285714
2020-04-13,542.397,130.28571428571428
2020-04-20,6404.215,15.0
2020-04-27,4484.537,105.14285714285714
2020-05-04,336.40588,184.42857142857144
2020-05-11,542.9143,599.0
2020-05-18,17778.857,311.7142857142857
2020-05-25,21914.98,628.1428571428571
2020-06-01,2268.983,784.8571428571429
2020-06-08,501.10004,903.5714285714286
2020-06-15,4884.296,4558.428571428572
2020-06-22,30718.3,21696.714285714286
2020-06-29,16426.52,6648.285714285714
2020-07-06,10332.378,24520.3
2020-07-16,376.9139,591.2
2020-07-21,486.3471,452.7857142857143
2020-08-04,546.075,120.71428571428572
2020-08-18,619.4346,487.6666666666667
2020-08-24,6974.0107,1677.5714285714284
2020-08-31,8230.916,6283.142857142857
2020-09-14,545.03174,5715.714285714285
2020-09-21,2912.6123,1706.7142857142858
2020-09-28,7099.8086,1158.7142857142858
2020-10-05,6329.645,2657.8571428571427
2020-10-12,35836.684,4123.857142857143
2020-10-19,38301.062,2826.8571428571427
2020-10-26,7657.8555,2112.8571428571427
2020-11-02,550.1451,2168.5714285714284
2020-11-09,124.883835,1293.4285714285716
2020-11-16,51.540627,2944.285714285714
2020-11-23,117.993195,1096.857142857143
2020-11-30,5119.7764,2435.4285714285716
2020-12-07,45.971886,2406.142857142857
2020-12-14,109.23218,7147.428571428572
2020-12-21,134.27368,594.1428571428571
2020-12-28,87.56366,140.71428571428572
2021-01-04,201.54398,143.14285714285714
2021-01-18,35.2399,35.142857142857146
2021-01-25,108.14481,0.0
2021-02-01,-191.19342,5.142857142857143
2021-02-08,-23.799143,30.857142857142858
2021-02-15,65.96957,3.0
2021-02-22,-241.07138,18.375
2021-03-02,93.002075,0.0
2021-03-08,-19.135317,0.0
2021-03-15,123.69465,0.0
2021-03-22,-94.80051,107.42857142857143
2021-03-29,30.035807,651.4285714285714
2021-04-05,-32.907898,293.0
2021-04-12,306.80594,1745.2857142857142
2021-04-19,363.30768,1404.857142857143
2021-04-26,396.97894,0.0
2021-05-03,354.2516,0.0
2021-05-10,339.18134,10.875
2021-05-18,3388.2173,72.5
2021-05-24,5627.8213,6.571428571428571
2021-05-31,1652.906,62.285714285714285
2021-06-07,3335.045,158.42857142857142
2021-06-14,18878.65,198.71428571428572
2021-06-21,25013.799,7181.428571428572
2021-06-28,13001.249,52399.71428571428
2021-07-05,10703.01,72712.875
2021-07-13,803.7354,185.66666666666666
2021-07-19,6428.263,26906.85714285714
2021-07-26,10792.541,177383.42857142858
2021-08-02,27844.627,97422.14285714286
2021-08-09,16930.025,3867.5
2021-08-17,60105.93,16915.833333333332
2021-08-23,6649.8105,8482.0
2021-08-31,558.8668,501.6666666666667
2021-09-06,2402.19,465.2857142857143
2021-09-13,410.85193,633.7
2021-09-23,5129.992,1185.5
2021-09-27,5664.767,3590.375
2021-10-05,6798.009,720.8571428571429
2021-10-12,5559.8584,986.6666666666666
2021-10-18,677.53326,265.2857142857143
2021-10-25,539.3628,520.8571428571429
2021-11-01,381.90594,2291.8571428571427
2021-11-08,256.34396,493.0
2021-11-15,1959.2539,284.0
2021-11-23,11466.283,869.6666666666666
2021-11-29,319.6814,1336.857142857143
2021-12-06,370.01105,559.0
2021-12-13,277.47382,62.57142857142857
2021-12-20,182.67229,2.2857142857142856
2021-12-27,80.16995,16.0
