,prediction,유해남조류세포수_Y
2019-02-07,22.849195,0.0
2019-02-11,29.481932,0.0
2019-02-18,12.557516,0.0
2019-02-25,-148.5073,0.0
2019-03-04,-91.91553,0.0
2019-03-11,163.52191,0.0
2019-03-18,-62.54792,0.0
2019-03-25,49.972313,0.0
2019-04-01,-12.473528,0.0
2019-04-08,67.998024,0.0
2019-04-15,304.27206,0.0
2019-04-22,-91.43161,0.0
2019-04-29,141.61392,7.875
2019-05-07,-251.53705,52.5
2019-05-13,266.06998,0.0
2019-05-20,224.21948,0.0
2019-05-29,536.3734,0.0
2019-06-03,463.3535,0.0
2019-06-10,2094.4045,0.0
2019-06-17,13317.052,51.285714285714285
2019-06-24,651.20264,421.7142857142857
2019-07-01,520.30743,763.25
2019-07-09,586.8206,577.8333333333334
2019-07-15,645.6415,751.8571428571429
2019-07-22,395.2498,247.57142857142858
2019-07-29,1451.1023,1941.0
2019-08-05,4400.4204,4630.714285714285
2019-08-12,618.6699,458.42857142857144
2019-08-19,2076.5632,3107.714285714286
2019-08-26,4947.962,5420.714285714285
2019-09-02,573.4977,242.85714285714286
2019-09-09,444.4815,113.28571428571429
2019-09-16,380.80127,128.25
2019-09-24,322.42487,103.33333333333333
2019-09-30,449.91406,127.42857142857143
2019-10-07,277.74567,22.571428571428573
2019-10-14,350.14575,30.857142857142858
2019-10-21,91.44465,63.714285714285715
2019-10-28,406.30695,73.71428571428571
2019-11-04,23.914808,6.142857142857143
2019-11-11,112.616615,45.57142857142857
2019-11-18,90.25317,69.71428571428571
2019-11-25,55.373352,104.57142857142857
2019-12-02,80.36167,0.0
2019-12-09,90.02962,0.0
2019-12-16,270.0578,4.857142857142857
2019-12-23,-67.13481,29.142857142857142
2019-12-30,76.30942,0.0
2020-01-06,16.51872,0.0
2020-01-13,233.02756,0.0
2020-01-20,83.16797,5.375
2020-01-28,22.984838,35.833333333333336
2020-02-03,81.440704,3.7142857142857144
2020-02-10,58.87088,22.75
2020-02-18,92.38112,3.5714285714285716
2020-02-25,33.75894,20.833333333333332
2020-03-02,105.1862,0.0
2020-03-09,120.344376,0.0
2020-03-16,16.990808,10.571428571428571
2020-03-23,80.25507,63.42857142857143
2020-03-30,137.68457,18.571428571428573
2020-04-06,13.764662,130.85714285714286
2020-04-13,144.3831,119.42857142857143
2020-04-20,130.78741,21.571428571428573
2020-04-27,76.167435,26.57142857142857
2020-05-04,465.81967,0.0
2020-05-11,215.14955,5.428571428571429
2020-05-18,175.7124,53.42857142857143
2020-05-25,321.89825,158.42857142857142
2020-06-01,416.93933,726.8571428571429
2020-06-08,8314.38,3191.4285714285716
2020-06-15,250.22833,171.42857142857142
2020-06-22,566.32007,111.42857142857143
2020-06-29,555.1926,705.8571428571429
2020-07-06,1844.9966,256.85714285714283
2020-07-20,248.03307,188.125
2020-07-28,280.46606,84.28571428571429
2020-08-04,220.1625,109.78571428571428
2020-08-18,506.38715,373.0
2020-08-24,1513.3239,459.14285714285717
2020-08-31,1623.78,3159.3333333333335
2020-09-09,1337.4402,7922.0
2020-09-14,399.5318,1134.5714285714287
2020-09-21,602.49475,330.14285714285717
2020-09-28,415.70554,240.14285714285714
2020-10-05,506.72214,238.71428571428572
2020-10-12,169.10474,57.285714285714285
2020-10-19,111.905,248.85714285714286
2020-10-26,460.36316,933.8571428571429
2020-11-02,124.771484,761.2857142857143
2020-11-09,59.294327,476.14285714285717
2020-11-16,160.81186,186.71428571428572
2020-11-23,327.0984,149.0
2020-11-30,103.90151,195.14285714285714
2020-12-07,-13.069635,34.285714285714285
2020-12-14,-36.280876,0.0
2021-02-08,89.41372,0.0
2021-02-15,68.13529,0.0
2021-02-22,32.75402,7.75
2021-03-02,110.35225,51.666666666666664
2021-03-08,156.26915,0.0
2021-03-15,82.89303,8.428571428571429
2021-03-22,-6.950159,72.71428571428571
2021-03-29,80.72819,163.42857142857142
2021-04-05,30.20701,238.42857142857142
2021-04-12,117.62909,379.85714285714283
2021-04-19,142.74455,358.14285714285717
2021-04-26,195.45673,390.57142857142856
2021-05-03,81.30153,239.57142857142858
2021-05-10,142.14455,128.57142857142858
2021-05-17,7739.556,72.28571428571428
2021-05-24,476.061,243.14285714285714
2021-05-31,411.56375,610.0
2021-06-07,501.2404,868.2857142857142
2021-06-14,1335.9929,2141.5714285714284
2021-06-21,2636.4119,454.42857142857144
2021-06-28,6143.042,330.14285714285717
2021-07-05,366.12592,525.4285714285714
2021-07-12,247.58635,39.285714285714285
2021-07-19,5307.178,502.1428571428571
2021-07-26,541.89435,1605.0
2021-08-02,684.52344,3241.5714285714284
2021-08-09,723.97266,19649.0
2021-08-17,598.17523,245.83333333333334
2021-08-23,539.98706,354.2857142857143
2021-08-30,315.6766,996.8571428571429
2021-09-06,465.1159,1163.2857142857142
2021-09-13,565.5625,1533.7
2021-09-23,1148.0587,1160.75
2021-09-27,467.4899,633.125
2021-10-05,410.01627,747.0
2021-10-12,616.37396,670.5
2021-10-18,485.4674,265.7142857142857
2021-10-25,264.35095,338.42857142857144
2021-11-01,193.78586,451.77777777777777
2021-11-10,531.5453,205.8
2021-11-15,175.69614,610.5714285714286
2021-11-22,196.20578,222.85714285714286
2021-11-29,41.25699,0.0
2021-12-06,23.406378,0.0
2021-12-13,237.4947,0.0
2021-12-20,47.627144,0.0
