,prediction,유해남조류세포수_Y
2019-01-31,146.84036,0.0
2019-02-07,134.39095,0.0
2019-02-18,145.58195,0.0
2019-02-25,147.4083,0.0
2019-03-11,11538.121,28.875
2019-03-19,181.61404,55.333333333333336
2019-03-25,174.64973,45.5
2019-04-02,181.30281,0.0
2019-04-08,194.9522,0.0
2019-04-15,145.3826,3.7142857142857144
2019-04-29,121.94805,182.0
2019-05-13,179.04074,100.28571428571428
2019-05-20,166.96466,0.0
2019-05-28,156.15924,49.666666666666664
2019-06-10,162.14131,879.8571428571429
2019-06-17,190.04863,766.4285714285714
2019-06-24,222.67807,1696.857142857143
2019-07-01,108.459885,3417.4285714285716
2019-07-08,280.7303,9195.857142857143
2019-07-18,166.44437,3043.5
2019-07-22,75.17772,1419.4285714285716
2019-07-29,104.79682,7605.714285714286
2019-08-05,218.03166,12724.333333333334
2019-08-08,125.170135,5240.0
2019-08-12,170.94122,5027.142857142857
2019-08-19,234.38559,12108.571428571428
2019-08-26,157.28436,24526.666666666668
2019-08-29,134.33102,16895.0
2019-09-02,152.86,7775.0
2019-09-05,130.54633,3399.75
2019-09-09,135.80038,2630.8571428571427
2019-09-16,163.41754,3391.5
2019-09-24,71.95649,187.5
2019-09-30,143.6134,850.2857142857142
2019-10-14,141.78276,120.0
2019-10-21,151.01767,597.2857142857143
2019-10-28,120.47305,250.85714285714286
2019-11-04,187.2224,183.42857142857142
2019-11-11,195.16026,0.0
2019-11-18,133.28911,8.857142857142858
2019-11-25,182.52849,53.14285714285714
2019-12-02,148.02507,7.571428571428571
2019-12-09,178.09825,69.71428571428572
2019-12-23,175.51485,0.0
2020-01-06,193.0861,0.0
2020-01-13,123.99556,0.0
2020-01-20,134.90552,0.0
2020-01-28,174.37859,0.0
2020-02-03,153.09947,0.0
2020-02-10,177.6002,0.0
2020-02-17,137.41391,0.0
2020-02-25,163.46066,4.833333333333333
2020-03-02,121.204926,32.285714285714285
2020-03-09,160.24017,48.42857142857143
2020-03-16,167.43462,32.857142857142854
2020-03-23,193.44601,97.28571428571428
2020-03-30,178.9808,281.85714285714283
2020-04-06,6368.231,350.14285714285717
2020-04-13,189.42534,403.7142857142857
2020-04-20,213.866,154.28571428571428
2020-05-04,244.2217,0.0
2020-05-11,165.71432,0.0
2020-05-18,128.18242,0.0
2020-05-25,175.31697,166.28571428571428
2020-06-01,173.31488,2854.857142857143
2020-06-08,163.24725,11274.142857142857
2020-06-15,106.097046,1038.4285714285713
2020-06-22,150.56516,8075.714285714285
2020-06-29,107.7826,39512.57142857143
2020-07-06,125.789764,530.4
2020-09-21,104.19643,735.5714285714286
2020-09-28,138.66354,313.57142857142856
2020-10-12,181.92397,1072.4285714285713
2020-10-19,205.39786,506.0
2020-10-26,156.83342,480.8571428571429
2020-11-02,213.6446,929.7142857142857
2020-11-09,194.12262,781.8571428571429
2020-11-16,212.51912,313.85714285714283
2020-11-23,151.02219,167.28571428571428
2020-11-30,146.25525,105.28571428571429
2020-12-07,156.93051,9.428571428571429
2020-12-14,148.29529,0.0
2021-02-01,149.37318,0.0
2021-02-08,167.80235,0.0
2021-02-15,150.17607,0.0
2021-02-22,155.33633,0.0
2021-03-02,120.852844,0.0
2021-03-08,142.09673,0.0
2021-03-15,148.12361,8.5
2021-03-29,154.01964,33.42857142857143
2021-04-05,65.10211,64.28571428571429
2021-04-12,171.35898,124.28571428571429
2021-04-19,156.76236,158.28571428571428
2021-04-26,150.75531,413.2857142857143
2021-05-03,170.8708,309.0
2021-10-18,114.318214,148.28571428571428
2021-11-01,164.69609,490.2857142857143
2021-11-08,133.7167,19.142857142857142
2021-11-15,148.67001,133.85714285714286
2021-11-22,139.40439,131.14285714285714
2021-11-29,135.37479,102.85714285714286
2021-12-06,139.65228,0.0
2021-12-13,135.96957,4.714285714285714
