,prediction,유해남조류세포수_Y
2020-05-11,147.87439,41.714285714285715
2020-05-18,154.5793,118.0
2020-05-25,171.1846,263.57142857142856
2020-06-08,158.10583,1346.2857142857142
2020-06-22,123.934006,2807.8571428571427
2020-06-29,135.3642,5247.285714285715
2020-07-06,135.20483,8137.2
2020-08-25,67.578896,1602.6
2020-09-14,131.67787,754.1428571428571
2020-10-12,151.2003,855.4285714285714
2020-10-19,174.9009,842.2857142857143
2020-11-02,168.88664,288.7142857142857
2020-11-09,180.78996,100.14285714285714
2020-11-23,185.13147,223.85714285714286
2020-11-30,168.34813,51.0
2020-12-07,177.01537,60.714285714285715
2020-12-22,174.6259,40.833333333333336
2020-12-28,177.72926,15.25
2021-01-25,161.59772,0.0
2021-02-02,171.29912,0.0
2021-02-08,148.62984,0.0
2021-02-22,161.74709,0.0
2021-03-03,132.47086,0.0
2021-03-15,157.46367,0.0
2021-03-29,136.53279,7.714285714285714
2021-04-19,156.71336,33.142857142857146
2021-04-26,155.94267,95.42857142857143
2021-05-03,160.20494,558.5714285714286
2021-05-10,162.65312,306.14285714285717
2021-05-17,80.02149,526.8571428571429
2021-05-24,137.3732,716.0
2021-05-31,158.25658,3289.8571428571427
2021-06-07,144.84775,2687.0
2021-06-15,157.47919,6435.833333333333
2021-06-21,161.6987,13558.714285714286
2021-06-28,136.50906,6846.428571428572
2021-07-05,132.13495,8135.571428571428
2021-07-19,134.24734,1998.142857142857
2021-07-26,152.85266,12505.0
2021-08-09,129.4913,47205.666666666664
2021-08-19,136.75616,13351.0
2021-09-06,129.08218,1278.857142857143
2021-09-13,135.9931,703.5
2021-09-23,129.89796,1203.75
2021-10-25,142.39052,1076.857142857143
2021-11-01,145.4604,1133.25
2021-11-09,155.35634,1595.142857142857
2021-11-16,167.24007,724.1666666666666
2021-11-22,166.75572,717.8571428571429
2021-11-29,154.28728,84.125
2021-12-07,165.59837,531.6666666666666
2021-12-20,170.56944,8.5
2021-12-28,162.91766,68.0
