,prediction,유해남조류세포수_Y
2019-02-18,139.12045,0.0
2019-03-11,158.13133,0.0
2019-03-18,152.23318,0.0
2019-03-25,150.65892,0.0
2019-04-01,137.60492,0.0
2019-04-08,154.0277,3.2857142857142856
2019-04-22,141.50656,36.857142857142854
2019-04-29,130.59357,3.0
2019-05-13,178.10416,0.0
2019-05-20,170.92769,37.5
2019-05-28,145.3573,561.3333333333333
2019-06-10,145.79425,78.85714285714286
2019-06-17,164.57628,158.71428571428572
2019-06-24,179.47382,974.4285714285714
2019-07-01,127.27989,888.7142857142857
2019-07-15,163.51225,2154.8571428571427
2019-07-22,88.95365,242.71428571428572
2019-07-29,109.975075,6010.142857142857
2019-08-05,204.6698,37308.666666666664
2019-08-08,135.44778,40881.75
2019-08-12,188.56267,18039.25
2019-08-16,175.0632,5026.666666666667
2019-08-19,174.611,7044.285714285714
2019-08-26,163.21237,610.0
2019-09-02,155.04123,1936.7142857142858
2019-09-09,135.15283,656.7142857142857
2019-09-16,166.67422,1219.75
2019-09-24,86.12839,380.83333333333337
2019-09-30,146.88702,1401.0
2019-10-14,138.72116,33.42857142857143
2019-10-21,156.55118,0.0
2019-10-28,123.9232,0.0
2019-11-04,164.49017,0.0
2019-11-11,173.39352,0.0
2019-11-18,137.66031,1.8571428571428572
2019-11-25,145.76433,11.142857142857142
2019-12-02,150.07112,21.285714285714285
2019-12-16,144.40419,5.428571428571429
2019-12-23,147.07501,41.57142857142857
2020-01-13,132.13223,96.85714285714286
2020-01-20,136.5336,0.0
2020-01-28,143.51677,0.0
2020-02-03,143.88069,0.0
2020-02-10,143.252,0.0
2020-02-17,133.21124,0.0
2020-02-25,143.07196,1.3333333333333333
2020-03-02,133.18329,6.857142857142858
2020-03-16,146.27556,0.0
2020-03-23,159.22635,0.0
2020-03-30,180.00401,0.0
2020-04-06,198.63112,8.428571428571429
2020-04-13,188.11803,50.57142857142857
2020-04-20,187.9446,0.0
2020-04-27,185.3975,0.0
2020-05-04,192.40611,0.0
2020-05-11,187.86906,0.0
2020-05-18,163.09212,3.857142857142857
2020-05-25,155.99632,23.142857142857142
2020-06-08,209.0561,1808.142857142857
2020-06-15,167.01622,844.2857142857142
2020-06-22,185.00546,51.42857142857143
2020-06-29,116.40162,3.7142857142857144
2020-07-06,132.50462,27.7
2020-07-16,98.91089,59.6
2020-07-21,111.12686,127.42857142857143
2020-09-10,92.00439,3957.25
2020-09-14,105.43044,2235.8571428571427
2020-09-21,109.2457,712.8571428571429
2020-09-28,149.92798,1200.7142857142858
2020-10-19,173.31108,708.1428571428571
2020-10-26,177.22037,358.8571428571429
2020-11-02,162.30981,759.4285714285714
2020-11-09,160.57448,0.0
2020-11-30,142.95985,198.42857142857144
2020-12-07,140.98433,424.2857142857143
2020-12-14,131.52542,0.0
2021-03-29,140.50705,28.571428571428573
2021-04-05,85.91496,207.85714285714286
2021-04-12,145.46423,227.28571428571428
2021-04-19,130.04443,52.285714285714285
2021-05-03,144.4302,18.857142857142858
2021-05-10,154.6683,2.0
2021-05-24,121.68897,320.2857142857143
2021-05-31,132.87665,108.57142857142857
2021-06-07,123.48301,329.0
2021-06-14,124.26129,398.57142857142856
2021-06-21,116.1833,1038.857142857143
2021-06-28,133.10886,13.285714285714286
2021-07-13,91.93388,72.16666666666667
2021-07-19,107.01218,24.0
2021-07-26,158.3955,1131.4285714285713
2021-08-02,160.21849,7842.142857142857
2021-09-06,110.75533,4312.285714285715
2021-09-13,120.099075,4203.6
2021-09-23,117.59882,2546.25
2021-09-27,134.05927,952.875
2021-10-05,139.5907,1450.5714285714287
2021-10-25,132.98067,401.57142857142856
2021-11-01,140.11185,367.42857142857144
2021-11-08,148.72728,108.14285714285714
2021-11-15,145.17967,103.71428571428572
2021-11-22,145.11966,0.0
2021-11-29,139.38565,0.0
2021-12-06,138.84851,0.0
2021-12-13,131.9354,0.0
2021-12-20,148.94188,0.0
