,prediction,유해남조류세포수_Y
2019-01-07,141.61325,18.857142857142858
2019-01-14,134.1,10.857142857142858
2019-01-21,157.63148,123.28571428571428
2019-01-28,124.94772,366.3
2019-02-07,175.99518,25.75
2019-02-11,677.62836,97.57142857142857
2019-02-18,154.45958,68.42857142857143
2019-02-25,152.52475,90.42857142857143
2019-03-04,11308.218,102.0
2019-03-11,144.13506,114.71428571428571
2019-03-25,126.71869,38.57142857142857
2019-04-01,480.3053,0.8571428571428571
2019-04-08,136.30994,5.142857142857143
2019-04-15,111.84085,0.0
2019-04-22,130.59305,8.857142857142858
2019-05-07,114.41494,81.66666666666667
2019-05-13,128.86584,460.2857142857143
2019-05-20,113.252396,256.125
2019-05-28,95.73941,564.5
2019-06-03,134.04004,3076.1428571428573
2019-06-10,121.296326,8376.285714285714
2019-06-24,111.85674,49008.71428571428
2019-07-01,69.10596,43191.42857142857
2019-07-08,123.78099,82959.71428571429
2019-08-05,115.8401,106856.71428571429
2019-08-12,112.53155,84542.0
2019-08-19,110.66056,171251.42857142858
2019-09-02,100.35888,21888.14285714286
2019-09-09,81.13295,16132.57142857143
2019-09-16,101.667366,59150.875
2019-10-21,109.18857,346.14285714285717
2019-10-28,105.41264,218.14285714285714
2019-11-11,109.14916,586.4285714285714
2019-11-25,128.59009,534.2857142857143
2019-12-02,115.59634,991.1428571428571
2019-12-09,133.69461,790.0
2019-12-16,135.95016,245.0
2019-12-23,128.54091,148.5
2020-01-06,132.46594,206.71428571428572
2020-01-13,100.7615,130.14285714285714
2020-01-20,123.22772,194.375
2020-01-28,87.22101,511.1666666666667
2020-02-03,114.09701,622.4285714285714
2020-02-10,146.5902,1340.2857142857142
2020-02-17,111.79035,1423.25
2020-02-25,105.65087,795.5
2020-03-02,93.18892,168.85714285714286
2020-03-16,119.19907,1218.2857142857142
2020-03-23,126.40883,1104.142857142857
2020-03-30,135.07666,1157.142857142857
2020-04-06,145.96863,587.8571428571429
2020-04-20,106.75615,0.0
2020-04-27,124.05234,34.57142857142857
2020-05-04,172.36992,304.2857142857143
2020-06-01,149.79189,2197.285714285714
2020-06-08,180.81064,6594.857142857143
2020-06-15,71.881714,4989.285714285714
2020-06-22,95.1874,19494.14285714286
2020-06-29,106.44128,40637.57142857143
2020-07-06,90.957054,43158.1
2020-07-21,75.366196,3186.4285714285716
2020-09-14,82.69151,4496.571428571428
2020-09-21,92.25006,1733.0
2020-09-28,105.20942,4351.857142857143
2020-10-12,128.37619,5692.142857142857
2020-10-19,140.75882,3544.8571428571427
2020-10-26,126.80122,1272.142857142857
2020-11-02,118.102684,1007.1428571428571
2020-11-09,122.211334,833.2857142857143
2020-11-16,132.21078,654.5714285714286
2020-11-23,123.06537,241.57142857142858
2020-11-30,123.979904,419.42857142857144
2020-12-14,119.82988,2009.7142857142858
2020-12-28,133.72115,3276.714285714286
2021-01-04,141.73169,133.0952380952381
2021-02-01,136.59412,67.28571428571429
2021-02-08,143.15724,52.714285714285715
2021-02-15,126.522545,115.71428571428572
2021-02-22,133.86023,15.25
2021-06-07,108.111824,560.4285714285714
2021-07-26,105.455025,20551.428571428572
2021-08-02,100.52671,37501.857142857145
2021-08-09,99.98363,7056.5
2021-08-17,101.25988,35601.333333333336
2021-08-23,88.4911,10981.875
2021-08-31,84.03774,946.5
2021-09-13,99.66051,1560.7
2021-09-23,97.437744,2150.0
2021-09-27,102.562,4526.625
2021-10-05,108.57779,3508.714285714286
2021-10-25,114.0194,1918.857142857143
2021-11-01,121.7527,782.0
2021-11-08,121.67146,726.5714285714286
