,prediction,유해남조류세포수_Y
2019-02-07,135.17554,0.0
2019-02-11,145.0042,0.0
2019-02-18,149.06807,0.0
2019-02-25,146.07954,0.0
2019-03-04,185.61328,0.0
2019-03-18,200.10474,0.0
2019-03-25,177.107,0.0
2019-04-01,157.36078,0.0
2019-04-08,199.76317,0.0
2019-04-15,144.1537,0.0
2019-04-22,154.15068,0.0
2019-04-29,123.15771,7.875
2019-05-07,169.53513,52.5
2019-05-29,166.68994,0.0
2019-06-10,162.72032,0.0
2019-06-17,192.1166,51.285714285714285
2019-06-24,231.9967,421.7142857142857
2019-07-01,108.51277,763.25
2019-07-09,326.77386,577.8333333333334
2019-07-15,234.00827,751.8571428571429
2019-07-22,75.62239,247.57142857142858
2019-07-29,105.39438,1941.0
2019-08-05,267.9096,4630.714285714285
2019-08-12,169.70624,458.42857142857144
2019-08-19,238.06325,3107.714285714286
2019-08-26,157.52661,5420.714285714285
2019-09-02,149.87764,242.85714285714286
2019-09-09,136.16412,113.28571428571429
2019-09-16,164.92273,128.25
2019-10-14,141.67775,30.857142857142858
2019-10-28,120.59203,73.71428571428571
2019-11-04,180.71056,6.142857142857143
2019-11-11,196.25351,45.57142857142857
2019-11-25,158.44768,104.57142857142857
2019-12-02,145.1216,0.0
2019-12-09,173.64148,0.0
2019-12-16,182.79158,4.857142857142857
2019-12-23,167.12317,29.142857142857142
2019-12-30,166.0267,0.0
2020-01-13,123.5005,0.0
2020-01-20,132.33955,5.375
2020-01-28,156.18362,35.833333333333336
2020-02-03,144.01689,3.7142857142857144
2020-04-06,928.7176,130.85714285714286
2020-04-13,185.56935,119.42857142857143
2020-04-20,214.82353,21.571428571428573
2020-04-27,219.50041,26.57142857142857
2020-05-04,228.84479,0.0
2020-05-11,177.98053,5.428571428571429
2020-05-25,184.67767,158.42857142857142
2020-06-01,180.67177,726.8571428571429
2020-06-08,179.16037,3191.4285714285716
2020-06-15,106.11409,171.42857142857142
2020-06-22,149.8887,111.42857142857143
2020-06-29,108.362946,705.8571428571429
2020-07-06,124.99747,256.85714285714283
2020-07-20,103.34079,188.125
2020-08-18,86.748886,373.0
2020-10-05,178.21928,238.71428571428572
2020-10-26,157.71693,933.8571428571429
2020-11-09,181.64755,476.14285714285717
2020-11-16,217.98595,186.71428571428572
2020-11-23,152.28362,149.0
2020-11-30,145.847,195.14285714285714
2020-12-07,153.65201,34.285714285714285
2020-12-14,146.02846,0.0
2021-09-13,132.52917,1533.7
2021-09-23,105.946045,1160.75
2021-09-27,147.07674,633.125
2021-10-12,137.86597,670.5
2021-10-18,113.77692,265.7142857142857
2021-10-25,158.3234,338.42857142857144
2021-11-01,168.09004,451.77777777777777
2021-11-10,130.91833,205.8
2021-11-15,146.45494,610.5714285714286
2021-11-22,139.03235,222.85714285714286
2021-11-29,135.01736,0.0
2021-12-13,132.6667,0.0
2021-12-20,148.89363,0.0
